"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"AGM00060457","2005","35.883","0.117","138.0","MOSTAGANEM, AG","        60","S","        35","S","         1","S","","","","","         0","S","       204","S","        42","S","","","  35.1"," ,S,1127, ","   39.6","S,0627, ","","","    322.1"," ,S","     23.32","S","",""
"AGM00060457","2006","35.883","0.117","138.0","MOSTAGANEM, AG","        61","S","        31","S","         5","S","","","","","         0","S","       228","S","        60","S","","","  89.9"," ,S,1225, ","   42.5","S,0719, ","","","    556.5"," ,S","     24.40","S","",""
"AGM00060457","2007","35.883","0.117","138.0","MOSTAGANEM, AG","        60","S","        42","S","         2","S","","","","","         0","S","       180","S","        25","S","","","  36.1"," ,S,1030, ","   42.4","S,0826, ","","","    436.0"," ,S","     23.05","S","",""
"AGM00060457","2008","35.883","0.117","138.0","MOSTAGANEM, AG","        75","S","        42","S","         1","S","","","","","         0","S","       199","S","        33","S","","","  85.1"," ,S,1106, ","   39.1","S,0904, ","","","    468.2"," ,S","     23.34","S","",""
"AGM00060457","2009","35.883","0.117","138.0","MOSTAGANEM, AG","        63","S","        35","S","         0","S","","","","","         0","S","       223","S","        43","S","","","  20.1"," ,S,0105, ","   44.5","S,0722, ","","","    267.0"," ,S","     24.09","S","",""
"AGM00060457","2010","35.883","0.117","138.0","MOSTAGANEM, AG","        81","S","        35","S","         2","S","","","","","         0","S","       215","S","        44","S","","","  36.1"," ,S,0423, ","   41.2","S,0708, ","","","    415.3"," ,S","     23.80","S","",""
"AGM00060457","2011","35.883","0.117","138.0","MOSTAGANEM, AG","","","","","","","","","","","         0","S","       218","S","        51","S","","","","","   40.3","S,0801, ","","","","","     24.31","S","",""
"AGM00060457","2012","35.883","0.117","138.0","MOSTAGANEM, AG","        65","S","        34","S","         4","S","","","","","         0","S","       198","S","        57","S","","","  71.9"," ,S,1202, ","   45.0","S,0817, ","","","    500.5"," ,S","     23.70","S","",""
"AGM00060457","2013","35.883","0.117","138.0","MOSTAGANEM, AG","        75","S","        40","S","         3","S","","","","","         0","S","       196","S","        37","S","","","  72.9"," ,S,1221, ","   40.5","S,0823, ","","","    557.3"," ,S","     22.84","S","",""
"AGM00060457","2014","35.883","0.117","138.0","MOSTAGANEM, AG","        62","S","        34","S","         4","S","","","","","         0","S","       221","S","        36","S","","","  47.0"," ,S,0123, ","   42.2","S,0717, ","","","    470.3"," ,S","     23.54","S","",""
"AGM00060457","2015","35.883","0.117","138.0","MOSTAGANEM, AG","        50","S","        31","S","         2","S","","","","","         0","S","       219","S","        55","S","","","  27.9"," ,S,0122, ","   42.0","S,0729, ","","","    299.4"," ,S","     24.07","S","",""
"AGM00060457","2016","35.883","0.117","138.0","MOSTAGANEM, AG","        61","S","        32","S","         0","S","","","","","","","","","","","","","  23.9"," ,S,0308, ","","","","","    271.3"," ,S","","","",""
"AGM00060457","2017","35.883","0.117","138.0","MOSTAGANEM, AG","        49","S","        22","S","         3","S","","","","","","","","","","","","","  57.9"," ,S,0122, ","","","","","    322.0"," ,S","","","",""
"AGM00060457","2018","35.883","0.117","138.0","MOSTAGANEM, AG","        91","S","        47","S","         1","S","         0"," ","         0","S","","","","","","","    1.0","S,0211, ","  35.1"," ,S,0128, ","","","","","    420.0"," ,S","","","     12.78","S"
"AGM00060457","2019","35.883","0.117","138.0","MOSTAGANEM, AG","        57","S","        26","S","         1","S","","","","","","","","","","","","","  26.9"," ,S,0121, ","","","","","    264.6"," ,S","","","",""
"AGM00060457","2022","35.883","0.117","138.0","MOSTAGANEM, AG","","","","","","","         0"," ","         2","S","","","","","","","   -0.2","S,0120,+","","","","","-0.2","S,0120","","","","","     13.30","S"
"AGM00060457","2023","35.883","0.117","138.0","MOSTAGANEM, AG","        43","S","        15","S","         1","S","         0","S","         0","S","","","","","","","    0.1","S,0123, ","  35.1"," ,S,0227, ","","","","","    192.9"," ,S","","","     12.67","S"
