"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"AR000087078","1957","-24.7","-60.583","130.0","LAS LOMITAS, AR","","","","","         0","G","        12","G","         0","G","       319","G","       128","G","   -5.3","G,0802, ","   39.6","G,0101, ","0.0","G,0603","-5.0","G,0720","-5.0","G,0720","-1.9","G,0803","-5.3","G,0802","-5.3","G,0802","     393.3","3","     393.3","G","     22.23","G","     28.80","G","     15.65","G"
"AR000087078","1958","-24.7","-60.583","130.0","LAS LOMITAS, AR","","","","","         0","I","         5","I","","","","","","","   -3.9","I,0810, ","","","-2.8","I,0528","-2.8","I,0528","","","-1.1","I,0811","-3.9","I,0810","","","","","","","","","","","     16.55","I"
"AR000087078","1959","-24.7","-60.583","130.0","LAS LOMITAS, AR","","","","","         0","G","         3","G","         0","G","       319","G","       113","G","   -1.9","G,0611, ","   40.0","G,1025, ","-0.4","G,0521","","","","","-0.2","G,0815","","","","","     337.6","6","     337.6","G","     22.55","G","     28.68","G","     16.42","G"
"AR000087078","1960","-24.7","-60.583","130.0","LAS LOMITAS, AR","   1741.4","","    1741.4","G","         0","G","        13","G","         0","G","       327","G","       129","G","   -6.1","G,0709, ","   40.2","G,1224,+","-2.3","G,0521","-2.3","G,0521","-6.1","G,0709","-2.1","G,0903","","","","","     343.0","0","     343.0","G","     22.45","G","     29.46","G","     15.44","G"
"AR000087078","1961","-24.7","-60.583","130.0","LAS LOMITAS, AR","   2086.6","","    2086.6","G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AR000087078","1962","-24.7","-60.583","130.0","LAS LOMITAS, AR","","","","","         0","G","        17","G","         0","G","       319","G","       138","G","   -4.1","G,0717, ","   42.8","G,0215, ","-2.1","G,0531","-2.9","G,0706","","","-1.4","G,0824","","","","","     491.8","8","     491.8","G","     21.83","G","     29.15","G","     14.51","G"
"AR000087078","1963","-24.7","-60.583","130.0","LAS LOMITAS, AR","   1985.9","","    1985.9","G","         0","G","         7","G","         0","G","       325","G","       163","G","   -3.4","G,0806, ","   43.3","G,1127, ","-2.2","G,0617","-2.2","G,0617","","","-3.4","G,0806","-3.4","G,0806","","","     219.0","0","     219.0","G","     24.17","G","     30.53","G","     17.81","G"
"AR000087078","1964","-24.7","-60.583","130.0","LAS LOMITAS, AR","   2389.3","","    2389.3","G","         0","G","        14","G","         0","G","       328","G","       139","G","   -3.6","G,0630, ","   42.3","G,0106, ","-0.6","G,0606","-3.6","G,0630","","","-0.4","G,0804","-2.7","G,0803","","","     364.6","6","     364.6","G","     22.67","G","     29.58","G","     15.76","G"
"AR000087078","1965","-24.7","-60.583","130.0","LAS LOMITAS, AR","   1763.2","","    1763.2","G","         0","G","         6","G","         0","G","       329","G","       126","G","   -4.8","G,0711, ","   40.9","G,1204, ","-4.8","G,0711","-4.8","G,0711","-4.8","G,0711","-4.4","G,0821","-4.4","G,0821","-4.4","G,0821","     233.5","5","     233.5","G","     23.03","G","     29.45","G","     16.61","G"
"AR000087078","1966","-24.7","-60.583","130.0","LAS LOMITAS, AR","   1960.4","","    1960.4","G","         0","G","        16","G","         0","G","       341","G","       132","G","   -4.8","G,0805, ","   41.6","G,1015, ","-2.4","G,0630","-2.4","G,0630","","","-0.4","G,0903","-2.3","G,0815","-4.8","G,0805","     299.4","4","     299.4","G","     23.13","G","     30.05","G","     16.20","G"
"AR000087078","1967","-24.7","-60.583","130.0","LAS LOMITAS, AR","   2182.3","","    2182.3","G","         0","G","         2","G","         0","G","       318","G","       187","G","   -0.9","G,0722, ","   41.7","G,1201,+","-0.4","G,0624","","","","","","","","","","","     297.7","7","     297.7","G","     23.63","G","     30.57","G","     16.69","G"
"AR000087078","1968","-24.7","-60.583","130.0","LAS LOMITAS, AR","   2062.2","","    2062.2","G","         0","G","         4","G","         0","G","       338","G","       152","G","   -2.2","G,0517, ","   43.8","G,1106, ","-0.2","G,0502","-2.2","G,0517","","","","","","","","","     248.4","4","     248.4","G","     23.44","G","     30.38","G","     16.50","G"
"AR000087078","1969","-24.7","-60.583","130.0","LAS LOMITAS, AR","   2319.2","","    2319.2","G","         0","G","         8","G","         0","G","       330","G","       178","G","   -5.7","G,0710, ","   41.6","G,0915, ","-1.4","G,0630","-2.6","G,0709","-5.7","G,0710","-0.8","G,0807","","","","","     296.5","5","     296.5","G","     23.80","G","     30.73","G","     16.87","G"
"AR000087078","1970","-24.7","-60.583","130.0","LAS LOMITAS, AR","   2378.9","","    2378.9","G","         0","G","         6","G","         0","G","       330","G","       178","G","   -3.6","G,0702, ","   42.6","G,0108, ","-1.2","G,0624","-3.6","G,0702","","","","","","","","","     276.5","5","     276.5","G","     24.01","G","     30.96","G","     17.06","G"
"AR000087078","1971","-24.7","-60.583","130.0","LAS LOMITAS, AR","   2050.8","","    2050.8","G","         0","G","        11","G","         0","G","       317","G","       145","G","   -3.7","G,0705, ","   41.5","G,1228,+","-1.8","G,0528","-3.7","G,0705","","","-2.6","G,0814","-2.6","G,0814","","","     394.5","5","     394.5","G","     22.84","G","     29.54","G","     16.14","G"
"AR000087078","1972","-24.7","-60.583","130.0","LAS LOMITAS, AR","   2140.9","","    2140.9","G","         0","G","         4","G","         0","G","       324","G","       159","G","   -2.8","G,0831,+","   43.5","G,1128, ","-2.8","G,0708","-2.8","G,0708","","","-2.8","G,0831","-2.8","G,0831","","","     275.5","5","     275.5","G","     23.45","G","     30.13","G","     16.76","G"
"AR000087078","1973","-24.7","-60.583","130.0","LAS LOMITAS, AR","   2314.6","","    2314.6","G","         0","G","         2","G","         0","G","       320","G","       140","G","   -1.5","G,0828, ","   42.8","G,0131,+","-0.4","G,0723","","","","","-1.5","G,0828","","","","","     378.9","9","     378.9","G","     23.12","G","     29.40","G","     16.84","G"
"AR000087078","1974","-24.7","-60.583","130.0","LAS LOMITAS, AR","   1830.1","","    1830.1","G","         0","G","         1","G","         0","G","       318","G","       125","G","   -0.1","G,0622, ","   43.1","G,1125, ","-0.1","G,0622","","","","","","","","","","","     301.0","0","     301.0","G","     22.70","G","     29.23","G","     16.18","G"
"AR000087078","1975","-24.7","-60.583","130.0","LAS LOMITAS, AR","   2049.0","","    2049.0","G","         0","G","         5","G","         0","G","       326","G","       141","G","   -5.9","G,0719, ","   41.5","G,0214, ","-3.1","G,0717","-3.1","G,0717","-4.6","G,0718","","","","","","","     259.9","9","     259.9","G","     23.35","G","     29.73","G","     16.95","G"
"AR000087078","1976","-24.7","-60.583","130.0","LAS LOMITAS, AR","   1944.9","","    1944.9","G","         0","G","         6","G","         0","G","       323","G","       156","G","   -5.0","G,0710, ","   40.3","G,0125, ","-1.6","G,0628","-3.7","G,0702","-5.0","G,0710","","","","","","","     331.7","7","     331.7","G","     22.91","G","     29.88","G","     15.95","G"
