"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ARM00087436","2001","-33.273","-66.356","709.9","SAN LUIS, AR","         0","S","        10","S","   -4.0","S,0711, ","-0.7","S,0617","-2.5","S,0618","","","","","","","","","","","     11.52","S"
"ARM00087436","2007","-33.273","-66.356","709.9","SAN LUIS, AR","         0","S","        24","S","   -8.0","S,0710, ","-1.0","S,0508","-4.5","S,0529","-4.5","S,0529","-8.0","S,0710","-1.0","S,0826","-3.0","S,0811","-5.0","S,0810","     10.45","S"
"ARM00087436","2010","-33.273","-66.356","709.9","SAN LUIS, AR","         0","S","        14","S","   -4.0","S,0717, ","0.0","S,0712","-4.0","S,0717","","","","","-1.0","S,0815","","","","","     11.41","S"
"ARM00087436","2011","-33.273","-66.356","709.9","SAN LUIS, AR","         0","S","        17","S","   -4.3","S,0703, ","-3.5","S,0626","-3.5","S,0626","","","","","-0.1","S,0923","","","","","     11.49","S"
"ARM00087436","2012","-33.273","-66.356","709.9","SAN LUIS, AR","         0","S","         8","S","   -3.6","S,0607, ","-2.0","S,0606","-3.6","S,0607","","","","","","","","","","","     12.29","S"
"ARM00087436","2013","-33.273","-66.356","709.9","SAN LUIS, AR","         0","S","        11","S","   -5.9","S,0723,+","-3.6","S,0721","-3.6","S,0721","-5.9","S,0722","","","-0.3","S,0929","-2.6","S,0917","-4.6","S,0825","     11.99","S"
"ARM00087436","2014","-33.273","-66.356","709.9","SAN LUIS, AR","         0","S","         3","S","   -0.4","S,0523, ","-0.4","S,0523","","","","","","","","","","","","","     11.90","S"
"ARM00087436","2015","-33.273","-66.356","709.9","SAN LUIS, AR","         0","S","         0","S","    0.1","S,0704, ","","","","","","","","","","","","","","","     11.85","S"
"ARM00087436","2017","-33.273","-66.356","709.9","SAN LUIS, AR","         0","S","         4","S","   -4.1","S,0620, ","-2.0","S,0619","-4.1","S,0620","","","","","","","","","","","     11.70","S"
"ARM00087436","2018","-33.273","-66.356","709.9","SAN LUIS, AR","         0","S","         7","S","   -1.1","S,0820,+","0.0","S,0602","","","","","","","-1.1","S,0820","","","","","     11.52","S"
"ARM00087436","2019","-33.273","-66.356","709.9","SAN LUIS, AR","         0","S","         3","S","   -2.1","S,0903, ","0.0","S,0629","","","","","","","-2.1","S,0903","","","","","     11.74","S"
"ARM00087436","2020","-33.273","-66.356","709.9","SAN LUIS, AR","         0","S","         9","S","   -3.0","S,0820, ","-1.4","S,0625","-2.5","S,0724","","","","","-3.0","S,0820","-3.0","S,0820","","","     12.21","S"
