"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ARM00087791","2000","-40.869","-63.0","6.1","GOBERNADOR CASTELLO, AR","         0","S","        43","S","   -6.0","S,0607, ","-0.9","S,0504","-2.5","S,0523","-6.0","S,0607","","","","","-0.6","S,1023","-4.1","S,0901","-4.5","S,0811","","","      7.07","S"
"ARM00087791","2001","-40.869","-63.0","6.1","GOBERNADOR CASTELLO, AR","         0","S","        37","S","   -4.7","S,0817,+","-1.7","S,0429","-2.3","S,0514","-4.7","S,0705","","","","","-4.5","S,0916","-4.5","S,0916","-4.5","S,0916","","","      7.60","S"
"ARM00087791","2002","-40.869","-63.0","6.1","GOBERNADOR CASTELLO, AR","         0","S","        53","S","   -6.3","S,0710, ","-1.7","S,0421","-2.4","S,0530","-5.0","S,0612","","","","","-1.6","S,1021","-3.4","S,0901","","","","","      7.10","S"
"ARM00087791","2006","-40.869","-63.0","6.1","GOBERNADOR CASTELLO, AR","         0","S","        41","S","   -5.3","S,0616, ","-0.2","S,0416","-2.7","S,0519","-5.3","S,0616","","","","","-0.1","S,1107","-3.6","S,0905","","","","","      7.70","S"
"ARM00087791","2007","-40.869","-63.0","6.1","GOBERNADOR CASTELLO, AR","         0","S","        75","S","   -9.0","S,0728, ","0.0","S,0509","-2.5","S,0512","-7.0","S,0614","-7.0","S,0614","-9.0","S,0728","-0.3","S,1104","-3.6","S,0829","-6.0","S,0818","","","      6.68","S"
"ARM00087791","2008","-40.869","-63.0","6.1","GOBERNADOR CASTELLO, AR","         0","S","        46","S","   -6.5","S,0905, ","-0.6","S,0412","-3.5","S,0601","-4.4","S,0709","","","","","-1.0","S,1007","-6.5","S,0905","-6.5","S,0905","","","      8.19","S"
"ARM00087791","2009","-40.869","-63.0","6.1","GOBERNADOR CASTELLO, AR","         0","S","        54","S","   -5.3","S,0716, ","-1.9","S,0512","-3.6","S,0528","-4.9","S,0529","","","","","-0.4","S,1107","-3.9","S,1014","-4.4","S,0901","","","      8.15","S"
"ARM00087791","2010","-40.869","-63.0","6.1","GOBERNADOR CASTELLO, AR","         0","S","        50","S","   -6.7","S,0804,+","-3.1","S,0423","-3.1","S,0423","-4.9","S,0608","-6.7","S,0609","","","-2.2","S,1022","-2.2","S,1022","-5.7","S,0902","-6.7","S,0804","      7.53","S"
"ARM00087791","2011","-40.869","-63.0","6.1","GOBERNADOR CASTELLO, AR","         0","S","        49","S","   -7.0","S,0718, ","-0.5","S,0416","-3.0","S,0526","-5.7","S,0604","-7.0","S,0718","","","-1.0","S,1027","-2.5","S,1026","-5.4","S,0821","","","      7.98","S"
"ARM00087791","2013","-40.869","-63.0","6.1","GOBERNADOR CASTELLO, AR","         0","S","        54","S","   -5.5","S,0630, ","-1.6","S,0517","-2.6","S,0608","-4.6","S,0619","","","","","-1.8","S,1024","-2.2","S,1021","-5.0","S,0923","","","      7.52","S"
"ARM00087791","2014","-40.869","-63.0","6.1","GOBERNADOR CASTELLO, AR","         0","S","        38","S","   -7.6","S,0727, ","-0.3","S,0428","-3.5","S,0618","-4.6","S,0710","-7.6","S,0727","","","-1.3","S,1001","-4.2","S,0814","","","","","      7.41","S"
"ARM00087791","2015","-40.869","-63.0","6.1","GOBERNADOR CASTELLO, AR","         0","S","        55","S","   -6.3","S,0720, ","-2.6","S,0524","-2.6","S,0524","-6.1","S,0623","","","","","-2.6","S,1011","-2.6","S,1011","-5.5","S,0901","","","      7.56","S"
"ARM00087791","2016","-40.869","-63.0","6.1","GOBERNADOR CASTELLO, AR","         0","S","        43","S","   -5.5","S,0904,+","-1.5","S,0418","-2.8","S,0619","-5.5","S,0702","","","","","-0.3","S,1020","-4.8","S,0905","-4.8","S,0905","","","      7.69","S"
"ARM00087791","2017","-40.869","-63.0","6.1","GOBERNADOR CASTELLO, AR","         0","S","        44","S","   -7.0","S,0731, ","-1.8","S,0510","-2.6","S,0527","-4.5","S,0710","-7.0","S,0731","","","-1.1","S,1022","-3.4","S,0826","","","","","      8.03","S"
"ARM00087791","2018","-40.869","-63.0","6.1","GOBERNADOR CASTELLO, AR","         0","S","        36","S","   -5.2","S,0825, ","-1.2","S,0505","-3.5","S,0624","","","","","","","-2.1","S,1011","-2.3","S,0909","-5.1","S,0831","","","      7.99","S"
"ARM00087791","2022","-40.869","-63.0","6.1","GOBERNADOR CASTELLO, AR","         0","S","        45","S","   -5.1","S,0528, ","-2.1","S,0429","-5.0","S,0526","-5.0","S,0526","","","","","-0.3","S,1022","-4.5","S,0828","-4.5","S,0828","","","      7.54","S"
"ARM00087791","2023","-40.869","-63.0","6.1","GOBERNADOR CASTELLO, AR","         0"," ","        44","S","   -5.1","S,0707, ","-1.0","S,0414","-3.9","S,0520","-5.1","S,0707","","","","","-2.0","S,1101","-3.1","S,0930","-5.0","S,0807","","","      7.85","S"
