"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ASN00007062","1916","-23.7942","120.2442","571.0","MUNDIWINDI, AS","","","","","        41","a","        24","a","         4","a","","","","","","","","","","","","","  71.6"," ,a,0314, ","","","","","","","","","","","","","","","    362.4"," ,a","","","","","",""
"ASN00007062","1918","-23.7942","120.2442","571.0","MUNDIWINDI, AS","","","","","        36","a","        20","a","         3","a","","","","","","","","","","","","","  47.0"," ,a,0207, ","","","","","","","","","","","","","","","    267.8"," ,a","","","","","",""
"ASN00007062","1919","-23.7942","120.2442","571.0","MUNDIWINDI, AS","","","","","        50","a","        26","a","         1","a","","","","","","","","","","","","","  33.5"," ,a,0201, ","","","","","","","","","","","","","","","    233.5"," ,a","","","","","",""
"ASN00007062","1920","-23.7942","120.2442","571.0","MUNDIWINDI, AS","","","","","        46","a","        19","a","         2","a","","","","","","","","","","","","","  34.3"," ,a,0911, ","","","","","","","","","","","","","","","    237.7"," ,a","","","","","",""
"ASN00007062","1921","-23.7942","120.2442","571.0","MUNDIWINDI, AS","","","","","        52","a","        20","a","         1","a","","","","","","","","","","","","","  26.4"," ,a,0218, ","","","","","","","","","","","","","","","    224.1"," ,a","","","","","",""
"ASN00007062","1922","-23.7942","120.2442","571.0","MUNDIWINDI, AS","","","","","        43","a","        25","a","         2","a","","","","","","","","","","","","","  31.2"," ,a,0328, ","","","","","","","","","","","","","","","    282.2"," ,a","","","","","",""
"ASN00007062","1923","-23.7942","120.2442","571.0","MUNDIWINDI, AS","","","","","        45","a","        22","a","         2","a","","","","","","","","","","","","","  56.6"," ,a,0406, ","","","","","","","","","","","","","","","    277.2"," ,a","","","","","",""
"ASN00007062","1924","-23.7942","120.2442","571.0","MUNDIWINDI, AS","","","","","        19","a","         5","a","         0","a","","","","","","","","","","","","","  14.7"," ,a,1117, ","","","","","","","","","","","","","","","     56.0"," ,a","","","","","",""
"ASN00007062","1925","-23.7942","120.2442","571.0","MUNDIWINDI, AS","","","","","        45","a","        27","a","         4","a","","","","","","","","","","","","","  36.6"," ,a,1226, ","","","","","","","","","","","","","","","    331.8"," ,a","","","","","",""
"ASN00007062","1926","-23.7942","120.2442","571.0","MUNDIWINDI, AS","","","","","        36","a","        15","a","         1","a","","","","","","","","","","","","","  66.3"," ,a,0309, ","","","","","","","","","","","","","","","    187.5"," ,a","","","","","",""
"ASN00007062","1927","-23.7942","120.2442","571.0","MUNDIWINDI, AS","","","","","        55","a","        24","a","         3","a","","","","","","","","","","","","","  55.9"," ,a,0301, ","","","","","","","","","","","","","","","    331.8"," ,a","","","","","",""
"ASN00007062","1928","-23.7942","120.2442","571.0","MUNDIWINDI, AS","","","","","        34","a","        14","a","         0","a","","","","","","","","","","","","","  17.8"," ,a,1228,+","","","","","","","","","","","","","","","    136.0"," ,a","","","","","",""
"ASN00007062","1929","-23.7942","120.2442","571.0","MUNDIWINDI, AS","","","","","        34","a","        19","a","         2","a","","","","","","","","","","","","","  31.2"," ,a,0221, ","","","","","","","","","","","","","","","    204.4"," ,a","","","","","",""
"ASN00007062","1930","-23.7942","120.2442","571.0","MUNDIWINDI, AS","","","","","        53","a","        24","a","         5","a","","","","","","","","","","","",""," 114.3"," ,a,1229, ","","","","","","","","","","","","","","","    433.6"," ,a","","","","","",""
"ASN00007062","1931","-23.7942","120.2442","571.0","MUNDIWINDI, AS","","","","","        46","a","        24","a","         7","a","","","","","","","","","","","","","  70.6"," ,a,0330, ","","","","","","","","","","","","","","","    536.2"," ,a","","","","","",""
"ASN00007062","1932","-23.7942","120.2442","571.0","MUNDIWINDI, AS","","","","","        28","a","        12","a","         1","a","","","","","","","","","","","","","  86.1"," ,a,1217, ","","","","","","","","","","","","","","","    193.2"," ,a","","","","","",""
"ASN00007062","1933","-23.7942","120.2442","571.0","MUNDIWINDI, AS","","","","","        48","a","        25","a","         0","a","","","","","","","","","","","","","  19.1"," ,a,0308, ","","","","","","","","","","","","","","","    231.9"," ,a","","","","","",""
"ASN00007062","1934","-23.7942","120.2442","571.0","MUNDIWINDI, AS","","","","","        47","a","        26","a","         3","a","","","","","","","","","","","","","  76.2"," ,a,0329, ","","","","","","","","","","","","","","","    426.8"," ,a","","","","","",""
"ASN00007062","1935","-23.7942","120.2442","571.0","MUNDIWINDI, AS","","","","","        25","a","        14","a","         0","a","","","","","","","","","","","","","  16.0"," ,a,0209, ","","","","","","","","","","","","","","","    103.2"," ,a","","","","","",""
"ASN00007062","1936","-23.7942","120.2442","571.0","MUNDIWINDI, AS","","","","","        33","a","        13","a","         0","a","","","","","","","","","","","","","  19.3"," ,a,1230, ","","","","","","","","","","","","","","","    123.6"," ,a","","","","","",""
"ASN00007062","1937","-23.7942","120.2442","571.0","MUNDIWINDI, AS","","","","","        37","a","        20","a","         1","a","","","","","","","","","","","","","  37.6"," ,a,0106, ","","","","","","","","","","","","","","","    173.6"," ,a","","","","","",""
"ASN00007062","1938","-23.7942","120.2442","571.0","MUNDIWINDI, AS","","","","","        41","a","        24","a","         4","a","","","","","","","","","","","","","  59.2"," ,a,0116, ","","","","","","","","","","","","","","","    391.9"," ,a","","","","","",""
"ASN00007062","1939","-23.7942","120.2442","571.0","MUNDIWINDI, AS","","","","","        34","a","        16","a","         3","a","","","","","","","","","","","","","  45.0"," ,a,0113, ","","","","","","","","","","","","","","","    285.1"," ,a","","","","","",""
"ASN00007062","1940","-23.7942","120.2442","571.0","MUNDIWINDI, AS","","","","","        30","a","        12","a","         2","a","","","","","","","","","","","","","  30.2"," ,a,0124, ","","","","","","","","","","","","","","","    132.1"," ,a","","","","","",""
"ASN00007062","1941","-23.7942","120.2442","571.0","MUNDIWINDI, AS","","","","","        47","a","        19","a","         2","a","","","","","","","","","","","","","  42.7"," ,a,0713, ","","","","","","","","","","","","","","","    259.4"," ,a","","","","","",""
"ASN00007062","1942","-23.7942","120.2442","571.0","MUNDIWINDI, AS","","","","","        53","a","        42","a","         8","a","","","","","","","","","","","",""," 132.8"," ,a,0326, ","","","","","","","","","","","","","","","    816.0"," ,a","","","","","",""
"ASN00007062","1943","-23.7942","120.2442","571.0","MUNDIWINDI, AS","","","","","        39","a","        19","a","         2","a","","","","","","","","","","","","","  36.1"," ,a,0308, ","","","","","","","","","","","","","","","    226.2"," ,a","","","","","",""
"ASN00007062","1944","-23.7942","120.2442","571.0","MUNDIWINDI, AS","","","","","        13","a","         4","a","         0","a","","","","","","","","","","","","","   6.4"," ,a,0405, ","","","","","","","","","","","","","","","     26.3"," ,a","","","","","",""
"ASN00007062","1945","-23.7942","120.2442","571.0","MUNDIWINDI, AS","","","","","        22","a","        12","a","         1","a","","","","","","","","","","","",""," 174.8"," ,a,0308, ","","","","","","","","","","","","","","","    253.8"," ,a","","","","","",""
"ASN00007062","1946","-23.7942","120.2442","571.0","MUNDIWINDI, AS","","","","","        26","a","        17","a","         3","a","","","","","","","","","","","","","  34.5"," ,a,0101, ","","","","","","","","","","","","","","","    206.4"," ,a","","","","","",""
"ASN00007062","1947","-23.7942","120.2442","571.0","MUNDIWINDI, AS","","","","","        43","a","        29","a","         6","a","","","","","","","","","","","",""," 106.2"," ,a,1231, ","","","","","","","","","","","","","","","    455.9"," ,a","","","","","",""
"ASN00007062","1948","-23.7942","120.2442","571.0","MUNDIWINDI, AS","","","","","        40","a","        21","a","         4","a","","","","","","","","","","","","","  45.0"," ,a,0312, ","","","","","","","","","","","","","","","    296.0"," ,a","","","","","",""
"ASN00007062","1949","-23.7942","120.2442","571.0","MUNDIWINDI, AS","","","","","        39","a","        22","a","         3","a","","","","","","","","","","","","","  46.7"," ,a,0524, ","","","","","","","","","","","","","","","    296.4"," ,a","","","","","",""
"ASN00007062","1950","-23.7942","120.2442","571.0","MUNDIWINDI, AS","","","","","        33","a","        11","a","         0","a","","","","","","","","","","","","","  17.0"," ,a,0526, ","","","","","","","","","","","","","","","    103.1"," ,a","","","","","",""
"ASN00007062","1951","-23.7942","120.2442","571.0","MUNDIWINDI, AS","","","","","        43","a","        14","a","         1","a","","","","","","","","","","","","","  40.4"," ,a,0608, ","","","","","","","","","","","","","","","    145.0"," ,a","","","","","",""
"ASN00007062","1952","-23.7942","120.2442","571.0","MUNDIWINDI, AS","","","","","        43","a","        20","a","         1","a","","","","","","","","","","","","","  52.3"," ,a,0520, ","","","","","","","","","","","","","","","    228.8"," ,a","","","","","",""
