"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ASN00009131","1969","-30.3081","115.0311","1.6","JURIEN BAY, AS","","","","","        46","a","        20","a","         1","a","","","","","","","","","","","","","  31.5"," ,a,0613, ","","","","","","","","","    243.5"," ,a","","","","","",""
"ASN00009131","1970","-30.3081","115.0311","1.6","JURIEN BAY, AS","","","","","       106","a","        56","a","         2","a","         0","a","         0","a","         0","a","       248","a","        33","a","    2.6","a,0815, ","  34.8"," ,a,0629, ","   41.3","a,0201, ","","","     623.4","4","     623.4","a","    598.3"," ,a","     18.25","a","     24.10","a","     12.40","a"
"ASN00009131","1971","-30.3081","115.0311","1.6","JURIEN BAY, AS","    593.5","","     593.5","a","       122","a","        54","a","         3","a","         0","a","         0","a","         0","a","       236","a","        30","a","    1.7","a,0425, ","  35.6"," ,a,0531, ","   42.3","a,0121, ","","","     726.1","1","     726.1","a","    524.6"," ,a","     17.88","a","     23.58","a","     12.18","a"
"ASN00009131","1972","-30.3081","115.0311","1.6","JURIEN BAY, AS","    579.4","","     579.4","a","       100","a","        49","a","         4","a","         0","a","         0","a","         0","a","       268","a","        51","a","    1.6","a,0706, ","  72.4"," ,a,0614, ","   40.2","a,0221, ","","","     541.4","4","     541.4","a","    623.9"," ,a","     19.03","a","     25.10","a","     12.96","a"
"ASN00009131","1973","-30.3081","115.0311","1.6","JURIEN BAY, AS","    766.2","","     766.2","a","       137","a","        60","a","         2","a","         0","a","         0","a","         0","a","       254","a","        43","a","    0.2","a,0626, ","  51.6"," ,a,0718, ","   40.5","a,0114, ","","","     547.5","5","     547.5","a","    609.6"," ,a","     18.71","a","     24.50","a","     12.94","a"
"ASN00009131","1974","-30.3081","115.0311","1.6","JURIEN BAY, AS","    761.1","","     761.1","a","        90","a","        58","a","         4","a","         0","a","         0","a","         0","a","       277","a","        45","a","    0.3","a,0619, ","  49.2"," ,a,0510, ","   41.9","a,1219, ","","","     505.0","0","     505.0","a","    664.8"," ,a","     18.91","a","     24.98","a","     12.84","a"
"ASN00009131","1975","-30.3081","115.0311","1.6","JURIEN BAY, AS","    621.1","","     621.1","a","        96","a","        52","a","         1","a","         0","a","         0","a","         0","a","       276","a","        39","a","    2.6","a,0811,+","  49.3"," ,a,0417, ","   42.0","a,0215, ","","","     522.1","1","     522.1","a","    563.4"," ,a","     18.72","a","     24.89","a","     12.55","a"
"ASN00009131","1976","-30.3081","115.0311","1.6","JURIEN BAY, AS","    814.4","","     814.4","a","        89","a","        50","a","         5","a","         0","a","         0","a","         0","a","       288","a","        39","a","    1.8","a,0822, ","  87.1"," ,a,0228, ","   40.3","a,0222, ","","","     491.9","9","     491.9","a","    594.2"," ,a","     19.13","a","     25.21","a","     13.05","a"
"ASN00009131","1977","-30.3081","115.0311","1.6","JURIEN BAY, AS","    566.1","","     566.1","a","        76","a","        43","a","         1","a","         0","a","         0","a","         0","a","       271","a","        37","a","    1.3","a,0903, ","  25.4"," ,a,0813, ","   40.0","a,0129, ","","","     475.3","3","     475.3","a","    419.3"," ,a","     18.83","a","     24.85","a","     12.81","a"
"ASN00009131","1978","-30.3081","115.0311","1.6","JURIEN BAY, AS","","","","","        99","a","        58","a","         4","a","         0","a","         0","a","","","","","","","    3.6","a,0801, ","  53.6"," ,a,0624, ","","","","","","","","","    706.8"," ,a","","","","","     13.61","a"
