"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ASN00009256","2002","-32.2433","115.6839","6.0","GARDEN ISLAND HSF, AS","","","","","","","","","","","         0","a","         0","a","         0","a","       176","a","        24","a","    7.0","a,0917,+","","","   37.0","a,1224,+","","","","","","","     18.83","a","     22.71","a","     14.95","a"
"ASN00009256","2003","-32.2433","115.6839","6.0","GARDEN ISLAND HSF, AS","","","","","       107","a","        65","a","         3","a","         0","a","         0","a","         0","a","       190","a","        17","a","    5.4","a,0715, ","  37.0"," ,a,0330, ","   40.1","a,0310, ","     569.2","2","     569.2","a","    700.0"," ,a","     18.68","a","     22.49","a","     14.86","a"
"ASN00009256","2004","-32.2433","115.6839","6.0","GARDEN ISLAND HSF, AS","    633.4","","     633.4","a","        95","a","        56","a","         1","a","         0","a","         0","a","         0","a","       201","a","        24","a","    5.8","a,0711, ","  26.0"," ,a,0812, ","   41.8","a,0322, ","     563.8","8","     563.8","a","    534.4"," ,a","     18.65","a","     22.52","a","     14.78","a"
"ASN00009256","2005","-32.2433","115.6839","6.0","GARDEN ISLAND HSF, AS","","","","","       115","a","        65","a","         8","a","         0","a","         0","a","         0","a","       167","a","        16","a","    5.3","a,0707, ","  60.2"," ,a,0502, ","   39.9","a,0215, ","","","","","    848.6"," ,a","     18.04","a","     21.61","a","     14.47","a"
"ASN00009256","2006","-32.2433","115.6839","6.0","GARDEN ISLAND HSF, AS","    462.5","","     462.5","a","        90","a","        52","a","         2","a","         0","a","         0","a","         0","a","       208","a","        25","a","    5.7","a,0617, ","  37.8"," ,a,0822, ","   39.0","a,0221, ","     491.5","5","     491.5","a","    459.8"," ,a","     18.77","a","     22.85","a","     14.68","a"
"ASN00009256","2007","-32.2433","115.6839","6.0","GARDEN ISLAND HSF, AS","    658.8","","     658.8","a","       103","a","        61","a","         1","a","         0","a","         0","a","         0","a","       178","a","        17","a","    5.1","a,0813, ","  37.2"," ,a,0724, ","   43.4","a,1226, ","     492.6","6","     492.6","a","    655.2"," ,a","     18.60","a","     22.30","a","     14.89","a"
"ASN00009256","2008","-32.2433","115.6839","6.0","GARDEN ISLAND HSF, AS","    688.4","","     688.4","a","       104","a","        64","a","         5","a","         0","a","         0","a","         0","a","       184","a","        18","a","    3.5","a,0816, ","  53.6"," ,a,0401, ","   38.9","a,0117, ","     572.9","9","     572.9","a","    765.2"," ,a","     18.57","a","     22.47","a","     14.67","a"
"ASN00009256","2009","-32.2433","115.6839","6.0","GARDEN ISLAND HSF, AS","    584.5","","     584.5","a","        95","a","        65","a","         0","a","         0","a","         0","a","         0","a","       208","a","        23","a","    4.3","a,0731, ","  23.0"," ,a,0719, ","   38.6","a,0116, ","     558.9","9","     558.9","a","    510.0"," ,a","     18.65","a","     22.53","a","     14.77","a"
"ASN00009256","2010","-32.2433","115.6839","6.0","GARDEN ISLAND HSF, AS","    681.0","","     681.0","a","        64","a","        42","a","         2","a","         0","a","         0","a","         0","a","       210","a","        31","a","    5.8","a,0625, ","  27.0"," ,a,0812,+","   40.4","a,0117, ","     591.7","7","     591.7","a","    407.6"," ,a","     18.82","a","     23.08","a","     14.55","a"
"ASN00009256","2011","-32.2433","115.6839","6.0","GARDEN ISLAND HSF, AS","    971.6","","     971.6","a","        96","a","        63","a","         3","a","         0","a","         0","a","         0","a","       227","a","        45","a","    7.4","a,0704, ","  37.4"," ,a,0530, ","   37.9","a,1228, ","     405.2","2","     405.2","a","    649.6"," ,a","     19.89","a","     23.88","a","     15.90","a"
