"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES"
"ASN00013001","1946","-25.5908","121.5853","523.0","EARAHEEDY, AS","        27","a","        22","a","         4","a","","","","","","","  38.1"," ,a,0101, ","","","    281.6"," ,a","",""
"ASN00013001","1947","-25.5908","121.5853","523.0","EARAHEEDY, AS","        39","a","        35","a","         5","a","","","","","","","  73.4"," ,a,0227, ","","","    529.7"," ,a","",""
"ASN00013001","1948","-25.5908","121.5853","523.0","EARAHEEDY, AS","        32","a","        26","a","         3","a","","","","","","","  68.1"," ,a,0312, ","","","    323.8"," ,a","",""
"ASN00013001","1949","-25.5908","121.5853","523.0","EARAHEEDY, AS","        29","a","        18","a","         0","a","","","","","","","  16.3"," ,a,1108, ","","","    150.5"," ,a","",""
"ASN00013001","1950","-25.5908","121.5853","523.0","EARAHEEDY, AS","        31","a","        17","a","         0","a","","","","","","","  15.2"," ,a,0515, ","","","    108.4"," ,a","",""
"ASN00013001","1951","-25.5908","121.5853","523.0","EARAHEEDY, AS","        23","a","        11","a","         1","a","","","","","","","  30.2"," ,a,0606, ","","","    111.0"," ,a","",""
"ASN00013001","1952","-25.5908","121.5853","523.0","EARAHEEDY, AS","        30","a","        15","a","         1","a","","","","","","","  30.7"," ,a,0520, ","","","    159.8"," ,a","",""
"ASN00013001","1953","-25.5908","121.5853","523.0","EARAHEEDY, AS","        37","a","        18","a","         3","a","","","","","","","  38.4"," ,a,0514, ","","","    204.7"," ,a","",""
"ASN00013001","1954","-25.5908","121.5853","523.0","EARAHEEDY, AS","        39","a","        23","a","         1","a","","","","","","","  42.2"," ,a,0503, ","","","    220.0"," ,a","",""
"ASN00013001","1955","-25.5908","121.5853","523.0","EARAHEEDY, AS","        56","a","        28","a","         3","a","","","","","","","  83.1"," ,a,0103, ","","","    510.7"," ,a","",""
"ASN00013001","1956","-25.5908","121.5853","523.0","EARAHEEDY, AS","        30","a","        17","a","         0","a","","","","","","","  19.6"," ,a,0716, ","","","    126.5"," ,a","",""
"ASN00013001","1957","-25.5908","121.5853","523.0","EARAHEEDY, AS","        24","a","        12","a","         0","a","","","","","","","  19.8"," ,a,1002, ","","","     84.0"," ,a","",""
"ASN00013001","1958","-25.5908","121.5853","523.0","EARAHEEDY, AS","        40","a","        21","a","         4","a","","","","","","","  77.5"," ,a,0122, ","","","    416.8"," ,a","",""
"ASN00013001","1959","-25.5908","121.5853","523.0","EARAHEEDY, AS","        28","a","        11","a","         0","a","","","","","","","  24.9"," ,a,0413, ","","","    132.9"," ,a","",""
"ASN00013001","1960","-25.5908","121.5853","523.0","EARAHEEDY, AS","        50","a","        27","a","         1","a","","","","","","","  32.5"," ,a,0218, ","","","    325.0"," ,a","",""
"ASN00013001","1961","-25.5908","121.5853","523.0","EARAHEEDY, AS","        28","a","        13","a","         0","a","","","","","","","  22.4"," ,a,0215, ","","","    129.5"," ,a","",""
"ASN00013001","1962","-25.5908","121.5853","523.0","EARAHEEDY, AS","        32","a","        18","a","         2","a","","","","","","","  70.6"," ,a,0215, ","","","    193.1"," ,a","",""
"ASN00013001","1963","-25.5908","121.5853","523.0","EARAHEEDY, AS","        47","a","        26","a","         0","a","","","","","","","  23.1"," ,a,0314, ","","","    229.4"," ,a","",""
"ASN00013001","1964","-25.5908","121.5853","523.0","EARAHEEDY, AS","        28","a","        15","a","         2","a","","","","","","","  41.4"," ,a,0104, ","","","    215.6"," ,a","",""
"ASN00013001","1965","-25.5908","121.5853","523.0","EARAHEEDY, AS","        25","a","        19","a","         2","a","","","","","",""," 104.1"," ,a,0313, ","","","    324.9"," ,a","",""
"ASN00013001","1966","-25.5908","121.5853","523.0","EARAHEEDY, AS","        29","a","        17","a","         1","a","","","","","","","  33.3"," ,a,0430, ","","","    161.6"," ,a","",""
"ASN00013001","1967","-25.5908","121.5853","523.0","EARAHEEDY, AS","        29","a","        17","a","         4","a","","","","","","","  78.7"," ,a,0219, ","","","    335.6"," ,a","",""
"ASN00013001","1968","-25.5908","121.5853","523.0","EARAHEEDY, AS","        38","a","        24","a","         5","a","","","","","","","  92.2"," ,a,0306, ","","","    440.3"," ,a","",""
"ASN00013001","1969","-25.5908","121.5853","523.0","EARAHEEDY, AS","        16","a","        12","a","         1","a","","","","","","","  40.9"," ,a,0111, ","","","    160.1"," ,a","",""
"ASN00013001","1970","-25.5908","121.5853","523.0","EARAHEEDY, AS","        22","a","        16","a","         2","a","","","","","","","  59.7"," ,a,0507, ","","","    189.4"," ,a","",""
"ASN00013001","1971","-25.5908","121.5853","523.0","EARAHEEDY, AS","        15","a","        11","a","         1","a","","","","","","","  82.3"," ,a,0604, ","","","    152.8"," ,a","",""
