"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ASN00017126","1999","-29.6587","138.0684","50.0","MARREE AERO, AS","","","","","        19","a","         9","a","         0","a","         0","a","         2","a","         0","a","       262","a","       112","a","    0.0","a,0802,+","  13.0"," ,a,1211, ","   46.0","a,0118, ","0.0","a,0704","","","0.0","a,0802","","","","","     60.2"," ,a","     21.50","a","     29.07","a","     13.94","a"
"ASN00017126","2000","-29.6587","138.0684","50.0","MARREE AERO, AS","","","","","        37","a","        17","a","         3","a","         0","a","         1","a","         0","a","       275","a","       126","a","    0.0","a,0711, ","  40.0"," ,a,0411,+","   45.0","a,0118, ","0.0","a,0711","","","","","     666.1","1","     666.1","a","    211.4"," ,a","     21.45","a","     28.60","a","     14.30","a"
"ASN00017126","2003","-29.6587","138.0684","50.0","MARREE AERO, AS","","","","","","","","","","","","","","","         0","a","       268","a","       111","a","","","","","   46.0","a,0129, ","","","","","","","","","","","","","","","     28.76","a","",""
"ASN00017126","2006","-29.6587","138.0684","50.0","MARREE AERO, AS","","","","","","","","","","","         0","a","         0","a","         0","a","       286","a","       142","a","    0.1","a,0627, ","","","   46.5","a,0110, ","","","","","","","     673.6","6","     673.6","a","","","     21.91","a","     29.53","a","     14.28","a"
"ASN00017126","2007","-29.6587","138.0684","50.0","MARREE AERO, AS","   1986.5","","    1986.5","a","        21","a","         6","a","         0","a","         0","a","         5","a","         0","a","       303","a","       146","a","   -0.5","a,0721, ","  17.6"," ,a,0121, ","   44.6","a,0205, ","-0.2","a,0615","","","","","     602.9","9","     602.9","a","     68.0"," ,a","     21.98","a","     29.61","a","     14.36","a"
"ASN00017126","2008","-29.6587","138.0684","50.0","MARREE AERO, AS","   1730.9","","    1730.9","a","        28","a","        12","a","         1","a","         0","a","         0","a","         0","a","       282","a","       123","a","    0.5","a,0808, ","  27.2"," ,a,1212, ","   44.5","a,0102, ","","","","","","","     647.6","6","     647.6","a","    135.4"," ,a","     21.12","a","     28.51","a","     13.73","a"
"ASN00017126","2009","-29.6587","138.0684","50.0","MARREE AERO, AS","   1754.4","","    1754.4","a","        28","a","         9","a","         0","a","         0","a","         0","a","         0","a","       301","a","       138","a","    1.7","a,0717,+","  21.0"," ,a,0424, ","   46.9","a,0207, ","","","","","","","     527.4","4","     527.4","a","    111.2"," ,a","     22.06","a","     29.45","a","     14.67","a"
"ASN00017126","2010","-29.6587","138.0684","50.0","MARREE AERO, AS","   1774.0","","    1774.0","a","        37","a","        24","a","         1","a","         0","a","         2","a","         0","a","       257","a","       117","a","   -0.5","a,0628, ","  28.8"," ,a,0904, ","   44.2","a,0127, ","-0.5","a,0628","","","","","     709.5","5","     709.5","a","    263.0"," ,a","     20.59","a","     27.34","a","     13.84","a"
"ASN00017126","2011","-29.6587","138.0684","50.0","MARREE AERO, AS","   1504.5","","    1504.5","a","        32","a","        19","a","         1","a","         0","a","         4","a","         0","a","       288","a","       119","a","   -0.8","a,0709, ","  91.8"," ,a,0206, ","   47.3","a,0125, ","-0.4","a,0610","","","","","     635.4","4","     635.4","a","    267.2"," ,a","     21.28","a","     28.75","a","     13.81","a"
"ASN00017126","2012","-29.6587","138.0684","50.0","MARREE AERO, AS","   1597.0","","    1597.0","a","        24","a","         9","a","         1","a","         0","a","         8","a","         0","a","       284","a","       137","a","   -1.0","a,0703, ","  66.2"," ,a,0229, ","   45.5","a,1126, ","-0.5","a,0623","","","-0.6","a,0802","     788.7","7","     788.7","a","    144.8"," ,a","     20.98","a","     28.92","a","     13.04","a"
