"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES"
"ASN00023843","1986","-35.0266","138.7133","470.0","HEATHFIELD WORKS DEPOT, AS","   1145.2"," ,a"
"ASN00023843","1987","-35.0266","138.7133","470.0","HEATHFIELD WORKS DEPOT, AS","   1039.7"," ,a"
"ASN00023843","1988","-35.0266","138.7133","470.0","HEATHFIELD WORKS DEPOT, AS","    994.9"," ,a"
"ASN00023843","1989","-35.0266","138.7133","470.0","HEATHFIELD WORKS DEPOT, AS","    989.5"," ,a"
"ASN00023843","1991","-35.0266","138.7133","470.0","HEATHFIELD WORKS DEPOT, AS","    941.8"," ,a"
"ASN00023843","1992","-35.0266","138.7133","470.0","HEATHFIELD WORKS DEPOT, AS","   1467.7"," ,a"
"ASN00023843","1995","-35.0266","138.7133","470.0","HEATHFIELD WORKS DEPOT, AS","   1052.9"," ,a"
"ASN00023843","1996","-35.0266","138.7133","470.0","HEATHFIELD WORKS DEPOT, AS","   1065.4"," ,a"
"ASN00023843","1997","-35.0266","138.7133","470.0","HEATHFIELD WORKS DEPOT, AS","    832.5"," ,a"
"ASN00023843","1998","-35.0266","138.7133","470.0","HEATHFIELD WORKS DEPOT, AS","    906.0"," ,a"
"ASN00023843","1999","-35.0266","138.7133","470.0","HEATHFIELD WORKS DEPOT, AS","   1015.0"," ,a"
"ASN00023843","2000","-35.0266","138.7133","470.0","HEATHFIELD WORKS DEPOT, AS","   1143.8"," ,a"
"ASN00023843","2001","-35.0266","138.7133","470.0","HEATHFIELD WORKS DEPOT, AS","   1202.6"," ,a"
"ASN00023843","2002","-35.0266","138.7133","470.0","HEATHFIELD WORKS DEPOT, AS","    752.0"," ,a"
"ASN00023843","2003","-35.0266","138.7133","470.0","HEATHFIELD WORKS DEPOT, AS","   1100.4"," ,a"
"ASN00023843","2004","-35.0266","138.7133","470.0","HEATHFIELD WORKS DEPOT, AS","   1098.5"," ,a"
"ASN00023843","2005","-35.0266","138.7133","470.0","HEATHFIELD WORKS DEPOT, AS","   1154.4"," ,a"
"ASN00023843","2006","-35.0266","138.7133","470.0","HEATHFIELD WORKS DEPOT, AS","    670.0"," ,a"
"ASN00023843","2012","-35.0266","138.7133","470.0","HEATHFIELD WORKS DEPOT, AS","    976.5"," ,a"
"ASN00023843","2014","-35.0266","138.7133","470.0","HEATHFIELD WORKS DEPOT, AS","    822.1"," ,a"
