"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ASN00035070","1888","-25.6408","149.7958","199.0","TAROOM POST OFFICE, AS","","","","","        48","a","        37","a","         4","a","","","","","","","","","","","","","  96.5"," ,a,0124, ","","","","","","","","","","","","","","","","","    485.2"," ,a","","","","","",""
"ASN00035070","1889","-25.6408","149.7958","199.0","TAROOM POST OFFICE, AS","","","","","        67","a","        56","a","         9","a","","","","","","","","","","","","","  81.3"," ,a,0325, ","","","","","","","","","","","","","","","","","    910.1"," ,a","","","","","",""
"ASN00035070","1891","-25.6408","149.7958","199.0","TAROOM POST OFFICE, AS","","","","","        66","a","        57","a","         7","a","","","","","","","","","","","","","  61.0"," ,a,0608, ","","","","","","","","","","","","","","","","","    681.8"," ,a","","","","","",""
"ASN00035070","1894","-25.6408","149.7958","199.0","TAROOM POST OFFICE, AS","","","","","        67","a","        56","a","        10","a","","","","","","","","","","","","","  83.8"," ,a,0114, ","","","","","","","","","","","","","","","","","    958.1"," ,a","","","","","",""
"ASN00035070","1895","-25.6408","149.7958","199.0","TAROOM POST OFFICE, AS","","","","","        51","a","        39","a","         4","a","","","","","","","","","","","","","  97.8"," ,a,0407, ","","","","","","","","","","","","","","","","","    515.7"," ,a","","","","","",""
"ASN00035070","1896","-25.6408","149.7958","199.0","TAROOM POST OFFICE, AS","","","","","        52","a","        39","a","         8","a","","","","","","","","","","","",""," 137.7"," ,a,0226, ","","","","","","","","","","","","","","","","","    684.8"," ,a","","","","","",""
"ASN00035070","1899","-25.6408","149.7958","199.0","TAROOM POST OFFICE, AS","","","","","        76","a","        36","a","         8","a","","","","","","","","","","","",""," 107.7"," ,a,0129, ","","","","","","","","","","","","","","","","","    678.8"," ,a","","","","","",""
"ASN00035070","1900","-25.6408","149.7958","199.0","TAROOM POST OFFICE, AS","","","","","        49","a","        37","a","        10","a","","","","","","","","","","","","","  72.1"," ,a,0216, ","","","","","","","","","","","","","","","","","    616.2"," ,a","","","","","",""
"ASN00035070","1901","-25.6408","149.7958","199.0","TAROOM POST OFFICE, AS","","","","","        49","a","        32","a","         4","a","","","","","","","","","","","","","  58.7"," ,a,0705, ","","","","","","","","","","","","","","","","","    489.0"," ,a","","","","","",""
"ASN00035070","1902","-25.6408","149.7958","199.0","TAROOM POST OFFICE, AS","","","","","        32","a","        21","a","         4","a","","","","","","","","","","","","","  33.3"," ,a,0217, ","","","","","","","","","","","","","","","","","    243.0"," ,a","","","","","",""
"ASN00035070","1903","-25.6408","149.7958","199.0","TAROOM POST OFFICE, AS","","","","","        66","a","        58","a","        10","a","","","","","","","","","","","","","  71.4"," ,a,0124, ","","","","","","","","","","","","","","","","","    904.5"," ,a","","","","","",""
"ASN00035070","1904","-25.6408","149.7958","199.0","TAROOM POST OFFICE, AS","","","","","        52","a","        40","a","         4","a","","","","","","","","","","","","","  54.9"," ,a,0224, ","","","","","","","","","","","","","","","","","    521.4"," ,a","","","","","",""
"ASN00035070","1905","-25.6408","149.7958","199.0","TAROOM POST OFFICE, AS","","","","","        45","a","        37","a","         7","a","","","","","","","","","","","","","  64.5"," ,a,0405, ","","","","","","","","","","","","","","","","","    613.6"," ,a","","","","","",""
"ASN00035070","1906","-25.6408","149.7958","199.0","TAROOM POST OFFICE, AS","","","","","        78","a","        59","a","        11","a","","","","","","","","","","","","","  86.4"," ,a,0202, ","","","","","","","","","","","","","","","","","   1001.1"," ,a","","","","","",""
"ASN00035070","1907","-25.6408","149.7958","199.0","TAROOM POST OFFICE, AS","","","","","        64","a","        49","a","         5","a","","","","","","","","","","","","","  73.7"," ,a,1117, ","","","","","","","","","","","","","","","","","    635.3"," ,a","","","","","",""
"ASN00035070","1908","-25.6408","149.7958","199.0","TAROOM POST OFFICE, AS","","","","","        70","a","        51","a","         8","a","","","","","","","","","","","","","  73.4"," ,a,0211, ","","","","","","","","","","","","","","","","","    692.2"," ,a","","","","","",""
"ASN00035070","1909","-25.6408","149.7958","199.0","TAROOM POST OFFICE, AS","","","","","        67","a","        47","a","         6","a","","","","","","","","","","","","","  95.3"," ,a,0117, ","","","","","","","","","","","","","","","","","    635.5"," ,a","","","","","",""
"ASN00035070","1910","-25.6408","149.7958","199.0","TAROOM POST OFFICE, AS","","","","","        57","a","        49","a","        10","a","","","","","","","","","","","",""," 119.4"," ,a,0115, ","","","","","","","","","","","","","","","","","    848.4"," ,a","","","","","",""
"ASN00035070","1911","-25.6408","149.7958","199.0","TAROOM POST OFFICE, AS","","","","","        53","a","        42","a","         4","a","","","","","","","","","","","","","  86.4"," ,a,1230, ","","","","","","","","","","","","","","","","","    590.7"," ,a","","","","","",""
"ASN00035070","1912","-25.6408","149.7958","199.0","TAROOM POST OFFICE, AS","","","","","        55","a","        40","a","         8","a","","","","","","","","","","","","","  96.8"," ,a,0609, ","","","","","","","","","","","","","","","","","    685.8"," ,a","","","","","",""
"ASN00035070","1913","-25.6408","149.7958","199.0","TAROOM POST OFFICE, AS","","","","","        59","a","        46","a","        11","a","","","","","","","","","","","","","  55.1"," ,a,0101, ","","","","","","","","","","","","","","","","","    690.7"," ,a","","","","","",""
"ASN00035070","1914","-25.6408","149.7958","199.0","TAROOM POST OFFICE, AS","","","","","        59","a","        41","a","         4","a","","","","","","","","","","","","","  64.8"," ,a,1129, ","","","","","","","","","","","","","","","","","    503.7"," ,a","","","","","",""
