"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ASN00050052","1955","-33.0664","147.2283","195.0","CONDOBOLIN AG RESEARCH STATION, AS","","","","","        87","a","        49","a","         5","a","","","","","","","","","","","","","  63.2"," ,a,1025, ","","","","","","","","","","","","","","","","","","","","","    604.6"," ,a","","","","","",""
"ASN00050052","1956","-33.0664","147.2283","195.0","CONDOBOLIN AG RESEARCH STATION, AS","","","","","       116","a","        63","a","         6","a","","","","","","","","","","","",""," 100.6"," ,a,0308, ","","","","","","","","","","","","","","","","","","","","","    823.1"," ,a","","","","","",""
"ASN00050052","1957","-33.0664","147.2283","195.0","CONDOBOLIN AG RESEARCH STATION, AS","","","","","        48","a","        23","a","         1","a","","","","","","","","","","","","","  26.9"," ,a,0709, ","","","","","","","","","","","","","","","","","","","","","    213.3"," ,a","","","","","",""
"ASN00050052","1958","-33.0664","147.2283","195.0","CONDOBOLIN AG RESEARCH STATION, AS","","","","","        57","a","        31","a","         1","a","","","","","","","","","","","","","  38.9"," ,a,0219, ","","","","","","","","","","","","","","","","","","","","","    390.8"," ,a","","","","","",""
"ASN00050052","1959","-33.0664","147.2283","195.0","CONDOBOLIN AG RESEARCH STATION, AS","","","","","        51","a","        26","a","         7","a","","","","","","","","","","","","","  48.5"," ,a,0328, ","","","","","","","","","","","","","","","","","","","","","    416.4"," ,a","","","","","",""
"ASN00050052","1960","-33.0664","147.2283","195.0","CONDOBOLIN AG RESEARCH STATION, AS","","","","","        55","a","        28","a","         3","a","","","","","","","","","","","","","  52.1"," ,a,0110, ","","","","","","","","","","","","","","","","","","","","","    420.1"," ,a","","","","","",""
"ASN00050052","1961","-33.0664","147.2283","195.0","CONDOBOLIN AG RESEARCH STATION, AS","","","","","        57","a","        35","a","         4","a","","","","","","","","","","","","","  56.6"," ,a,0424, ","","","","","","","","","","","","","","","","","","","","","    581.1"," ,a","","","","","",""
"ASN00050052","1962","-33.0664","147.2283","195.0","CONDOBOLIN AG RESEARCH STATION, AS","","","","","        71","a","        40","a","         4","a","","","","","","","","","","","","","  35.6"," ,a,0119, ","","","","","","","","","","","","","","","","","","","","","    479.5"," ,a","","","","","",""
"ASN00050052","1963","-33.0664","147.2283","195.0","CONDOBOLIN AG RESEARCH STATION, AS","","","","","       104","a","        52","a","         4","a","","","","","","","","","","","","","  62.5"," ,a,0518, ","","","","","","","","","","","","","","","","","","","","","    619.6"," ,a","","","","","",""
"ASN00050052","1964","-33.0664","147.2283","195.0","CONDOBOLIN AG RESEARCH STATION, AS","","","","","        79","a","        28","a","         2","a","","","","","","","","","","","","","  36.6"," ,a,1103, ","","","","","","","","","","","","","","","","","","","","","    346.8"," ,a","","","","","",""
"ASN00050052","1965","-33.0664","147.2283","195.0","CONDOBOLIN AG RESEARCH STATION, AS","","","","","        62","a","        26","a","         2","a","","","","","","","","","","","","","  39.9"," ,a,1017, ","","","","","","","","","","","","","","","","","","","","","    350.3"," ,a","","","","","",""
"ASN00050052","1966","-33.0664","147.2283","195.0","CONDOBOLIN AG RESEARCH STATION, AS","","","","","        79","a","        36","a","         3","a","","","","","","","","","","","","","  54.9"," ,a,1019, ","","","","","","","","","","","","","","","","","","","","","    493.7"," ,a","","","","","",""
"ASN00050052","1967","-33.0664","147.2283","195.0","CONDOBOLIN AG RESEARCH STATION, AS","","","","","        54","a","        20","a","         3","a","","","","","","","","","","","","","  37.8"," ,a,1012, ","","","","","","","","","","","","","","","","","","","","","    258.0"," ,a","","","","","",""
"ASN00050052","1968","-33.0664","147.2283","195.0","CONDOBOLIN AG RESEARCH STATION, AS","","","","","        95","a","        40","a","         3","a","","","","","","","","","","","","","  47.8"," ,a,1107, ","","","","","","","","","","","","","","","","","","","","","    464.9"," ,a","","","","","",""
"ASN00050052","1969","-33.0664","147.2283","195.0","CONDOBOLIN AG RESEARCH STATION, AS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    694.5"," ,a","","","","","",""
"ASN00050052","1970","-33.0664","147.2283","195.0","CONDOBOLIN AG RESEARCH STATION, AS","","","","","        68","a","        31","a","         2","a","","","","","","","","","","","","","  30.0"," ,a,0423, ","","","","","","","","","","","","","","","","","","","","","    387.4"," ,a","","","","","",""
