"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"ASN00067036","1965","-33.9333","150.8167","60.0","AUSTRAL EIGHTH AVE, AS","        65","a","        39","a","         4","a","  39.6"," ,a,1018, ","    418.8"," ,a"
"ASN00067036","1966","-33.9333","150.8167","60.0","AUSTRAL EIGHTH AVE, AS","        76","a","        54","a","         4","a"," 165.4"," ,a,1109, ","    683.5"," ,a"
"ASN00067036","1967","-33.9333","150.8167","60.0","AUSTRAL EIGHTH AVE, AS","        78","a","        49","a","         9","a"," 136.7"," ,a,0306, ","    900.5"," ,a"
"ASN00067036","1968","-33.9333","150.8167","60.0","AUSTRAL EIGHTH AVE, AS","        66","a","        39","a","         5","a","  43.4"," ,a,0321, ","    474.4"," ,a"
"ASN00067036","1969","-33.9333","150.8167","60.0","AUSTRAL EIGHTH AVE, AS","        87","a","        61","a","        13","a"," 108.5"," ,a,1114, ","   1163.9"," ,a"
"ASN00067036","1970","-33.9333","150.8167","60.0","AUSTRAL EIGHTH AVE, AS","        81","a","        55","a","         6","a","  96.5"," ,a,1209, ","    712.5"," ,a"
"ASN00067036","1972","-33.9333","150.8167","60.0","AUSTRAL EIGHTH AVE, AS","        87","a","        53","a","         7","a","  68.6"," ,a,0114, ","    763.7"," ,a"
"ASN00067036","1973","-33.9333","150.8167","60.0","AUSTRAL EIGHTH AVE, AS","        79","a","        63","a","         4","a","  83.8"," ,a,0128, ","    722.0"," ,a"
"ASN00067036","1974","-33.9333","150.8167","60.0","AUSTRAL EIGHTH AVE, AS","        79","a","        58","a","        13","a","  73.0"," ,a,0312, ","   1021.0"," ,a"
"ASN00067036","1975","-33.9333","150.8167","60.0","AUSTRAL EIGHTH AVE, AS","        76","a","        46","a","         7","a"," 102.0"," ,a,0621, ","    731.7"," ,a"
"ASN00067036","1977","-33.9333","150.8167","60.0","AUSTRAL EIGHTH AVE, AS","        40","a","        27","a","         3","a","  53.6"," ,a,0304, ","    511.3"," ,a"
"ASN00067036","1978","-33.9333","150.8167","60.0","AUSTRAL EIGHTH AVE, AS","","","","","","","","","   1163.8"," ,a"
"ASN00067036","1979","-33.9333","150.8167","60.0","AUSTRAL EIGHTH AVE, AS","","","","","","","","","    412.0"," ,a"
"ASN00067036","1980","-33.9333","150.8167","60.0","AUSTRAL EIGHTH AVE, AS","","","","","","","","","    495.5"," ,a"
"ASN00067036","1981","-33.9333","150.8167","60.0","AUSTRAL EIGHTH AVE, AS","        36","a","        31","a","         7","a","  76.4"," ,a,0523, ","    897.4"," ,a"
"ASN00067036","1982","-33.9333","150.8167","60.0","AUSTRAL EIGHTH AVE, AS","        19","a","        14","a","         1","a","  47.4"," ,a,0325, ","    387.6"," ,a"
"ASN00067036","1983","-33.9333","150.8167","60.0","AUSTRAL EIGHTH AVE, AS","        49","a","        40","a","        11","a","  53.2"," ,a,0323, ","    866.4"," ,a"
"ASN00067036","1984","-33.9333","150.8167","60.0","AUSTRAL EIGHTH AVE, AS","        55","a","        46","a","        14","a","  81.2"," ,a,0324, ","   1098.8"," ,a"
"ASN00067036","1985","-33.9333","150.8167","60.0","AUSTRAL EIGHTH AVE, AS","","","","","","","","","    803.0"," ,a"
"ASN00067036","1988","-33.9333","150.8167","60.0","AUSTRAL EIGHTH AVE, AS","       108","a","        62","a","        16","a"," 116.8"," ,a,0501, ","   1234.1"," ,a"
