"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ASN00070034","1899","-34.2739","148.84","500.0","FROGMORE, AS","","","","","        67","a","        50","a","         3","a","","","","","","","","","","","","","  55.4"," ,a,1015, ","","","","","","","","","","","","","","","","","","","    535.9"," ,a","","","","","",""
"ASN00070034","1900","-34.2739","148.84","500.0","FROGMORE, AS","","","","","        71","a","        63","a","         4","a","","","","","","","","","","","","","  43.2"," ,a,0524, ","","","","","","","","","","","","","","","","","","","    699.2"," ,a","","","","","",""
"ASN00070034","1901","-34.2739","148.84","500.0","FROGMORE, AS","","","","","        40","a","        36","a","         4","a","","","","","","","","","","","","","  40.9"," ,a,0315, ","","","","","","","","","","","","","","","","","","","    474.4"," ,a","","","","","",""
"ASN00070034","1902","-34.2739","148.84","500.0","FROGMORE, AS","","","","","        53","a","        40","a","         1","a","","","","","","","","","","","","","  48.3"," ,a,1204, ","","","","","","","","","","","","","","","","","","","    393.9"," ,a","","","","","",""
"ASN00070034","1903","-34.2739","148.84","500.0","FROGMORE, AS","","","","","        60","a","        54","a","         1","a","","","","","","","","","","","","","  33.3"," ,a,1220, ","","","","","","","","","","","","","","","","","","","    563.0"," ,a","","","","","",""
"ASN00070034","1904","-34.2739","148.84","500.0","FROGMORE, AS","","","","","        50","a","        44","a","         4","a","","","","","","","","","","","","","  37.3"," ,a,1019, ","","","","","","","","","","","","","","","","","","","    541.4"," ,a","","","","","",""
"ASN00070034","1905","-34.2739","148.84","500.0","FROGMORE, AS","","","","","        60","a","        55","a","         3","a","","","","","","","","","","","","","  26.2"," ,a,0621,+","","","","","","","","","","","","","","","","","","","    560.5"," ,a","","","","","",""
"ASN00070034","1906","-34.2739","148.84","500.0","FROGMORE, AS","","","","","        75","a","        59","a","         4","a","","","","","","","","","","","","","  41.9"," ,a,0909, ","","","","","","","","","","","","","","","","","","","    664.7"," ,a","","","","","",""
"ASN00070034","1907","-34.2739","148.84","500.0","FROGMORE, AS","","","","","        58","a","        39","a","         4","a","","","","","","","","","","","","","  68.6"," ,a,1103, ","","","","","","","","","","","","","","","","","","","    544.7"," ,a","","","","","",""
"ASN00070034","1908","-34.2739","148.84","500.0","FROGMORE, AS","","","","","        93","a","        47","a","         1","a","","","","","","","","","","","","","  42.7"," ,a,0131, ","","","","","","","","","","","","","","","","","","","    478.4"," ,a","","","","","",""
"ASN00070034","1909","-34.2739","148.84","500.0","FROGMORE, AS","","","","","        93","a","        63","a","         3","a","","","","","","","","","","","","","  34.3"," ,a,0829, ","","","","","","","","","","","","","","","","","","","    592.1"," ,a","","","","","",""
"ASN00070034","1910","-34.2739","148.84","500.0","FROGMORE, AS","","","","","        89","a","        56","a","         4","a","","","","","","","","","","","","","  34.5"," ,a,0629, ","","","","","","","","","","","","","","","","","","","    579.8"," ,a","","","","","",""
"ASN00070034","1911","-34.2739","148.84","500.0","FROGMORE, AS","","","","","        89","a","        63","a","         5","a","","","","","","","","","","","","","  47.8"," ,a,1205, ","","","","","","","","","","","","","","","","","","","    651.6"," ,a","","","","","",""
"ASN00070034","1912","-34.2739","148.84","500.0","FROGMORE, AS","","","","","        67","a","        55","a","         4","a","","","","","","","","","","","","","  29.0"," ,a,0723, ","","","","","","","","","","","","","","","","","","","    557.3"," ,a","","","","","",""
"ASN00070034","1913","-34.2739","148.84","500.0","FROGMORE, AS","","","","","        70","a","        39","a","         2","a","","","","","","","","","","","","","  52.3"," ,a,0308, ","","","","","","","","","","","","","","","","","","","    486.4"," ,a","","","","","",""
"ASN00070034","1914","-34.2739","148.84","500.0","FROGMORE, AS","","","","","        54","a","        44","a","         5","a","","","","","","","","","","","","","  86.9"," ,a,0321, ","","","","","","","","","","","","","","","","","","","    545.3"," ,a","","","","","",""
"ASN00070034","1915","-34.2739","148.84","500.0","FROGMORE, AS","","","","","        48","a","        42","a","         6","a","","","","","","","","","","","","","  44.2"," ,a,0219, ","","","","","","","","","","","","","","","","","","","    555.2"," ,a","","","","","",""
"ASN00070034","1916","-34.2739","148.84","500.0","FROGMORE, AS","","","","","        84","a","        80","a","         8","a","","","","","","","","","","","","","  53.6"," ,a,0828, ","","","","","","","","","","","","","","","","","","","   1018.5"," ,a","","","","","",""
"ASN00070034","1917","-34.2739","148.84","500.0","FROGMORE, AS","","","","","        66","a","        62","a","         8","a","","","","","","","","","","","","","  50.8"," ,a,0819, ","","","","","","","","","","","","","","","","","","","    860.4"," ,a","","","","","",""
"ASN00070034","1919","-34.2739","148.84","500.0","FROGMORE, AS","","","","","        43","a","        34","a","         1","a","","","","","","","","","","","","","  56.9"," ,a,1228, ","","","","","","","","","","","","","","","","","","","    314.7"," ,a","","","","","",""
"ASN00070034","1920","-34.2739","148.84","500.0","FROGMORE, AS","","","","","        66","a","        62","a","         9","a","","","","","","","","","","","","","  48.5"," ,a,1201, ","","","","","","","","","","","","","","","","","","","    763.6"," ,a","","","","","",""
"ASN00070034","1921","-34.2739","148.84","500.0","FROGMORE, AS","","","","","        43","a","        43","a","         6","a","","","","","","","","","","","","","  44.5"," ,a,0408, ","","","","","","","","","","","","","","","","","","","    567.7"," ,a","","","","","",""
"ASN00070034","1922","-34.2739","148.84","500.0","FROGMORE, AS","","","","","        37","a","        35","a","         5","a","","","","","","","","","","","","","  74.2"," ,a,1207, ","","","","","","","","","","","","","","","","","","","    526.8"," ,a","","","","","",""
"ASN00070034","1923","-34.2739","148.84","500.0","FROGMORE, AS","","","","","        50","a","        44","a","         5","a","","","","","","","","","","","","","  47.0"," ,a,1031, ","","","","","","","","","","","","","","","","","","","    590.5"," ,a","","","","","",""
"ASN00070034","1924","-34.2739","148.84","500.0","FROGMORE, AS","","","","","        48","a","        46","a","         5","a","","","","","","","","","","","","","  43.7"," ,a,1124, ","","","","","","","","","","","","","","","","","","","    586.9"," ,a","","","","","",""
"ASN00070034","1925","-34.2739","148.84","500.0","FROGMORE, AS","","","","","        54","a","        47","a","         9","a","","","","","","","","","","","","","  48.3"," ,a,0621, ","","","","","","","","","","","","","","","","","","","    645.0"," ,a","","","","","",""
"ASN00070034","1927","-34.2739","148.84","500.0","FROGMORE, AS","","","","","        41","a","        36","a","         6","a","","","","","","","","","","","","","  59.9"," ,a,1103, ","","","","","","","","","","","","","","","","","","","    517.6"," ,a","","","","","",""
"ASN00070034","1928","-34.2739","148.84","500.0","FROGMORE, AS","","","","","        45","a","        42","a","         7","a","","","","","","","","","","","","","  48.3"," ,a,0405, ","","","","","","","","","","","","","","","","","","","    588.9"," ,a","","","","","",""
"ASN00070034","1929","-34.2739","148.84","500.0","FROGMORE, AS","","","","","        43","a","        36","a","         3","a","","","","","","","","","","","","","  42.7"," ,a,1118, ","","","","","","","","","","","","","","","","","","","    379.1"," ,a","","","","","",""
"ASN00070034","1930","-34.2739","148.84","500.0","FROGMORE, AS","","","","","        58","a","        50","a","         2","a","","","","","","","","","","","","","  30.5"," ,a,1008, ","","","","","","","","","","","","","","","","","","","    438.7"," ,a","","","","","",""
"ASN00070034","1931","-34.2739","148.84","500.0","FROGMORE, AS","","","","","        53","a","        46","a","        11","a","","","","","","","","","","","","","  95.3"," ,a,0401, ","","","","","","","","","","","","","","","","","","","    889.6"," ,a","","","","","",""
"ASN00070034","1932","-34.2739","148.84","500.0","FROGMORE, AS","","","","","        49","a","        40","a","         4","a","","","","","","","","","","","","","  44.2"," ,a,1114, ","","","","","","","","","","","","","","","","","","","    507.7"," ,a","","","","","",""
"ASN00070034","1933","-34.2739","148.84","500.0","FROGMORE, AS","","","","","        48","a","        37","a","         2","a","","","","","","","","","","","","","  28.4"," ,a,1209, ","","","","","","","","","","","","","","","","","","","    427.7"," ,a","","","","","",""
"ASN00070034","1934","-34.2739","148.84","500.0","FROGMORE, AS","","","","","        56","a","        51","a","         4","a","","","","","","","","","","","","","  69.3"," ,a,0108, ","","","","","","","","","","","","","","","","","","","    700.6"," ,a","","","","","",""
"ASN00070034","1935","-34.2739","148.84","500.0","FROGMORE, AS","","","","","        44","a","        37","a","         5","a","","","","","","","","","","","","","  32.5"," ,a,1204, ","","","","","","","","","","","","","","","","","","","    500.8"," ,a","","","","","",""
"ASN00070034","1936","-34.2739","148.84","500.0","FROGMORE, AS","","","","","        59","a","        52","a","         6","a","","","","","","","","","","","","","  40.6"," ,a,0213, ","","","","","","","","","","","","","","","","","","","    617.6"," ,a","","","","","",""
"ASN00070034","1937","-34.2739","148.84","500.0","FROGMORE, AS","","","","","        40","a","        32","a","         4","a","","","","","","","","","","","","","  38.6"," ,a,0316, ","","","","","","","","","","","","","","","","","","","    393.5"," ,a","","","","","",""
"ASN00070034","1938","-34.2739","148.84","500.0","FROGMORE, AS","","","","","        39","a","        34","a","         0","a","","","","","","","","","","","","","  23.4"," ,a,0228, ","","","","","","","","","","","","","","","","","","","    322.6"," ,a","","","","","",""
"ASN00070034","1939","-34.2739","148.84","500.0","FROGMORE, AS","","","","","        72","a","        56","a","         2","a","","","","","","","","","","","","","  38.6"," ,a,1213, ","","","","","","","","","","","","","","","","","","","    604.6"," ,a","","","","","",""
"ASN00070034","1940","-34.2739","148.84","500.0","FROGMORE, AS","","","","","        43","a","        31","a","         1","a","","","","","","","","","","","","","  26.2"," ,a,0108, ","","","","","","","","","","","","","","","","","","","    348.8"," ,a","","","","","",""
"ASN00070034","1941","-34.2739","148.84","500.0","FROGMORE, AS","","","","","        48","a","        40","a","         6","a","","","","","","","","","","","","","  52.1"," ,a,0103, ","","","","","","","","","","","","","","","","","","","    515.4"," ,a","","","","","",""
"ASN00070034","1942","-34.2739","148.84","500.0","FROGMORE, AS","","","","","        54","a","        48","a","         5","a","","","","","","","","","","","","","  40.6"," ,a,0617, ","","","","","","","","","","","","","","","","","","","    563.0"," ,a","","","","","",""
"ASN00070034","1943","-34.2739","148.84","500.0","FROGMORE, AS","","","","","        61","a","        51","a","         3","a","","","","","","","","","","","","","  51.6"," ,a,0520, ","","","","","","","","","","","","","","","","","","","    595.4"," ,a","","","","","",""
"ASN00070034","1944","-34.2739","148.84","500.0","FROGMORE, AS","","","","","        37","a","        27","a","         0","a","","","","","","","","","","","","","  15.5"," ,a,0823, ","","","","","","","","","","","","","","","","","","","    181.9"," ,a","","","","","",""
"ASN00070034","1945","-34.2739","148.84","500.0","FROGMORE, AS","","","","","        56","a","        46","a","         2","a","","","","","","","","","","","","","  39.4"," ,a,0331, ","","","","","","","","","","","","","","","","","","","    521.7"," ,a","","","","","",""
"ASN00070034","1946","-34.2739","148.84","500.0","FROGMORE, AS","","","","","        51","a","        39","a","         3","a","","","","","","","","","","","","","  66.5"," ,a,0119, ","","","","","","","","","","","","","","","","","","","    433.3"," ,a","","","","","",""
"ASN00070034","1947","-34.2739","148.84","500.0","FROGMORE, AS","","","","","        66","a","        56","a","         5","a","","","","","","","","","","","","","  48.5"," ,a,1213, ","","","","","","","","","","","","","","","","","","","    728.6"," ,a","","","","","",""
"ASN00070034","1970","-34.2739","148.84","500.0","FROGMORE, AS","    257.6","","     257.6","a","","","","","","","         0","a","        30","a","         0","a","       163","a","        23","a","   -6.2","a,0716, ","","","   37.8","a,0206, ","0.0","a,0507","-2.7","a,0508","-5.0","a,0715","-1.1","a,1015","","","","","    2035.7","7","    2035.7","a","","","     13.61","a","     20.07","a","      7.14","a"
"ASN00070034","1971","-34.2739","148.84","500.0","FROGMORE, AS","    335.2","","     335.2","a","       126","a","        53","a","         4","a","         0","a","        48","a","         0","a","       174","a","         8","a","   -5.5","a,0711, ","  73.7"," ,a,1208, ","   39.0","a,0109, ","-0.4","a,0525","-2.6","a,0611","-4.9","a,0701","-0.1","a,0913","-2.2","a,0902","","","    1956.2","2","    1956.2","a","    739.1"," ,a","     13.84","a","     20.23","a","      7.46","a"
"ASN00070034","1972","-34.2739","148.84","500.0","FROGMORE, AS","    198.9","","     198.9","a","        93","a","        48","a","         2","a","         0","a","        22","a","         0","a","       201","a","        13","a","   -3.6","a,0612, ","  31.0"," ,a,0114, ","   38.9","a,1222, ","-1.1","a,0520","-3.6","a,0612","","","0.0","a,0919","","","","","    1695.2","2","    1695.2","a","    481.3"," ,a","     14.51","a","     21.29","a","      7.73","a"
"ASN00070034","1973","-34.2739","148.84","500.0","FROGMORE, AS","    519.2","","     519.2","a","       127","a","        72","a","         9","a","         0","a","        12","a","         0","a","       165","a","        26","a","   -2.2","a,0518, ","  45.7"," ,a,0330, ","   40.7","a,0103, ","-2.2","a,0518","-2.2","a,0518","","","0.0","a,0921","","","","","    1669.6","6","    1669.6","a","   1038.9"," ,a","     15.01","a","     20.82","a","      9.20","a"
"ASN00070034","1974","-34.2739","148.84","500.0","FROGMORE, AS","    296.3","","     296.3","a","       137","a","        80","a","         6","a","         0","a","        32","a","         0","a","       160","a","         7","a","   -6.5","a,0806, ","  69.2"," ,a,0111, ","   35.0","a,1215, ","-0.5","a,0609","-2.8","a,0618","-4.6","a,0626","-1.8","a,0927","-6.5","a,0806","-6.5","a,0806","    1964.5","5","    1964.5","a","    908.0"," ,a","     13.73","a","     19.81","a","      7.66","a"
"ASN00070034","1975","-34.2739","148.84","500.0","FROGMORE, AS","    260.7","","     260.7","a","       113","a","        61","a","         2","a","         0","a","        21","a","         0","a","       168","a","        33","a","   -4.4","a,0613, ","  29.2"," ,a,0930, ","   38.0","a,1213, ","-1.5","a,0528","-4.4","a,0613","-4.4","a,0613","-0.6","a,0907","","","","","    1748.6","6","    1748.6","a","    627.0"," ,a","     14.53","a","     21.14","a","      7.92","a"
"ASN00070034","1976","-34.2739","148.84","500.0","FROGMORE, AS","    356.2","","     356.2","a","        95","a","        60","a","         3","a","         0","a","        41","a","         0","a","       145","a","        14","a","   -6.4","a,0529, ","  75.0"," ,a,0122, ","   37.6","a,0104, ","-0.6","a,0505","-2.3","a,0528","-6.4","a,0529","-0.4","a,0911","-4.0","a,0814","","","    1935.7","7","    1935.7","a","    709.6"," ,a","     13.81","a","     20.23","a","      7.38","a"
"ASN00070034","1977","-34.2739","148.84","500.0","FROGMORE, AS","    423.9","","     423.9","a","        81","a","        43","a","         2","a","","","","","","","","","","","","","  56.0"," ,a,0528, ","","","","","","","","","","","","","","","","","","","    480.3"," ,a","","","","","",""
"ASN00070034","1978","-34.2739","148.84","500.0","FROGMORE, AS","","","","","       138","a","        73","a","        10","a","","","","","","","","","","","","","  49.0"," ,a,0124, ","","","","","","","","","","","","","","","","","","","    941.1"," ,a","","","","","",""
"ASN00070034","1980","-34.2739","148.84","500.0","FROGMORE, AS","","","","","       102","a","        49","a","         6","a","         0","a","        21","a","         0","a","       191","a","        40","a","   -3.6","a,0517, ","  44.9"," ,a,0202, ","   38.1","a,1223, ","-0.9","a,0427","-3.6","a,0517","","","-0.7","a,0920","-2.6","a,0909","","","    1570.2","2","    1570.2","a","    627.0"," ,a","     15.43","a","     22.07","a","      8.78","a"
"ASN00070034","1981","-34.2739","148.84","500.0","FROGMORE, AS","","","","","       122","a","        60","a","         6","a","","","","","","","","","","","","","  36.0"," ,a,0722, ","","","","","","","","","","","","","","","","","","","    699.7"," ,a","","","","","",""
