"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ASN00070316","1974","-35.4424","148.8296","815.0","BENDORA DAM, AS","       146","a","       103","a","        17","a","","","","","",""," 154.0"," ,a,0827, ","","","","","","","","","","","   1830.8"," ,a","",""
"ASN00070316","1975","-35.4424","148.8296","815.0","BENDORA DAM, AS","       139","a","        87","a","        10","a","","","","","","","  71.6"," ,a,0713, ","","","","","","","","","","","   1294.3"," ,a","",""
"ASN00070316","1976","-35.4424","148.8296","815.0","BENDORA DAM, AS","       123","a","        81","a","         9","a","","","","","","","  57.2"," ,a,1016, ","","","","","","","","","","","   1042.1"," ,a","",""
"ASN00070316","1977","-35.4424","148.8296","815.0","BENDORA DAM, AS","       103","a","        64","a","         8","a","","","","","","","  87.2"," ,a,0223, ","","","","","","","","","","","    936.4"," ,a","",""
"ASN00070316","1978","-35.4424","148.8296","815.0","BENDORA DAM, AS","       141","a","        82","a","        17","a","","","","","",""," 117.2"," ,a,0321, ","","","","","","","","","","","   1382.8"," ,a","",""
"ASN00070316","1979","-35.4424","148.8296","815.0","BENDORA DAM, AS","       111","a","        61","a","         4","a","","","","","","","  44.6"," ,a,0929, ","","","","","","","","","","","    746.9"," ,a","",""
"ASN00070316","1980","-35.4424","148.8296","815.0","BENDORA DAM, AS","       117","a","        73","a","         9","a","","","","","","","  88.0"," ,a,1203, ","","","","","","","","","","","   1005.2"," ,a","",""
"ASN00070316","1981","-35.4424","148.8296","815.0","BENDORA DAM, AS","       142","a","        90","a","        16","a","","","","","","","  72.4"," ,a,0722, ","","","","","","","","","","","   1451.8"," ,a","",""
"ASN00070316","1982","-35.4424","148.8296","815.0","BENDORA DAM, AS","        78","a","        52","a","         3","a","","","","","","","  49.4"," ,a,0324, ","","","","","","","","","","","    530.4"," ,a","",""
"ASN00070316","1983","-35.4424","148.8296","815.0","BENDORA DAM, AS","       135","a","        94","a","        17","a","","","","","",""," 107.0"," ,a,0322, ","","","","","","","","","","","   1639.9"," ,a","",""
"ASN00070316","1984","-35.4424","148.8296","815.0","BENDORA DAM, AS","       135","a","        77","a","        12","a","","","","","",""," 101.0"," ,a,0125, ","","","","","","","","","","","   1325.5"," ,a","",""
"ASN00070316","1985","-35.4424","148.8296","815.0","BENDORA DAM, AS","","","","","","","","","","","","","","","","","","","","","","","","","   1032.4"," ,a","",""
"ASN00070316","1986","-35.4424","148.8296","815.0","BENDORA DAM, AS","","","","","","","         0","a","        60","a","   -6.5","a,0726, ","","","-0.3","a,0527","-2.2","a,0531","-6.5","a,0726","-1.5","a,0921","-3.3","a,0813","   1076.9"," ,a","      5.78","a"
"ASN00070316","1991","-35.4424","148.8296","815.0","BENDORA DAM, AS","","","","","","","","","","","","","","","","","","","","","","","","","   1151.8"," ,a","",""
"ASN00070316","1992","-35.4424","148.8296","815.0","BENDORA DAM, AS","","","","","","","","","","","","","","","","","","","","","","","","","   1515.8"," ,a","",""
"ASN00070316","1996","-35.4424","148.8296","815.0","BENDORA DAM, AS","        96","a","        70","a","        19","a","","","","","","","  53.0"," ,a,0506, ","","","","","","","","","","","   1312.2"," ,a","",""
"ASN00070316","1997","-35.4424","148.8296","815.0","BENDORA DAM, AS","        79","a","        64","a","         9","a","","","","","","","  54.0"," ,a,0303, ","","","","","","","","","","","    807.5"," ,a","",""
"ASN00070316","1998","-35.4424","148.8296","815.0","BENDORA DAM, AS","","","","","","","","","","","","","","","","","","","","","","","","","   1083.5"," ,a","",""
