"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ASN00073142","1996","-34.6299","148.0364","335.0","COOTAMUNDRA AIRPORT, AS","","","","","       102","a","        68","a","         7","a","         0","a","        51","a","         0","a","       178","a","        19","a","   -5.0","a,0709, ","  37.0"," ,a,1207, ","   37.4","a,0115, ","-0.3","a,0412","-2.5","a,0420","-4.5","a,0530","","","-1.5","a,0928","-3.0","a,0821","","","","","    1940.4","4","    1940.4","a","    844.6"," ,a","     13.79","a","     20.92","a","      6.65","a"
"ASN00073142","1997","-34.6299","148.0364","335.0","COOTAMUNDRA AIRPORT, AS","    436.9","","     436.9","a","        66","a","        37","a","         1","a","         0","a","        73","a","         0","a","       199","a","        51","a","   -7.5","a,0721, ","  31.8"," ,a,0902, ","   41.0","a,1126, ","-3.5","a,0408","-3.5","a,0408","-4.5","a,0531","-7.0","a,0720","-1.5","a,1020","-2.5","a,1004","-6.0","a,0803","","","    1919.8","8","    1919.8","a","    360.0"," ,a","     14.76","a","     22.84","a","      6.67","a"
"ASN00073142","1998","-34.6299","148.0364","335.0","COOTAMUNDRA AIRPORT, AS","    627.3","","     627.3","a","        92","a","        61","a","         2","a","         0","a","        51","a","         0","a","       181","a","        52","a","   -7.3","a,0619, ","  35.8"," ,a,0623, ","   39.7","a,0313, ","-0.3","a,0414","-3.0","a,0510","-5.0","a,0529","-7.3","a,0619","0.0","a,1102","-2.3","a,0801","","","","","    1796.9","9","    1796.9","a","    651.3"," ,a","     14.94","a","     22.04","a","      7.83","a"
"ASN00073142","1999","-34.6299","148.0364","335.0","COOTAMUNDRA AIRPORT, AS","    527.8","","     527.8","a","        98","a","        58","a","         9","a","         0","a","        64","a","         0","a","       182","a","        23","a","   -6.5","a,0803, ","  51.4"," ,a,0123, ","   39.0","a,0118,+","-4.0","a,0422","-4.0","a,0422","-5.0","a,0516","","","-1.0","a,0920","-4.5","a,0822","-4.5","a,0822","","","    1835.4","4","    1835.4","a","    859.2"," ,a","     14.62","a","     21.77","a","      7.47","a"
"ASN00073142","2000","-34.6299","148.0364","335.0","COOTAMUNDRA AIRPORT, AS","    399.2","","     399.2","a","       109","a","        65","a","         3","a","         0","a","        45","a","         0","a","       177","a","        35","a","   -4.0","a,0615, ","  40.6"," ,a,0320, ","   37.7","a,0205, ","-0.5","a,0423","-2.7","a,0523","","","","","0.0","a,1010","-3.5","a,0817","","","","","    1792.1","1","    1792.1","a","    709.2"," ,a","     14.78","a","     21.35","a","      8.21","a"
"ASN00073142","2001","-34.6299","148.0364","335.0","COOTAMUNDRA AIRPORT, AS","    615.8","","     615.8","a","        98","a","        43","a","         3","a","         0","a","        60","a","         0","a","       182","a","        40","a","   -4.6","a,0620, ","  35.2"," ,a,0422, ","   43.0","a,0123, ","-2.0","a,0412","-3.0","a,0520","-4.6","a,0620","","","0.0","a,1120","-2.5","a,1020","-4.5","a,0803","","","    1867.4","4","    1867.4","a","    476.8"," ,a","     14.75","a","     22.25","a","      7.26","a"
"ASN00073142","2002","-34.6299","148.0364","335.0","COOTAMUNDRA AIRPORT, AS","    334.5","","     334.5","a","        76","a","        35","a","         4","a","         0","a","        77","a","         0","a","       211","a","        41","a","   -5.6","a,0722, ","  42.0"," ,a,0917, ","   40.0","a,1222, ","-1.0","a,0427","-3.0","a,0530","-4.8","a,0630","","","-0.2","a,1105","-2.7","a,0914","-4.5","a,0816","","","    1718.9","9","    1718.9","a","    415.4"," ,a","     14.99","a","     22.89","a","      7.10","a"
"ASN00073142","2003","-34.6299","148.0364","335.0","COOTAMUNDRA AIRPORT, AS","","","","","        90","a","        45","a","         2","a","         0","a","        40","a","         0","a","       186","a","        47","a","   -4.0","a,0810, ","  41.4"," ,a,1203, ","   43.0","a,0130, ","0.0","a,0502","-2.6","a,0531","","","","","-0.2","a,1104","-3.0","a,1011","","","","","","","","","    487.4"," ,a","     15.25","a","     22.29","a","      8.20","a"
"ASN00073142","2004","-34.6299","148.0364","335.0","COOTAMUNDRA AIRPORT, AS","    612.8","","     612.8","a","        93","a","        46","a","         0","a","         0","a","        49","a","         0","a","       188","a","        50","a","   -4.5","a,0719,+","  21.6"," ,a,1103, ","   41.7","a,0214, ","0.0","a,0420","-4.5","a,0506","-4.5","a,0506","","","-1.7","a,1016","","","","","","","    1806.8","8","    1806.8","a","    471.6"," ,a","     14.97","a","     22.39","a","      7.55","a"
"ASN00073142","2005","-34.6299","148.0364","335.0","COOTAMUNDRA AIRPORT, AS","    467.0","","     467.0","a","        82","a","        54","a","         3","a","         0","a","        46","a","         0","a","       205","a","        41","a","   -5.4","a,0602, ","  49.8"," ,a,0804, ","   42.0","a,0114, ","-0.5","a,0430","-2.5","a,0512","-5.4","a,0602","","","0.0","a,0905","-3.0","a,0817","","","","","    1652.6","6","    1652.6","a","    637.2"," ,a","     15.14","a","     22.67","a","      7.62","a"
