"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ASN00074128","1859","-35.5269","144.952","93.0","DENILIQUIN WILKINSON ST, AS","","","","","        64","a","        32","a","         1","a","         0","a","        64","a","         0","a","       205","a","        58","a","   -5.8","a,0731, ","  25.7"," ,a,0123, ","   41.4","a,1204, ","0.0","a,0418","-2.8","a,0617","-5.8","a,0731","","","","","-0.3","a,1024","-2.9","a,0919","-4.4","a,0802","","","","","","","","","    337.6"," ,a","     14.64","a","     23.69","a","      5.60","a"
"ASN00074128","1860","-35.5269","144.952","93.0","DENILIQUIN WILKINSON ST, AS","","","","","        65","a","        34","a","         5","a","","","","","","","","","","","","","  52.8"," ,a,0301, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    496.1"," ,a","","","","","",""
"ASN00074128","1861","-35.5269","144.952","93.0","DENILIQUIN WILKINSON ST, AS","","","","","        72","a","        35","a","         2","a","","","","","","","","","","","","","  38.1"," ,a,0417, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    384.4"," ,a","","","","","",""
"ASN00074128","1863","-35.5269","144.952","93.0","DENILIQUIN WILKINSON ST, AS","","","","","        68","a","        48","a","         8","a","         0","a","       190","a","","","","","","","   -9.4","a,0904,+","  44.2"," ,a,0316, ","","","-1.1","a,0302","-2.2","a,0404","-4.4","a,0506","-6.7","a,0515","-9.4","a,0713","-1.1","a,1226","-3.3","a,1215","-5.6","a,1119","-7.2","a,1103","-9.4","a,0904","","","","","    635.3"," ,a","","","","","     -0.26","a"
"ASN00074128","1866","-35.5269","144.952","93.0","DENILIQUIN WILKINSON ST, AS","","","","","        82","a","        45","a","         2","a","","","","","","","","","","","","","  51.8"," ,a,0118, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    391.3"," ,a","","","","","",""
"ASN00074128","1867","-35.5269","144.952","93.0","DENILIQUIN WILKINSON ST, AS","","","","","        64","a","        45","a","         6","a","","","","","","","","","","","","","  41.9"," ,a,0619, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    522.8"," ,a","","","","","",""
"ASN00074128","1868","-35.5269","144.952","93.0","DENILIQUIN WILKINSON ST, AS","","","","","        47","a","        31","a","         3","a","         0","a","         4","a","         0","a","       194","a","        63","a","   -1.1","a,0606,+","  29.5"," ,a,0921, ","   44.4","a,1224, ","-1.1","a,0605","","","","","","","","","","","","","","","","","","","    1039.9","9","    1039.9","a","    322.4"," ,a","     17.14","a","     24.66","a","      9.63","a"
"ASN00074128","1869","-35.5269","144.952","93.0","DENILIQUIN WILKINSON ST, AS","    654.2","","     654.2"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ASN00074128","1870","-35.5269","144.952","93.0","DENILIQUIN WILKINSON ST, AS","","","","","        71","a","        61","a","         4","a","","","","","","","","","","","","","  50.8"," ,a,0908, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    626.1"," ,a","","","","","",""
"ASN00074128","1871","-35.5269","144.952","93.0","DENILIQUIN WILKINSON ST, AS","","","","","        67","a","        43","a","         4","a","","","","","","","","","","","","","  63.5"," ,a,0208, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    527.7"," ,a","","","","","",""
"ASN00074128","1872","-35.5269","144.952","93.0","DENILIQUIN WILKINSON ST, AS","","","","","        74","a","        43","a","         3","a","","","","","","","","","","","","","  31.2"," ,a,0603, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    441.5"," ,a","","","","","",""
"ASN00074128","1873","-35.5269","144.952","93.0","DENILIQUIN WILKINSON ST, AS","","","","","        78","a","        47","a","         3","a","         0","a","        37","a","","","","","","","   -5.6","a,1227, ","  70.9"," ,a,0113, ","","","0.0","a,0501","-2.2","a,0717","","","","","","","-3.3","a,1230","-3.3","a,1230","-5.6","a,1227","","","","","","","","","    572.4"," ,a","","","","","      6.63","a"
"ASN00074128","1874","-35.5269","144.952","93.0","DENILIQUIN WILKINSON ST, AS","","","","","        57","a","        42","a","         2","a","","","","","         0","a","       198","a","        69","a","","","  38.1"," ,a,1026, ","   47.8","a,1209, ","","","","","","","","","","","","","","","","","","","","","","","","","    464.1"," ,a","","","     25.18","a","",""
"ASN00074128","1875","-35.5269","144.952","93.0","DENILIQUIN WILKINSON ST, AS","    710.1","","     710.1","a","        65","a","        49","a","         6","a","         0","a","        10","a","","","","","","","   -1.1","a,1208,+","  52.1"," ,a,0831, ","","","0.0","a,0528","","","","","","","","","-1.1","a,1208","","","","","","","","","","","","","    594.9"," ,a","","","","","      7.87","a"
"ASN00074128","1876","-35.5269","144.952","93.0","DENILIQUIN WILKINSON ST, AS","","","","","        41","a","        22","a","         4","a","","","","","","","","","","","","","  57.2"," ,a,1117, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    347.3"," ,a","","","","","",""
"ASN00074128","1877","-35.5269","144.952","93.0","DENILIQUIN WILKINSON ST, AS","","","","","        56","a","        33","a","         1","a","","","","","","","","","","","","","  33.0"," ,a,0326, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    321.0"," ,a","","","","","",""
"ASN00074128","1878","-35.5269","144.952","93.0","DENILIQUIN WILKINSON ST, AS","","","","","        61","a","        43","a","         5","a","","","","","","","","","","","",""," 153.4"," ,a,0316, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    714.4"," ,a","","","","","",""
"ASN00074128","1879","-35.5269","144.952","93.0","DENILIQUIN WILKINSON ST, AS","","","","","        70","a","        37","a","         2","a","         0","a","        24","a","","","","","","","   -3.3","a,0702,+","  31.8"," ,a,1007, ","","","0.0","a,0606","-3.3","a,0621","","","","","","","-0.6","a,1002","","","","","","","","","","","","","    362.7"," ,a","","","","","      7.71","a"
"ASN00074128","1880","-35.5269","144.952","93.0","DENILIQUIN WILKINSON ST, AS","","","","","        64","a","        34","a","         3","a","","","","","         0","a","       175","a","        60","a","","","  47.0"," ,a,0422, ","   45.6","a,0122, ","","","","","","","","","","","","","","","","","","","","","","","","","    370.7"," ,a","","","     23.38","a","",""
"ASN00074128","1881","-35.5269","144.952","93.0","DENILIQUIN WILKINSON ST, AS","    498.7","","     498.7","a","        56","a","        28","a","         3","a","         0","a","        25","a","         0","a","       181","a","        58","a","   -4.3","a,0627, ","  55.4"," ,a,0329, ","   41.1","a,1226,+","-0.8","a,0609","-2.9","a,0625","","","","","","","-1.7","a,0906","-2.2","a,0802","","","","","","","    1351.3","3","    1351.3","a","    345.8"," ,a","     15.70","a","     23.61","a","      7.79","a"
"ASN00074128","1882","-35.5269","144.952","93.0","DENILIQUIN WILKINSON ST, AS","","","","","        58","a","        32","a","         4","a","","","","","","","","","","","","","  63.5"," ,a,1023, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    385.5"," ,a","","","","","",""
"ASN00074128","1883","-35.5269","144.952","93.0","DENILIQUIN WILKINSON ST, AS","","","","","        64","a","        43","a","         0","a","","","","","","","","","","","","","  22.1"," ,a,0913, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    376.7"," ,a","","","","","",""
"ASN00074128","1884","-35.5269","144.952","93.0","DENILIQUIN WILKINSON ST, AS","","","","","        48","a","        27","a","         2","a","         0","a","        27","a","         0","a","       206","a","        71","a","   -3.3","a,0801,+","  27.9"," ,a,1117,+","   46.1","a,0115, ","0.0","a,0520","-2.2","a,0728","","","","","","","0.0","a,0916","-3.3","a,0801","","","","","","","    1150.0","0","    1150.0","a","    276.7"," ,a","     16.45","a","     25.32","a","      7.57","a"
"ASN00074128","1885","-35.5269","144.952","93.0","DENILIQUIN WILKINSON ST, AS","    529.7","","     529.7","a","        56","a","        38","a","         3","a","         0","a","        20","a","         0","a","       203","a","        78","a","   -2.8","a,0826,+","  34.0"," ,a,0914, ","   44.2","a,0206, ","0.0","a,0511","-2.5","a,0606","","","","","","","-2.2","a,0907","-2.2","a,0907","","","","","","","    1118.1","1","    1118.1","a","    424.0"," ,a","     16.91","a","     26.10","a","      7.72","a"
"ASN00074128","1886","-35.5269","144.952","93.0","DENILIQUIN WILKINSON ST, AS","    754.9","","     754.9","a","        62","a","        37","a","         0","a","         0","a","        41","a","         0","a","       209","a","        97","a","   -6.1","a,0702, ","  22.4"," ,a,0108, ","   47.2","a,0220, ","-2.8","a,0503","-2.8","a,0503","-5.0","a,0601","","","","","0.0","a,0913","","","","","","","","","    1124.0","0","    1124.0","a","    354.3"," ,a","     16.99","a","     27.03","a","      6.95","a"
"ASN00074128","1887","-35.5269","144.952","93.0","DENILIQUIN WILKINSON ST, AS","    742.7","","     742.7","a","        83","a","        60","a","         2","a","         0","a","        33","a","         0","a","       222","a","        93","a","   -5.6","a,0805, ","  52.1"," ,a,1105, ","   47.6","a,0112, ","-0.6","a,0606","","","","","","","","","-0.6","a,0928","-5.0","a,0811","-5.0","a,0811","","","","","    1033.8","8","    1033.8","a","    558.1"," ,a","     17.44","a","     27.09","a","      7.80","a"
"ASN00074128","1888","-35.5269","144.952","93.0","DENILIQUIN WILKINSON ST, AS","    596.5","","     596.5","a","        62","a","        23","a","         0","a","","","","","","","","","","","","","  19.3"," ,a,0514, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    224.7"," ,a","","","","","",""
"ASN00074128","1889","-35.5269","144.952","93.0","DENILIQUIN WILKINSON ST, AS","","","","","        66","a","        42","a","         8","a","","","","","","","","","","","","","  46.5"," ,a,0830, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    662.5"," ,a","","","","","",""
"ASN00074128","1890","-35.5269","144.952","93.0","DENILIQUIN WILKINSON ST, AS","","","","","        83","a","        44","a","         1","a","         0","a","        17","a","         0","a","       204","a","        84","a","   -2.8","a,0804, ","  30.5"," ,a,0602, ","   45.0","a,0125, ","0.0","a,0703","","","","","","","","","-0.6","a,0909","-2.8","a,0804","","","","","","","    1141.2","2","    1141.2","a","    458.6"," ,a","     17.14","a","     25.93","a","      8.34","a"
"ASN00074128","1891","-35.5269","144.952","93.0","DENILIQUIN WILKINSON ST, AS","","","","","        73","a","        46","a","         4","a","","","","","","","","","","","","","  59.2"," ,a,0415, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    546.1"," ,a","","","","","",""
"ASN00074128","1892","-35.5269","144.952","93.0","DENILIQUIN WILKINSON ST, AS","    710.3","","     710.3","a","        75","a","        41","a","         3","a","         0","a","        39","a","         0","a","       192","a","        79","a","   -3.3","a,0804,+","  30.2"," ,a,1017, ","   46.1","a,0219, ","0.0","a,0523","-2.8","a,0629","","","","","","","-1.1","a,0909","-2.2","a,0908","","","","","","","    1289.5","5","    1289.5","a","    429.6"," ,a","     16.19","a","     25.42","a","      6.96","a"
"ASN00074128","1893","-35.5269","144.952","93.0","DENILIQUIN WILKINSON ST, AS","    591.3","","     591.3","a","        84","a","        42","a","         1","a","","","","","","","","","","","","","  53.8"," ,a,0529, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    386.1"," ,a","","","","","",""
"ASN00074128","1894","-35.5269","144.952","93.0","DENILIQUIN WILKINSON ST, AS","","","","","        94","a","        57","a","         4","a","","","","","","","","","","","","","  52.1"," ,a,0321, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    612.0"," ,a","","","","","",""
"ASN00074128","1895","-35.5269","144.952","93.0","DENILIQUIN WILKINSON ST, AS","","","","","        56","a","        28","a","         3","a","","","","","","","","","","","","","  40.9"," ,a,0218, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    319.8"," ,a","","","","","",""
"ASN00074128","1896","-35.5269","144.952","93.0","DENILIQUIN WILKINSON ST, AS","","","","","        63","a","        32","a","         2","a","         0","a","        19","a","         0","a","       196","a","        93","a","   -3.3","a,0731, ","  33.0"," ,a,0422, ","   47.5","a,0124, ","-1.7","a,0602","-2.8","a,0709","","","","","","","-1.1","a,0820","-2.2","a,0801","","","","","","","    1253.1","1","    1253.1","a","    302.9"," ,a","     16.92","a","     25.62","a","      8.22","a"
"ASN00074128","1897","-35.5269","144.952","93.0","DENILIQUIN WILKINSON ST, AS","    725.7","","     725.7","a","        60","a","        31","a","         3","a","         0","a","        14","a","         0","a","       216","a","        81","a","   -2.2","a,0508, ","  42.7"," ,a,0109, ","   47.2","a,0202, ","-2.2","a,0508","-2.2","a,0508","","","","","","","-0.6","a,0904","","","","","","","","","    1073.1","1","    1073.1","a","    326.2"," ,a","     17.35","a","     26.39","a","      8.31","a"
"ASN00074128","1898","-35.5269","144.952","93.0","DENILIQUIN WILKINSON ST, AS","    947.9","","     947.9","a","        65","a","        35","a","         3","a","         0","a","         6","a","         0","a","       223","a","        92","a","   -1.4","a,0525, ","  44.2"," ,a,0212, ","   44.7","a,0108, ","-1.4","a,0525","","","","","","","","","","","","","","","","","","","    1167.5","5","    1167.5","a","    353.4"," ,a","     17.89","a","     25.63","a","     10.16","a"
"ASN00074128","1899","-35.5269","144.952","93.0","DENILIQUIN WILKINSON ST, AS","    792.7","","     792.7","a","        67","a","        36","a","         1","a","         0","a","         8","a","         0","a","       232","a","        77","a","   -1.9","a,0722, ","  41.9"," ,a,1107, ","   45.3","a,0217, ","-0.6","a,0702","","","","","","","","","0.0","a,0807","","","","","","","","","    1205.1","1","    1205.1","a","    353.6"," ,a","     17.34","a","     24.98","a","      9.69","a"
"ASN00074128","1900","-35.5269","144.952","93.0","DENILIQUIN WILKINSON ST, AS","    837.7","","     837.7","a","        84","a","        42","a","         0","a","         0","a","        11","a","         0","a","       192","a","        73","a","   -3.3","a,0701, ","  23.4"," ,a,0401, ","   45.8","a,0226, ","-0.7","a,0630","-3.3","a,0701","","","","","","","0.0","a,0821","","","","","","","","","    1397.2","2","    1397.2","a","    342.8"," ,a","     16.85","a","     23.98","a","      9.72","a"
"ASN00074128","1901","-35.5269","144.952","93.0","DENILIQUIN WILKINSON ST, AS","    787.5","","     787.5","a","        63","a","        36","a","         1","a","         0","a","        27","a","         0","a","       234","a","        82","a","   -3.1","a,0630, ","  32.3"," ,a,0826, ","   46.1","a,0207, ","-1.1","a,0522","-2.8","a,0621","","","","","","","0.0","a,0809","","","","","","","","","    1328.5","5","    1328.5","a","    281.1"," ,a","     17.03","a","     25.27","a","      8.80","a"
"ASN00074128","1902","-35.5269","144.952","93.0","DENILIQUIN WILKINSON ST, AS","    791.0","","     791.0","a","        52","a","        31","a","         2","a","         0"," ","        32","a","         0"," ","       241"," ","        86"," ","   -2.5","a,0913,+","  36.3"," ,a,1217, ","   44.4"," ,0211,+","-0.8","a,0624","-2.5","a,0630","","","","","","","-2.5","a,0913","-2.5","a,0913","","","","","","","    1249.5","5","    1249.5"," ","    282.6"," ,a","     17.09","a","     25.67"," ","      8.51","a"
"ASN00074128","1903","-35.5269","144.952","93.0","DENILIQUIN WILKINSON ST, AS","    815.4","","     815.4","a","        80","a","        44","a","         2","a","         0","a","        10","a","         0","a","       240","a","        69","a","   -1.9","a,0625, ","  35.8"," ,a,0918, ","   45.0","a,0120, ","-0.6","a,0529","","","","","","","","","-0.6","a,0814","","","","","","","","","    1212.5","5","    1212.5","a","    407.8"," ,a","     17.05","a","     24.82","a","      9.29","a"
"ASN00074128","1904","-35.5269","144.952","93.0","DENILIQUIN WILKINSON ST, AS","    751.2","","     751.2","a","        69","a","        40","a","         1","a","         0","a","        13","a","         0","a","       232","a","        74","a","   -1.1","a,0904, ","  29.5"," ,a,0102, ","   46.7","a,1231, ","-0.6","a,0524","","","","","","","","","-0.3","a,0930","","","","","","","","","    1247.9","9","    1247.9","a","    369.3"," ,a","     17.06","a","     24.91","a","      9.21","a"
"ASN00074128","1905","-35.5269","144.952","93.0","DENILIQUIN WILKINSON ST, AS","    773.7","","     773.7","a","        79","a","        33","a","         1","a","         0","a","        16","a","         0","a","       198","a","        63","a","   -1.7","a,0704, ","  52.1"," ,a,0410, ","   45.3","a,0112, ","-0.6","a,0614","","","","","","","","","-0.3","a,0927","","","","","","","","","    1566.5","5","    1566.5","a","    348.1"," ,a","     16.05","a","     23.62","a","      8.47","a"
"ASN00074128","1906","-35.5269","144.952","93.0","DENILIQUIN WILKINSON ST, AS","    748.0","","     748.0","a","        80","a","        48","a","         7","a","","","","","","","","","","","","","  81.5"," ,a,0311, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    694.6"," ,a","","","","","",""
"ASN00074128","1907","-35.5269","144.952","93.0","DENILIQUIN WILKINSON ST, AS","","","","","        68","a","        32","a","         0","a","         0","a","        39","a","         0","a","       232","a","        87","a","   -5.6","a,0716, ","  24.4"," ,a,0728, ","   44.4","a,1223, ","-1.1","a,0527","-2.2","a,0625","-5.0","a,0626","","","","","-1.7","a,1005","-2.8","a,0915","","","","","","","    1489.3","3","    1489.3","a","    283.8"," ,a","     16.23","a","     24.96","a","      7.51","a"
"ASN00074128","1908","-35.5269","144.952","93.0","DENILIQUIN WILKINSON ST, AS","    980.8","","     980.8","a","        69","a","        32","a","         0","a","         0","a","         8","a","         0","a","       191","a","        80","a","   -1.8","a,0603, ","  23.1"," ,a,0610, ","   46.9","a,0118, ","-1.8","a,0603","","","","","","","","","-0.6","a,0916","","","","","","","","","    1541.4","4","    1541.4","a","    275.7"," ,a","     16.84","a","     23.34","a","     10.35","a"
"ASN00074128","1909","-35.5269","144.952","93.0","DENILIQUIN WILKINSON ST, AS","    736.4","","     736.4","a","        87","a","        47","a","         1","a","         0","a","         4","a","         0","a","       179","a","        47","a","   -0.6","a,0724, ","  27.9"," ,a,0820, ","   42.2","a,1220, ","0.0","a,0606","","","","","","","","","","","","","","","","","","","    1595.9","9","    1595.9","a","    387.0"," ,a","     15.50","a","     21.74","a","      9.25","a"
"ASN00074128","1910","-35.5269","144.952","93.0","DENILIQUIN WILKINSON ST, AS","    631.4","","     631.4","a","        79","a","        42","a","         3","a","         0","a","         1","a","         0","a","       189","a","        47","a","   -0.6","a,0509, ","  55.6"," ,a,0622, ","   41.7","a,0126, ","-0.6","a,0509","","","","","","","","","","","","","","","","","","","    1359.1","1","    1359.1","a","    453.8"," ,a","     16.32","a","     22.67","a","      9.97","a"
"ASN00074128","1911","-35.5269","144.952","93.0","DENILIQUIN WILKINSON ST, AS","    496.6","","     496.6","a","        83","a","        45","a","         1","a","         0","a","         3","a","         0","a","       192","a","        40","a","   -2.2","a,0726, ","  33.5"," ,a,0210, ","   41.1","a,1130, ","-1.7","a,0701","-2.2","a,0726","","","","","","","","","","","","","","","","","    1376.0","0","    1376.0","a","    383.5"," ,a","     16.24","a","     22.39","a","     10.09","a"
"ASN00074128","1912","-35.5269","144.952","93.0","DENILIQUIN WILKINSON ST, AS","    707.4","","     707.4","a","        74","a","        37","a","         4","a","","","","","         0","a","       197","a","        48","a","","","  51.8"," ,a,1118, ","   41.7","a,0201, ","","","","","","","","","","","","","","","","","","","","","","","","","    495.6"," ,a","","","     22.86","a","",""
"ASN00074128","1913","-35.5269","144.952","93.0","DENILIQUIN WILKINSON ST, AS","","","","","        68","a","        31","a","         2","a","","","","","         0","a","       183","a","        56","a","","","  26.2"," ,a,0502, ","   41.7","a,1230, ","","","","","","","","","","","","","","","","","","","","","","","","","    318.8"," ,a","","","     22.80","a","",""
"ASN00074128","1914","-35.5269","144.952","93.0","DENILIQUIN WILKINSON ST, AS","","","","","        46","a","        20","a","         0","a","         0","a","         6","a","         0","a","       229","a","        82","a","   -1.1","a,0721, ","  22.9"," ,a,0513, ","   43.9","a,0206, ","0.0","a,0705","","","","","","","","","-0.6","a,0810","","","","","","","","","    1161.2","2","    1161.2","a","    141.2"," ,a","     18.02","a","     24.91","a","     11.13","a"
"ASN00074128","1915","-35.5269","144.952","93.0","DENILIQUIN WILKINSON ST, AS","    919.2","","     919.2","a","        91","a","        34","a","         1","a","         0","a","         0","a","         0","a","       198","a","        58","a","    0.6","a,0605, ","  33.3"," ,a,0514, ","   42.2","a,0202,+","","","","","","","","","","","","","","","","","","","","","    1293.0","0","    1293.0","a","    334.7"," ,a","     16.62","a","     22.98","a","     10.26","a"
"ASN00074128","1916","-35.5269","144.952","93.0","DENILIQUIN WILKINSON ST, AS","    670.0","","     670.0","a","       102","a","        55","a","         2","a","         0","a","         2","a","         0","a","       188","a","        46","a","   -1.1","a,0529, ","  65.3"," ,a,0924, ","   41.7","a,0218,+","-1.1","a,0529","","","","","","","","","0.0","a,0801","","","","","","","","","    1435.7","7","    1435.7","a","    491.6"," ,a","     16.16","a","     22.28","a","     10.03","a"
"ASN00074128","1917","-35.5269","144.952","93.0","DENILIQUIN WILKINSON ST, AS","    538.8","","     538.8","a","       105","a","        57","a","         4","a","         0","a","         0","a","         0","a","       185","a","        42","a","    1.1","a,0625,+","  65.0"," ,a,0112, ","   42.5","a,0108, ","","","","","","","","","","","","","","","","","","","","","    1398.4","4","    1398.4","a","    637.7"," ,a","     16.19","a","     21.96","a","     10.42","a"
"ASN00074128","1918","-35.5269","144.952","93.0","DENILIQUIN WILKINSON ST, AS","    629.9","","     629.9","a","        78","a","        48","a","         3","a","","","","","         0","a","       194","a","        46","a","","","  52.6"," ,a,0513, ","   41.7","a,0212, ","","","","","","","","","","","","","","","","","","","","","","","","","    516.6"," ,a","","","     22.51","a","",""
"ASN00074128","1919","-35.5269","144.952","93.0","DENILIQUIN WILKINSON ST, AS","","","","","        62","a","        30","a","         3","a","         0","a","        23","a","         0","a","       218","a","        70","a","   -2.2","a,0728,+","  57.2"," ,a,0218, ","   43.3","a,0215, ","0.0","a,0624","-2.2","a,0727","","","","","","","0.0","a,0822","","","","","","","","","    1330.1","1","    1330.1","a","    379.3"," ,a","     16.82","a","     24.06","a","      9.57","a"
"ASN00074128","1920","-35.5269","144.952","93.0","DENILIQUIN WILKINSON ST, AS","    824.1","","     824.1","a","        83","a","        47","a","         3","a","         0","a","         3","a","         0","a","       182","a","        52","a","   -0.6","a,0606, ","  29.5"," ,a,0809, ","   42.0","a,1225, ","0.0","a,0525","","","","","","","","","","","","","","","","","","","    1387.4","4","    1387.4","a","    420.4"," ,a","     16.26","a","     22.66","a","      9.86","a"
"ASN00074128","1921","-35.5269","144.952","93.0","DENILIQUIN WILKINSON ST, AS","    750.9","","     750.9","a","        71","a","        42","a","         3","a","         0","a","        10","a","         0","a","       203","a","        60","a","   -1.7","a,0808, ","  37.1"," ,a,0608, ","   45.0","a,0125, ","0.0","a,0626","","","","","","","","","-1.7","a,0808","","","","","","","","","    1224.8","8","    1224.8","a","    443.4"," ,a","     17.11","a","     23.47","a","     10.75","a"
