"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ASN00086364","1987","-37.6594","145.4457","100.0","TARRAWARRA MONASTERY, AS","","","","","       146","a","        73","a","         4","a","         0","a","         5","a","         0","a","       144","a","        22","a","   -1.5","a,0702, ","  39.4"," ,a,0729, ","   41.0","a,0202, ","-1.5","a,0702","","","    1704.6","6","    1704.6","a","    776.0"," ,a","     14.30","a","     20.27","a","      8.33","a"
"ASN00086364","1988","-37.6594","145.4457","100.0","TARRAWARRA MONASTERY, AS","    317.9","","     317.9","a","       142","a","        88","a","         2","a","         0","a","         2","a","         0","a","       161","a","        28","a","   -0.3","a,0618, ","  36.0"," ,a,0101, ","   40.9","a,0115, ","-0.3","a,0618","-0.2","a,0812","    1410.0","0","    1410.0","a","    784.0"," ,a","     15.32","a","     21.30","a","      9.34","a"
"ASN00086364","1989","-37.6594","145.4457","100.0","TARRAWARRA MONASTERY, AS","    270.5","","     270.5","a","       164","a","        94","a","         4","a","         0","a","         9","a","         0","a","       126","a","        23","a","   -1.8","a,0722, ","  68.0"," ,a,0611, ","   37.1","a,0302, ","-0.1","a,0601","","","    1750.0","0","    1750.0","a","    973.3"," ,a","     14.23","a","     19.73","a","      8.73","a"
"ASN00086364","1990","-37.6594","145.4457","100.0","TARRAWARRA MONASTERY, AS","    242.6","","     242.6","a","       138","a","        77","a","         5","a","         0","a","         3","a","         0","a","       151","a","        19","a","   -1.5","a,0827, ","  29.6"," ,a,0202, ","   39.7","a,0126, ","-0.5","a,0521","-1.5","a,0827","    1606.5","5","    1606.5","a","    836.0"," ,a","     14.64","a","     20.26","a","      9.01","a"
"ASN00086364","1991","-37.6594","145.4457","100.0","TARRAWARRA MONASTERY, AS","    251.9","","     251.9","a","       152","a","        77","a","         4","a","         0","a","         1","a","         0","a","       134","a","        21","a","   -0.5","a,0423, ","  44.0"," ,a,0608, ","   41.4","a,0204, ","-0.5","a,0423","","","    1694.8","8","    1694.8","a","    817.6"," ,a","     14.20","a","     20.09","a","      8.31","a"
"ASN00086364","1992","-37.6594","145.4457","100.0","TARRAWARRA MONASTERY, AS","","","","","       165","a","       100","a","         1","a","         0","a","         7","a","         0","a","       125","a","         5","a","   -2.1","a,0616, ","  27.6"," ,a,1005, ","   37.3","a,0120, ","-2.1","a,0616","-1.6","a,0829","","","","","    955.3"," ,a","     13.95","a","     19.09","a","      8.81","a"
"ASN00086364","1993","-37.6594","145.4457","100.0","TARRAWARRA MONASTERY, AS","","","","","       155","a","        92","a","         5","a","","","","","         0","a","       118","a","        14","a","","","  68.4"," ,a,0220, ","   38.3","a,0115, ","","","","","","","","","   1010.5"," ,a","","","     19.58","a","",""
"ASN00086364","1994","-37.6594","145.4457","100.0","TARRAWARRA MONASTERY, AS","","","","","       134","a","        74","a","         2","a","","","","","","","","","","","","","  48.6"," ,a,0211, ","","","","","","","","","","","    639.2"," ,a","","","","","",""
"ASN00086364","1995","-37.6594","145.4457","100.0","TARRAWARRA MONASTERY, AS","","","","","       154","a","        94","a","         5","a","","","","","","","","","","","","","  35.8"," ,a,0106, ","","","","","","","","","","","    933.5"," ,a","","","","","",""
"ASN00086364","1996","-37.6594","145.4457","100.0","TARRAWARRA MONASTERY, AS","","","","","       164","a","        93","a","         5","a","","","","","","","","","","","","","  48.0"," ,a,0210, ","","","","","","","","","","","    967.0"," ,a","","","","","",""
