"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"BDW00013602","1945","32.36916","-64.64888","13.1","BERMUDA, BD","","","","","","","","","","","","","","","","","","","","","","","","","         4"," ","        10"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BDW00013602","1946","32.36916","-64.64888","13.1","BERMUDA, BD","","","","","","","","","","","","","","","","","","","","","","","","","         2"," ","         1"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BDW00013602","1947","32.36916","-64.64888","13.1","BERMUDA, BD","","","","","","","","","","","","","","","","","","","","","","","","","         8"," ","        16"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BDW00013602","1948","32.36916","-64.64888","13.1","BERMUDA, BD","","","","","       150","X","        92","X","        12","X","","","         0","X","","","","","","","","","","","         8"," ","        14"," ","","","","","     0"," ,X,1231,+"," 193.0"," ,X,0913, ","","","","","","","   1538.4"," ,X","        0"," ,X","","","","","","","       315","X","      44.7","X"
"BDW00013602","1949","32.36916","-64.64888","13.1","BERMUDA, BD","   1488.1","","    1488.1","X","       158","X","        79","X","         9","X","        0","","         0","X","         0","X","         0","X","         0","X","       282","X","         0","X","         4"," ","        15"," ","   10.0","X,0211, ","     0"," ,X,1231,+","     0"," ,X,1231,+","  67.1"," ,X,0531, ","   31.1","X,0822,+","      63.4","4","      63.4","X","   1001.1"," ,X","        0"," ,X","     22.23","X","     24.00","X","     20.45","X","","","",""
"BDW00013602","1950","32.36916","-64.64888","13.1","BERMUDA, BD","","","","","","","","","","","","","","","","","","","","","","","","","","","         2"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BDW00013602","1951","32.36916","-64.64888","13.1","BERMUDA, BD","","","","","","","","","","","","","","","","","","","","","","","","","","","         2"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BDW00013602","1952","32.36916","-64.64888","13.1","BERMUDA, BD","   1506.9","","    1506.9","X","       159","X","        89","X","         5","X","        0","","         0","X","         0","X","         0","X","         0","X","       279","X","         8","X","         8"," ","        26"," ","   10.0","X,0317,+","     0"," ,X,1231,+","     0"," ,X,1231,+","  42.4"," ,X,1022, ","   33.3","X,0731, ","","","","","    995.9"," ,X","        0"," ,X","     22.11","X","     24.34","X","     19.87","X","       180","X","      35.3","X"
"BDW00013602","1953","32.36916","-64.64888","13.1","BERMUDA, BD","   1560.2","","    1560.2","X","       163","X","        92","X","        10","X","        0","","         0","X","         0","X","         0","X","         0","X","       284","X","         1","X","         2"," ","        29"," ","   10.0","X,0309, ","     0"," ,X,1231,+","     0"," ,X,1231,+","  90.4"," ,X,1201, ","   32.8","X,0909, ","     112.8","8","     112.8","X","   1297.7"," ,X","        0"," ,X","     22.32","X","     24.53","X","     20.11","X","       180","X","      44.7","X"
"BDW00013602","1954","32.36916","-64.64888","13.1","BERMUDA, BD","   1493.3","","    1493.3","X","       154","X","        83","X","        12","X","        0","","         0","X","         0","X","         0","X","         0","X","       297","X","         0","X","         2"," ","        22"," ","    8.3","X,0214, ","     0"," ,X,1231,+","     0"," ,X,1231,+","  86.1"," ,X,0620, ","   31.1","X,0820, ","     102.3","3","     102.3","X","   1123.0"," ,X","        0"," ,X","     22.09","X","     24.23","X","     19.95","X","","","",""
