"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"BOM00026748","1960","54.1","26.5","228.0","VOLOZHIN, BO","       171","I","        78","I","         2","I","  34.2"," ,I,1109, ","    708.2"," ,I"
"BOM00026748","1961","54.1","26.5","228.0","VOLOZHIN, BO","       157","I","        60","I","         2","I","  36.3"," ,I,0907, ","    561.4"," ,I"
"BOM00026748","1962","54.1","26.5","228.0","VOLOZHIN, BO","       168","I","        86","I","         3","I","  38.5"," ,I,0820, ","    719.4"," ,I"
"BOM00026748","1963","54.1","26.5","228.0","VOLOZHIN, BO","       140","I","        60","I","         1","I","  35.5"," ,I,1006, ","    553.9"," ,I"
"BOM00026748","1964","54.1","26.5","228.0","VOLOZHIN, BO","       131","I","        66","I","         2","I","  26.6"," ,I,1010, ","    509.8"," ,I"
"BOM00026748","1965","54.1","26.5","228.0","VOLOZHIN, BO","       156","I","        70","I","         0","I","  21.7"," ,I,0730, ","    506.5"," ,I"
"BOM00026748","1966","54.1","26.5","228.0","VOLOZHIN, BO","       183","I","        78","I","         2","I","  37.3"," ,I,0530, ","    719.4"," ,I"
"BOM00026748","1967","54.1","26.5","228.0","VOLOZHIN, BO","       202","I","        83","I","         1","I","  32.3"," ,I,0527, ","    768.6"," ,I"
"BOM00026748","1968","54.1","26.5","228.0","VOLOZHIN, BO","       144","I","        64","I","         1","I","  31.9"," ,I,0622, ","    548.3"," ,I"
"BOM00026748","1969","54.1","26.5","228.0","VOLOZHIN, BO","       146","I","        77","I","         1","I","  26.9"," ,I,0814, ","    585.9"," ,I"
"BOM00026748","1973","54.1","26.5","228.0","VOLOZHIN, BO","       162","I","        73","I","         3","I","  60.2"," ,I,0708, ","    689.0"," ,I"
"BOM00026748","1974","54.1","26.5","228.0","VOLOZHIN, BO","       151","I","        86","I","         0","I","  24.9"," ,I,0707, ","    724.5"," ,I"
"BOM00026748","1976","54.1","26.5","228.0","VOLOZHIN, BO","       177","I","        67","I","         1","I","  26.5"," ,I,0801, ","    556.3"," ,I"
"BOM00026748","1984","54.1","26.5","228.0","VOLOZHIN, BO","       153","I","        78","I","         1","I","  39.2"," ,I,0526, ","    680.4"," ,I"
"BOM00026748","1987","54.1","26.5","228.0","VOLOZHIN, BO","       162","I","        89","I","         1","I","  25.6"," ,I,0610, ","    731.1"," ,I"
"BOM00026748","1988","54.1","26.5","228.0","VOLOZHIN, BO","       180","I","        84","I","         0","I","  20.7"," ,I,0611, ","    674.4"," ,I"
"BOM00026748","1989","54.1","26.5","228.0","VOLOZHIN, BO","       176","I","        79","I","         3","I","  54.0"," ,I,0630, ","    801.3"," ,I"
"BOM00026748","1990","54.1","26.5","228.0","VOLOZHIN, BO","       194","b","        76","b","         3","b","  75.8"," ,b,0909, ","    745.1"," ,b"
"BOM00026748","1991","54.1","26.5","228.0","VOLOZHIN, BO","       142","b","        68","b","         1","b","  45.0"," ,b,0620, ","    503.8"," ,b"
"BOM00026748","1992","54.1","26.5","228.0","VOLOZHIN, BO","       150","b","        77","b","         1","b","  30.6"," ,b,0615, ","    659.2"," ,b"
"BOM00026748","1993","54.1","26.5","228.0","VOLOZHIN, BO","       167","b","        85","b","         2","b","  94.7"," ,b,0724, ","    772.5"," ,b"
"BOM00026748","1994","54.1","26.5","228.0","VOLOZHIN, BO","       191","b","        88","b","         3","b","  46.1"," ,b,0810, ","    743.1"," ,b"
"BOM00026748","1995","54.1","26.5","228.0","VOLOZHIN, BO","       159","b","        69","b","         1","b","  30.5"," ,b,0623, ","    621.8"," ,b"
"BOM00026748","1996","54.1","26.5","228.0","VOLOZHIN, BO","       144","b","        61","b","         0","b","  24.6"," ,b,0529, ","    522.9"," ,b"
"BOM00026748","1997","54.1","26.5","228.0","VOLOZHIN, BO","       169","b","        81","b","         1","b","  46.3"," ,b,0623, ","    609.3"," ,b"
"BOM00026748","1998","54.1","26.5","228.0","VOLOZHIN, BO","       180","b","        98","b","         4","b","  38.7"," ,b,0929, ","    931.4"," ,b"
"BOM00026748","1999","54.1","26.5","228.0","VOLOZHIN, BO","       143","b","        59","b","         0","b","  15.0"," ,b,0811, ","    443.2"," ,b"
"BOM00026748","2000","54.1","26.5","228.0","VOLOZHIN, BO","       153","b","        66","b","         1","b","  34.9"," ,b,0718, ","    543.7"," ,b"
"BOM00026748","2002","54.1","26.5","228.0","VOLOZHIN, BO","       140","b","        62","b","         3","b","  40.0"," ,b,1008, ","    597.4"," ,b"
"BOM00026748","2003","54.1","26.5","228.0","VOLOZHIN, BO","       139","b","        63","b","         2","b","  37.9"," ,b,0516, ","    627.4"," ,b"
"BOM00026748","2004","54.1","26.5","228.0","VOLOZHIN, BO","       169","b","        79","b","         3","b","  51.3"," ,b,0814, ","    741.0"," ,b"
"BOM00026748","2005","54.1","26.5","228.0","VOLOZHIN, BO","       149","b","        73","b","         5","b","  83.8"," ,b,0809, ","    727.4"," ,b"
"BOM00026748","2006","54.1","26.5","228.0","VOLOZHIN, BO","       150","b","        71","b","         5","b","  50.6"," ,b,0802, ","    692.4"," ,b"
"BOM00026748","2007","54.1","26.5","228.0","VOLOZHIN, BO","       154","b","        75","b","         1","b","  31.6"," ,b,0617, ","    639.5"," ,b"
"BOM00026748","2008","54.1","26.5","228.0","VOLOZHIN, BO","       178","b","        88","b","         0","b","  24.8"," ,b,0823, ","    727.9"," ,b"
