"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES"
"BOM00026941","1955","53.117","26.0","193.0","BARANOVICHI, BO","       144","I","        54","I","         1","I","","","","","","","  37.1"," ,I,0520, ","","","    493.6"," ,I","",""
"BOM00026941","1956","53.117","26.0","193.0","BARANOVICHI, BO","       151","I","        70","I","         5","I","","","","","","","  51.7"," ,I,0604, ","","","    646.7"," ,I","",""
"BOM00026941","1957","53.117","26.0","193.0","BARANOVICHI, BO","       125","I","        66","I","         2","I","","","","","","","  27.7"," ,I,0709, ","","","    560.3"," ,I","",""
"BOM00026941","1959","53.117","26.0","193.0","BARANOVICHI, BO","       127","I","        53","I","         1","I","","","","","","","  37.6"," ,I,0701, ","","","    472.8"," ,I","",""
"BOM00026941","1960","53.117","26.0","193.0","BARANOVICHI, BO","       152","I","        62","I","         4","I","","","","","","","  55.6"," ,I,0607, ","","","    765.1"," ,I","",""
"BOM00026941","1961","53.117","26.0","193.0","BARANOVICHI, BO","       120","I","        54","I","         1","I","","","","","","","  28.4"," ,I,0531, ","","","    403.9"," ,I","",""
"BOM00026941","1962","53.117","26.0","193.0","BARANOVICHI, BO","       153","I","        65","I","         0","I","","","","","","","  22.6"," ,I,0605, ","","","    637.0"," ,I","",""
"BOM00026941","1963","53.117","26.0","193.0","BARANOVICHI, BO","       115","I","        55","I","         4","I","","","","","","","  65.8"," ,I,0423, ","","","    625.1"," ,I","",""
"BOM00026941","1964","53.117","26.0","193.0","BARANOVICHI, BO","       132","I","        53","I","         1","I","","","","","","","  29.1"," ,I,0912, ","","","    464.3"," ,I","",""
"BOM00026941","1965","53.117","26.0","193.0","BARANOVICHI, BO","       128","I","        61","I","         1","I","","","","","","","  37.3"," ,I,0606, ","","","    453.5"," ,I","",""
