"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"BR001840019","1977","-18.7","-40.44","80.0","CORREGO DA BOA ESPERANCA, BR","       112","I","        73","I","         9","I","  75.0"," ,I,1119, ","   1047.2"," ,I"
"BR001840019","1978","-18.7","-40.44","80.0","CORREGO DA BOA ESPERANCA, BR","       147","I","        90","I","        19","I","  80.3"," ,I,0210, ","   1410.0"," ,I"
"BR001840019","1980","-18.7","-40.44","80.0","CORREGO DA BOA ESPERANCA, BR","       118","I","        80","I","        17","I","  80.8"," ,I,0229, ","   1228.0"," ,I"
"BR001840019","1981","-18.7","-40.44","80.0","CORREGO DA BOA ESPERANCA, BR","       128","I","        79","I","        18","I"," 124.0"," ,I,0123, ","   1507.6"," ,I"
"BR001840019","1982","-18.7","-40.44","80.0","CORREGO DA BOA ESPERANCA, BR","       114","I","        73","I","        14","I"," 137.8"," ,I,0116, ","   1201.5"," ,I"
"BR001840019","1984","-18.7","-40.44","80.0","CORREGO DA BOA ESPERANCA, BR","        95","I","        66","I","        10","I","  80.2"," ,I,0229, ","    986.9"," ,I"
"BR001840019","1985","-18.7","-40.44","80.0","CORREGO DA BOA ESPERANCA, BR","       102","I","        68","I","        21","I"," 122.2"," ,I,1128, ","   1412.7"," ,I"
"BR001840019","1986","-18.7","-40.44","80.0","CORREGO DA BOA ESPERANCA, BR","        99","I","        54","I","         7","I"," 104.2"," ,I,1230, ","    786.0"," ,I"
"BR001840019","1987","-18.7","-40.44","80.0","CORREGO DA BOA ESPERANCA, BR","        82","I","        58","I","         9","I","  85.8"," ,I,1117, ","    896.5"," ,I"
"BR001840019","1988","-18.7","-40.44","80.0","CORREGO DA BOA ESPERANCA, BR","        91","I","        53","I","        10","I","  95.6"," ,I,0102, ","    951.5"," ,I"
"BR001840019","1989","-18.7","-40.44","80.0","CORREGO DA BOA ESPERANCA, BR","        99","I","        68","I","         9","I","  52.9"," ,I,1212, ","    901.4"," ,I"
"BR001840019","1991","-18.7","-40.44","80.0","CORREGO DA BOA ESPERANCA, BR","       145","I","        90","I","        15","I","  87.7"," ,I,1110, ","   1381.8"," ,I"
"BR001840019","1994","-18.7","-40.44","80.0","CORREGO DA BOA ESPERANCA, BR","       116","I","        68","I","         4","I","  36.8"," ,I,0222, ","    748.6"," ,I"
"BR001840019","1995","-18.7","-40.44","80.0","CORREGO DA BOA ESPERANCA, BR","       108","I","        61","I","         8","I","  76.3"," ,I,1230, ","    860.0"," ,I"
"BR001840019","1996","-18.7","-40.44","80.0","CORREGO DA BOA ESPERANCA, BR","        98","I","        60","I","         9","I","  80.0"," ,I,0229, ","    884.4"," ,I"
"BR001840019","1997","-18.7","-40.44","80.0","CORREGO DA BOA ESPERANCA, BR","        98","I","        53","I","        10","I","  67.3"," ,I,1212, ","    902.4"," ,I"
"BR001840019","1998","-18.7","-40.44","80.0","CORREGO DA BOA ESPERANCA, BR","        78","I","        47","I","         4","I","  55.6"," ,I,1128, ","    615.3"," ,I"
"BR001840019","1999","-18.7","-40.44","80.0","CORREGO DA BOA ESPERANCA, BR","        95","I","        54","I","        11","I","  89.8"," ,I,0304, ","    831.4"," ,I"
"BR001840019","2000","-18.7","-40.44","80.0","CORREGO DA BOA ESPERANCA, BR","       135","I","        82","I","        10","I","  90.7"," ,I,1107, ","   1254.2"," ,I"
