"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"BR00B8-0320","1972","-20.52","-51.18","350.0","SAO JOSE, BR","       103","I","        85","I","        21","I","  84.5"," ,I,1119, ","   1600.6"," ,I"
"BR00B8-0320","1973","-20.52","-51.18","350.0","SAO JOSE, BR","        98","I","        72","I","        14","I","  87.9"," ,I,0215, ","   1352.8"," ,I"
"BR00B8-0320","1974","-20.52","-51.18","350.0","SAO JOSE, BR","       104","I","        77","I","        19","I","  86.5"," ,I,1228, ","   1529.6"," ,I"
"BR00B8-0320","1975","-20.52","-51.18","350.0","SAO JOSE, BR","        93","I","        63","I","        17","I"," 116.5"," ,I,0410, ","   1274.2"," ,I"
"BR00B8-0320","1976","-20.52","-51.18","350.0","SAO JOSE, BR","       117","I","        84","I","        27","I","  63.6"," ,I,1228, ","   1651.9"," ,I"
"BR00B8-0320","1977","-20.52","-51.18","350.0","SAO JOSE, BR","       108","I","        78","I","        18","I","  70.0"," ,I,0131, ","   1367.3"," ,I"
"BR00B8-0320","1978","-20.52","-51.18","350.0","SAO JOSE, BR","        95","I","        71","I","        19","I","  94.3"," ,I,1229, ","   1445.1"," ,I"
"BR00B8-0320","1979","-20.52","-51.18","350.0","SAO JOSE, BR","       103","I","        74","I","        25","I"," 110.0"," ,I,1217, ","   1571.7"," ,I"
"BR00B8-0320","1980","-20.52","-51.18","350.0","SAO JOSE, BR","       105","I","        76","I","        16","I","  99.8"," ,I,1213, ","   1311.6"," ,I"
"BR00B8-0320","1981","-20.52","-51.18","350.0","SAO JOSE, BR","        94","I","        64","I","        17","I","  84.5"," ,I,1107, ","   1341.2"," ,I"
"BR00B8-0320","1982","-20.52","-51.18","350.0","SAO JOSE, BR","       119","I","        80","I","        17","I","  58.2"," ,I,0302, ","   1389.3"," ,I"
"BR00B8-0320","1983","-20.52","-51.18","350.0","SAO JOSE, BR","       118","I","        92","I","        29","I","  74.3"," ,I,1023, ","   1761.1"," ,I"
"BR00B8-0320","1984","-20.52","-51.18","350.0","SAO JOSE, BR","        90","I","        61","I","        11","I","  64.1"," ,I,0128, ","    861.4"," ,I"
"BR00B8-0320","1985","-20.52","-51.18","350.0","SAO JOSE, BR","        77","I","        56","I","        11","I","  52.3"," ,I,0225, ","    927.5"," ,I"
"BR00B8-0320","1986","-20.52","-51.18","350.0","SAO JOSE, BR","       101","I","        71","I","        10","I","  63.6"," ,I,0420, ","   1132.9"," ,I"
"BR00B8-0320","1988","-20.52","-51.18","350.0","SAO JOSE, BR","        76","I","        59","I","        13","I","  50.8"," ,I,0319, ","    967.3"," ,I"
"BR00B8-0320","1989","-20.52","-51.18","350.0","SAO JOSE, BR","       122","I","        91","I","        16","I","  84.0"," ,I,0104, ","   1498.3"," ,I"
"BR00B8-0320","1990","-20.52","-51.18","350.0","SAO JOSE, BR","        96","I","        61","I","        14","I","  59.2"," ,I,0511, ","   1051.6"," ,I"
"BR00B8-0320","1991","-20.52","-51.18","350.0","SAO JOSE, BR","        96","I","        69","I","        16","I","  74.0"," ,I,0315, ","   1350.7"," ,I"
"BR00B8-0320","1992","-20.52","-51.18","350.0","SAO JOSE, BR","       108","I","        77","I","        10","I","  69.0"," ,I,0407, ","   1133.1"," ,I"
"BR00B8-0320","1993","-20.52","-51.18","350.0","SAO JOSE, BR","        89","I","        74","I","        15","I","  92.5"," ,I,0401, ","   1395.9"," ,I"
"BR00B8-0320","1994","-20.52","-51.18","350.0","SAO JOSE, BR","        78","I","        65","I","        11","I","  78.4"," ,I,1222, ","   1048.1"," ,I"
"BR00B8-0320","1995","-20.52","-51.18","350.0","SAO JOSE, BR","        86","I","        79","I","        14","I","  88.0"," ,I,0220, ","   1347.2"," ,I"
"BR00B8-0320","1996","-20.52","-51.18","350.0","SAO JOSE, BR","        86","I","        75","I","        13","I"," 173.5"," ,I,1120, ","   1395.2"," ,I"
"BR00B8-0320","1997","-20.52","-51.18","350.0","SAO JOSE, BR","        79","I","        69","I","        21","I"," 108.2"," ,I,0401, ","   1580.0"," ,I"
