"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"BR00C7-0640","1947","-21.7","-50.3","420.0","FAZENDA BOM RETIRO, BR","        94","I","        74","I","        15","I","  72.4"," ,I,0216, ","   1188.5"," ,I"
"BR00C7-0640","1949","-21.7","-50.3","420.0","FAZENDA BOM RETIRO, BR","        55","I","        46","I","        10","I","  86.2"," ,I,1202, ","    946.3"," ,I"
"BR00C7-0640","1954","-21.7","-50.3","420.0","FAZENDA BOM RETIRO, BR","        55","I","        37","I","         7","I","  70.2"," ,I,0311, ","    674.3"," ,I"
"BR00C7-0640","1955","-21.7","-50.3","420.0","FAZENDA BOM RETIRO, BR","        54","I","        41","I","        13","I","  67.3"," ,I,0329, ","    834.3"," ,I"
"BR00C7-0640","1956","-21.7","-50.3","420.0","FAZENDA BOM RETIRO, BR","        69","I","        57","I","        18","I","  42.0"," ,I,0220, ","   1107.5"," ,I"
"BR00C7-0640","1957","-21.7","-50.3","420.0","FAZENDA BOM RETIRO, BR","        68","I","        66","I","        13","I","  50.6"," ,I,1216, ","   1127.9"," ,I"
"BR00C7-0640","1958","-21.7","-50.3","420.0","FAZENDA BOM RETIRO, BR","        59","I","        51","I","         8","I","  88.0"," ,I,0615, ","    877.5"," ,I"
"BR00C7-0640","1960","-21.7","-50.3","420.0","FAZENDA BOM RETIRO, BR","        57","I","        54","I","        17","I"," 118.0"," ,I,1026, ","   1307.6"," ,I"
"BR00C7-0640","1961","-21.7","-50.3","420.0","FAZENDA BOM RETIRO, BR","        61","I","        58","I","        12","I"," 122.0"," ,I,1226, ","   1249.4"," ,I"
"BR00C7-0640","1962","-21.7","-50.3","420.0","FAZENDA BOM RETIRO, BR","        71","I","        64","I","        15","I","  80.2"," ,I,1226, ","   1270.7"," ,I"
"BR00C7-0640","1963","-21.7","-50.3","420.0","FAZENDA BOM RETIRO, BR","        46","I","        43","I","        12","I","  56.3"," ,I,1121, ","    826.5"," ,I"
"BR00C7-0640","1964","-21.7","-50.3","420.0","FAZENDA BOM RETIRO, BR","        68","I","        58","I","        18","I","  70.2"," ,I,1105, ","   1215.8"," ,I"
"BR00C7-0640","1965","-21.7","-50.3","420.0","FAZENDA BOM RETIRO, BR","        76","I","        71","I","        21","I"," 100.2"," ,I,1212, ","   1490.5"," ,I"
"BR00C7-0640","1966","-21.7","-50.3","420.0","FAZENDA BOM RETIRO, BR","        68","I","        57","I","        10","I"," 127.0"," ,I,0222, ","    965.0"," ,I"
"BR00C7-0640","1967","-21.7","-50.3","420.0","FAZENDA BOM RETIRO, BR","        65","I","        62","I","        19","I"," 100.5"," ,I,1218, ","   1281.2"," ,I"
"BR00C7-0640","1968","-21.7","-50.3","420.0","FAZENDA BOM RETIRO, BR","        46","I","        44","I","        14","I","  96.4"," ,I,1024, ","    947.4"," ,I"
