"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"BR00D2-0240","1960","-22.67","-45.57","1440.0","BAIRRO AGUA SANTA, BR","       168","I","       127","I","        20","I"," 154.3"," ,I,0106, ","   2010.6"," ,I"
"BR00D2-0240","1961","-22.67","-45.57","1440.0","BAIRRO AGUA SANTA, BR","       161","I","       128","I","        12","I","  70.5"," ,I,0223, ","   1694.4"," ,I"
"BR00D2-0240","1962","-22.67","-45.57","1440.0","BAIRRO AGUA SANTA, BR","       158","I","       121","I","        28","I"," 102.2"," ,I,1230, ","   2199.7"," ,I"
"BR00D2-0240","1963","-22.67","-45.57","1440.0","BAIRRO AGUA SANTA, BR","       106","I","        78","I","        13","I","  99.0"," ,I,1114, ","   1243.3"," ,I"
"BR00D2-0240","1964","-22.67","-45.57","1440.0","BAIRRO AGUA SANTA, BR","       160","I","       119","I","        19","I","  83.3"," ,I,0124, ","   1691.9"," ,I"
"BR00D2-0240","1965","-22.67","-45.57","1440.0","BAIRRO AGUA SANTA, BR","       171","I","       143","I","        32","I"," 122.6"," ,I,0310, ","   2389.6"," ,I"
"BR00D2-0240","1966","-22.67","-45.57","1440.0","BAIRRO AGUA SANTA, BR","       143","I","       117","I","        28","I"," 131.2"," ,I,0306, ","   2180.6"," ,I"
"BR00D2-0240","1967","-22.67","-45.57","1440.0","BAIRRO AGUA SANTA, BR","       145","I","       136","I","        20","I","  65.7"," ,I,1027, ","   1987.6"," ,I"
"BR00D2-0240","1968","-22.67","-45.57","1440.0","BAIRRO AGUA SANTA, BR","       117","I","        99","I","        11","I","  68.3"," ,I,0113, ","   1230.1"," ,I"
"BR00D2-0240","1969","-22.67","-45.57","1440.0","BAIRRO AGUA SANTA, BR","       138","I","       120","I","        12","I","  64.0"," ,I,1114, ","   1592.2"," ,I"
"BR00D2-0240","1970","-22.67","-45.57","1440.0","BAIRRO AGUA SANTA, BR","       142","I","       122","I","        27","I"," 128.0"," ,I,0220, ","   2269.7"," ,I"
