"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"BR00D6-0010","1938","-22.317","-49.117","617.0","BAURU, BR","        83","I","        58","I","        11","I","","","","","","","  90.3"," ,I,1013, ","    942.2"," ,I","",""
"BR00D6-0010","1939","-22.317","-49.117","617.0","BAURU, BR","       102","I","        82","I","        11","I","","","","","","","  81.3"," ,I,0326, ","   1265.5"," ,I","",""
"BR00D6-0010","1942","-22.317","-49.117","617.0","BAURU, BR","        84","I","        67","I","        10","I","","","","","","","  72.0"," ,I,1201, ","   1056.6"," ,I","",""
"BR00D6-0010","1943","-22.317","-49.117","617.0","BAURU, BR","        59","I","        51","I","         5","I","","","","","","","  68.0"," ,I,0104, ","    751.7"," ,I","",""
"BR00D6-0010","1944","-22.317","-49.117","617.0","BAURU, BR","        43","I","        37","I","         5","I","","","","","","","  52.0"," ,I,1108, ","    554.7"," ,I","",""
"BR00D6-0010","1945","-22.317","-49.117","617.0","BAURU, BR","        70","I","        67","I","         9","I","","","","","","","  63.0"," ,I,0221, ","   1065.5"," ,I","",""
"BR00D6-0010","1946","-22.317","-49.117","617.0","BAURU, BR","        79","I","        61","I","        14","I","","","","","","","  49.0"," ,I,0602, ","    940.7"," ,I","",""
"BR00D6-0010","1947","-22.317","-49.117","617.0","BAURU, BR","        82","I","        73","I","        24","I","","","","","","","  88.4"," ,I,0218, ","   1544.5"," ,I","",""
"BR00D6-0010","1948","-22.317","-49.117","617.0","BAURU, BR","        42","I","        34","I","         5","I","","","","","","","  56.6"," ,I,1116, ","    479.2"," ,I","",""
"BR00D6-0010","1949","-22.317","-49.117","617.0","BAURU, BR","        61","I","        50","I","        16","I","","","","","","","  70.4"," ,I,1201, ","    990.7"," ,I","",""
"BR00D6-0010","1950","-22.317","-49.117","617.0","BAURU, BR","        73","I","        60","I","        17","I","","","","","","","  70.0"," ,I,0208, ","   1186.7"," ,I","",""
"BR00D6-0010","1952","-22.317","-49.117","617.0","BAURU, BR","        78","I","        66","I","        12","I","","","","","","","  90.2"," ,I,0212, ","   1133.3"," ,I","",""
"BR00D6-0010","1953","-22.317","-49.117","617.0","BAURU, BR","        84","I","        62","I","        13","I","","","","","","","  75.1"," ,I,0212, ","   1174.2"," ,I","",""
"BR00D6-0010","1954","-22.317","-49.117","617.0","BAURU, BR","        76","I","        59","I","        22","I","","","","","",""," 126.4"," ,I,0131, ","   1263.0"," ,I","",""
"BR00D6-0010","1955","-22.317","-49.117","617.0","BAURU, BR","        65","I","        56","I","        11","I","","","","","","","  66.3"," ,I,0227, ","    926.9"," ,I","",""
"BR00D6-0010","1956","-22.317","-49.117","617.0","BAURU, BR","        77","I","        65","I","        15","I","","","","","","","  51.2"," ,I,0525, ","   1165.5"," ,I","",""
"BR00D6-0010","1958","-22.317","-49.117","617.0","BAURU, BR","        83","I","        68","I","        18","I","","","","","","","  61.4"," ,I,0614, ","   1288.8"," ,I","",""
"BR00D6-0010","1959","-22.317","-49.117","617.0","BAURU, BR","        84","I","        63","I","        15","I","","","","","","","  55.4"," ,I,1221, ","   1072.4"," ,I","",""
"BR00D6-0010","1960","-22.317","-49.117","617.0","BAURU, BR","        76","I","        67","I","        12","I","","","","","","","  81.0"," ,I,0229, ","   1194.3"," ,I","",""
"BR00D6-0010","1961","-22.317","-49.117","617.0","BAURU, BR","        84","I","        66","I","        14","I","","","","","",""," 119.5"," ,I,1226, ","   1150.1"," ,I","",""
"BR00D6-0010","1962","-22.317","-49.117","617.0","BAURU, BR","        97","I","        77","I","        17","I","","","","","","","  49.0"," ,I,0219, ","   1232.2"," ,I","",""
