"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"BR00E2-0410","1944","-23.55","-45.47","700.0","BAIRRO DA CAPOEIRINHA DER, BR","       177","I","       126","I","        20","I"," 256.7"," ,I,0219, ","   2091.1"," ,I"
"BR00E2-0410","1951","-23.55","-45.47","700.0","BAIRRO DA CAPOEIRINHA DER, BR","       139","I","       117","I","        25","I","  79.7"," ,I,0228, ","   1882.5"," ,I"
"BR00E2-0410","1952","-23.55","-45.47","700.0","BAIRRO DA CAPOEIRINHA DER, BR","       192","I","       153","I","        18","I","  93.5"," ,I,0112, ","   1970.8"," ,I"
"BR00E2-0410","1953","-23.55","-45.47","700.0","BAIRRO DA CAPOEIRINHA DER, BR","       198","I","       150","I","        22","I","  85.5"," ,I,0513, ","   2119.2"," ,I"
"BR00E2-0410","1954","-23.55","-45.47","700.0","BAIRRO DA CAPOEIRINHA DER, BR","       201","I","       149","I","        29","I","  69.3"," ,I,0828, ","   2315.7"," ,I"
"BR00E2-0410","1955","-23.55","-45.47","700.0","BAIRRO DA CAPOEIRINHA DER, BR","       172","I","       142","I","        16","I"," 130.8"," ,I,1121, ","   2005.4"," ,I"
"BR00E2-0410","1956","-23.55","-45.47","700.0","BAIRRO DA CAPOEIRINHA DER, BR","       205","I","       172","I","        19","I","  76.1"," ,I,0309, ","   2295.4"," ,I"
"BR00E2-0410","1957","-23.55","-45.47","700.0","BAIRRO DA CAPOEIRINHA DER, BR","       206","I","       172","I","        11","I","  60.8"," ,I,1030, ","   1871.4"," ,I"
"BR00E2-0410","1958","-23.55","-45.47","700.0","BAIRRO DA CAPOEIRINHA DER, BR","       170","I","       130","I","        29","I","  70.8"," ,I,1101, ","   2100.2"," ,I"
"BR00E2-0410","1959","-23.55","-45.47","700.0","BAIRRO DA CAPOEIRINHA DER, BR","       175","I","       124","I","        12","I"," 104.9"," ,I,0217, ","   1474.5"," ,I"
"BR00E2-0410","1960","-23.55","-45.47","700.0","BAIRRO DA CAPOEIRINHA DER, BR","       178","I","       127","I","        14","I","  79.2"," ,I,0725, ","   1550.1"," ,I"
"BR00E2-0410","1962","-23.55","-45.47","700.0","BAIRRO DA CAPOEIRINHA DER, BR","       163","I","       122","I","        17","I","  80.6"," ,I,1220, ","   1722.9"," ,I"
"BR00E2-0410","1963","-23.55","-45.47","700.0","BAIRRO DA CAPOEIRINHA DER, BR","       126","I","        79","I","        10","I","  60.2"," ,I,0207, ","   1095.8"," ,I"
"BR00E2-0410","1964","-23.55","-45.47","700.0","BAIRRO DA CAPOEIRINHA DER, BR","       138","I","       100","I","         8","I"," 110.2"," ,I,0308, ","   1376.2"," ,I"
"BR00E2-0410","1965","-23.55","-45.47","700.0","BAIRRO DA CAPOEIRINHA DER, BR","       149","I","       117","I","        14","I","  60.6"," ,I,1222, ","   1451.1"," ,I"
"BR00E2-0410","1966","-23.55","-45.47","700.0","BAIRRO DA CAPOEIRINHA DER, BR","       133","I","       109","I","        17","I"," 160.4"," ,I,0404, ","   1716.3"," ,I"
"BR00E2-0410","1967","-23.55","-45.47","700.0","BAIRRO DA CAPOEIRINHA DER, BR","       133","I","       118","I","        15","I"," 290.1"," ,I,0218, ","   1950.6"," ,I"
"BR00E2-0410","1968","-23.55","-45.47","700.0","BAIRRO DA CAPOEIRINHA DER, BR","       119","I","        89","I","        11","I"," 150.6"," ,I,0216, ","   1359.8"," ,I"
"BR00E2-0410","1970","-23.55","-45.47","700.0","BAIRRO DA CAPOEIRINHA DER, BR","       165","I","       102","I","        14","I"," 131.9"," ,I,0314, ","   1534.1"," ,I"
"BR00E2-0410","1971","-23.55","-45.47","700.0","BAIRRO DA CAPOEIRINHA DER, BR","       177","I","       103","I","        10","I"," 119.9"," ,I,0226, ","   1558.2"," ,I"
"BR00E2-0410","1972","-23.55","-45.47","700.0","BAIRRO DA CAPOEIRINHA DER, BR","       166","I","       101","I","        12","I","  62.8"," ,I,0221, ","   1420.7"," ,I"
"BR00E2-0410","1973","-23.55","-45.47","700.0","BAIRRO DA CAPOEIRINHA DER, BR","       183","I","       113","I","        13","I"," 135.5"," ,I,0117, ","   1598.0"," ,I"
