"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"BR00F3-0080","1971","-24.03","-46.75","20.0","BANAUREA, BR","       189","I","       130","I","        33","I"," 110.0"," ,I,0225, ","   2605.0"," ,I"
"BR00F3-0080","1972","-24.03","-46.75","20.0","BANAUREA, BR","       190","I","       135","I","        38","I"," 161.5"," ,I,0122, ","   2946.9"," ,I"
"BR00F3-0080","1973","-24.03","-46.75","20.0","BANAUREA, BR","       211","I","       157","I","        42","I"," 228.0"," ,I,0116, ","   3606.4"," ,I"
"BR00F3-0080","1974","-24.03","-46.75","20.0","BANAUREA, BR","       172","I","       118","I","        40","I","  99.2"," ,I,0420, ","   2510.9"," ,I"
"BR00F3-0080","1975","-24.03","-46.75","20.0","BANAUREA, BR","       202","I","       142","I","        46","I"," 161.2"," ,I,0325, ","   3656.0"," ,I"
"BR00F3-0080","1976","-24.03","-46.75","20.0","BANAUREA, BR","       213","I","       154","I","        48","I"," 328.5"," ,I,0128, ","   4554.8"," ,I"
"BR00F3-0080","1977","-24.03","-46.75","20.0","BANAUREA, BR","       172","I","       127","I","        42","I"," 168.1"," ,I,0107, ","   3120.3"," ,I"
"BR00F3-0080","1978","-24.03","-46.75","20.0","BANAUREA, BR","       164","I","       111","I","        33","I"," 317.8"," ,I,0309, ","   2851.1"," ,I"
"BR00F3-0080","1979","-24.03","-46.75","20.0","BANAUREA, BR","       200","I","       146","I","        35","I"," 158.7"," ,I,1110, ","   2957.9"," ,I"
"BR00F3-0080","1980","-24.03","-46.75","20.0","BANAUREA, BR","       192","I","       134","I","        37","I"," 301.9"," ,I,0220, ","   3083.5"," ,I"
"BR00F3-0080","1982","-24.03","-46.75","20.0","BANAUREA, BR","       196","I","       146","I","        33","I"," 128.6"," ,I,1203, ","   3214.9"," ,I"
"BR00F3-0080","1984","-24.03","-46.75","20.0","BANAUREA, BR","       178","I","       120","I","        29","I"," 235.3"," ,I,0208, ","   2642.3"," ,I"
"BR00F3-0080","1985","-24.03","-46.75","20.0","BANAUREA, BR","       174","I","       108","I","        29","I"," 182.5"," ,I,0228, ","   2689.2"," ,I"
"BR00F3-0080","1986","-24.03","-46.75","20.0","BANAUREA, BR","       181","I","       133","I","        43","I"," 161.2"," ,I,0302, ","   3252.0"," ,I"
"BR00F3-0080","1987","-24.03","-46.75","20.0","BANAUREA, BR","       201","I","       145","I","        32","I"," 137.9"," ,I,0317, ","   2718.9"," ,I"
"BR00F3-0080","1988","-24.03","-46.75","20.0","BANAUREA, BR","       191","I","       141","I","        37","I"," 250.3"," ,I,0124, ","   3428.5"," ,I"
"BR00F3-0080","1989","-24.03","-46.75","20.0","BANAUREA, BR","       195","I","       141","I","        32","I"," 120.0"," ,I,0508, ","   2844.5"," ,I"
"BR00F3-0080","1990","-24.03","-46.75","20.0","BANAUREA, BR","       153","I","       120","I","        28","I"," 251.0"," ,I,0419, ","   2744.5"," ,I"
"BR00F3-0080","1991","-24.03","-46.75","20.0","BANAUREA, BR","       178","I","       129","I","        31","I","  98.1"," ,I,0609, ","   2507.9"," ,I"
"BR00F3-0080","1992","-24.03","-46.75","20.0","BANAUREA, BR","       180","I","       130","I","        32","I"," 265.1"," ,I,0117, ","   3128.7"," ,I"
"BR00F3-0080","1993","-24.03","-46.75","20.0","BANAUREA, BR","       172","I","       129","I","        26","I","  95.6"," ,I,0422, ","   2350.4"," ,I"
"BR00F3-0080","1994","-24.03","-46.75","20.0","BANAUREA, BR","       184","I","       148","I","        31","I"," 263.1"," ,I,0327, ","   3170.6"," ,I"
"BR00F3-0080","1995","-24.03","-46.75","20.0","BANAUREA, BR","       179","I","       139","I","        48","I"," 115.7"," ,I,0204, ","   3085.3"," ,I"
"BR00F3-0080","1996","-24.03","-46.75","20.0","BANAUREA, BR","       204","I","       159","I","        34","I"," 398.9"," ,I,0408, ","   3188.7"," ,I"
"BR00F3-0080","1997","-24.03","-46.75","20.0","BANAUREA, BR","       177","I","       136","I","        41","I"," 121.2"," ,I,0914, ","   2439.1"," ,I"
