"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"CA001011467","1964","48.5833","-123.4167","53.0","CENTRAL SAANICH VEYANESS, BC CA","       150","C","        85","C","         6","C","","","         7","C","","","   142"," ,C,1221, ","  42.2"," ,C,1129, ","    772.6"," ,C","      352"," ,C"
"CA001011467","1971","48.5833","-123.4167","53.0","CENTRAL SAANICH VEYANESS, BC CA","       161","C","        87","C","         3","C","","","        13","C","","","   173"," ,C,1207, ","  37.3"," ,C,1208, ","    892.7"," ,C","     1027"," ,C"
"CA001011467","1972","48.5833","-123.4167","53.0","CENTRAL SAANICH VEYANESS, BC CA","       139","C","        93","C","        11","C","","","        11","C","","","   117"," ,C,1211, ","  71.9"," ,C,1225, ","   1083.4"," ,C","      584"," ,C"
"CA001011467","1973","48.5833","-123.4167","53.0","CENTRAL SAANICH VEYANESS, BC CA","       140","C","        76","C","         3","C","","","         2","C","","","   102"," ,C,1104, ","  43.7"," ,C,1127, ","    694.9"," ,C","      181"," ,C"
"CA001011467","1974","48.5833","-123.4167","53.0","CENTRAL SAANICH VEYANESS, BC CA","       128","C","        86","C","         8","C","","","         3","C","","","    84"," ,C,0111, ","  42.2"," ,C,1220, ","    896.0"," ,C","      202"," ,C"
"CA001011467","1975","48.5833","-123.4167","53.0","CENTRAL SAANICH VEYANESS, BC CA","       145","C","        80","C","        10","C","","","         7","C","","","   178"," ,C,0111, ","  57.9"," ,C,0822, ","   1051.8"," ,C","      652"," ,C"
"CA001011467","1976","48.5833","-123.4167","53.0","CENTRAL SAANICH VEYANESS, BC CA","       132","C","        70","C","         5","C","","","         2","C","","","    46"," ,C,0225, ","  40.9"," ,C,0126, ","    691.7"," ,C","      105"," ,C"
"CA001011467","1977","48.5833","-123.4167","53.0","CENTRAL SAANICH VEYANESS, BC CA","       132","C","        72","C","         3","C","","","         4","C","","","    79"," ,C,1123, ","  28.4"," ,C,1101, ","    745.4"," ,C","      206"," ,C"
"CA001011467","1978","48.5833","-123.4167","53.0","CENTRAL SAANICH VEYANESS, BC CA","       129","C","        75","C","         1","C","","","         3","C","","","   130"," ,C,0201, ","  37.1"," ,C,1103, ","    531.6"," ,C","      259"," ,C"
"CA001011467","1979","48.5833","-123.4167","53.0","CENTRAL SAANICH VEYANESS, BC CA","       119","C","        62","C","         5","C","","","         2","C","","","    61"," ,C,0202, ","  62.3"," ,C,1213, ","    735.1"," ,C","      122"," ,C"
