"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"CA001016RM0","1981","48.6","-123.4333","43.0","SAANICHTON MOUNT NEWTON, BC CA","","","","","","","        1","","         1","C","    30"," ,C,1228, ","    30"," ,C,1227, ","","","    997.2"," ,C","       30"," ,C"
"CA001016RM0","1982","48.6","-123.4333","43.0","SAANICHTON MOUNT NEWTON, BC CA","       151","C","        81","C","         7","C","","","         4","C","","","   210"," ,C,0102, ","  44.6"," ,C,1202, ","    888.4"," ,C","      462"," ,C"
"CA001016RM0","1983","48.6","-123.4333","43.0","SAANICHTON MOUNT NEWTON, BC CA","","","","","","","        2","","         3","C","    50"," ,C,1226, ","    48"," ,C,1225, ","","","   1009.4"," ,C","      123"," ,C"
"CA001016RM0","1984","48.6","-123.4333","43.0","SAANICHTON MOUNT NEWTON, BC CA","","","","","","","","","         6","C","","","   240"," ,C,1229, ","","","    958.9"," ,C","      617"," ,C"
"CA001016RM0","1985","48.6","-123.4333","43.0","SAANICHTON MOUNT NEWTON, BC CA","       125","C","        65","C","         1","C","       28","","         9","C","   400"," ,C,1127, ","   220"," ,C,1126, ","  47.4"," ,C,1026, ","    552.7"," ,C","      736"," ,C"
"CA001016RM0","1986","48.6","-123.4333","43.0","SAANICHTON MOUNT NEWTON, BC CA","","","","","","","        7","","         5","C","    80"," ,C,0217, ","    90"," ,C,0215, ","","","    955.4"," ,C","      310"," ,C"
"CA001016RM0","1987","48.6","-123.4333","43.0","SAANICHTON MOUNT NEWTON, BC CA","       111","C","        66","C","         3","C","        0","","         1","C","     0","T,C,1218, ","   110"," ,C,0228, ","  41.8"," ,C,1209, ","    601.8"," ,C","      110"," ,C"
"CA001016RM0","1988","48.6","-123.4333","43.0","SAANICHTON MOUNT NEWTON, BC CA","       142","C","        80","C","         5","C","        0","","         0","C","     0"," ,C,1231,+","     0","T,C,1123,+","  37.0"," ,C,1229, ","    816.4"," ,C","        0","T,C"
"CA001016RM0","1989","48.6","-123.4333","43.0","SAANICHTON MOUNT NEWTON, BC CA","       126","C","        71","C","         1","C","","","         4","C","","","   150"," ,C,0217,+","  41.0"," ,C,1203, ","    673.3"," ,C","      420"," ,C"
"CA001016RM0","1990","48.6","-123.4333","43.0","SAANICHTON MOUNT NEWTON, BC CA","       155","C","       102","C","         8","C","       12","","         4","C","    60"," ,C,1230,+","    60"," ,C,1221, ","  56.8"," ,C,1203, ","   1146.6"," ,C","      282"," ,C"
"CA001016RM0","1991","48.6","-123.4333","43.0","SAANICHTON MOUNT NEWTON, BC CA","       132","C","        80","C","         6","C","        8","","         3","C","   260"," ,C,0109, ","   130"," ,C,0106, ","  70.2"," ,C,0403, ","    917.6"," ,C","      252"," ,C"
"CA001016RM0","1992","48.6","-123.4333","43.0","SAANICHTON MOUNT NEWTON, BC CA","       144","C","        86","C","         4","C","        4","","         2","C","   100"," ,C,1229, ","    80"," ,C,1228, ","  39.0"," ,C,0123, ","    853.0"," ,C","      152"," ,C"
"CA001016RM0","1993","48.6","-123.4333","43.0","SAANICHTON MOUNT NEWTON, BC CA","       127","C","        74","C","         4","C","       18","","         3","C","   130"," ,C,0221, ","   104"," ,C,0220, ","  45.0"," ,C,0719, ","    684.0"," ,C","      192"," ,C"
"CA001016RM0","1994","48.6","-123.4333","43.0","SAANICHTON MOUNT NEWTON, BC CA","       144","C","        87","C","         5","C","        3","","         2","C","   120"," ,C,0225, ","   120"," ,C,0224, ","  45.4"," ,C,1225, ","    916.5"," ,C","      196"," ,C"
"CA001016RM0","1995","48.6","-123.4333","43.0","SAANICHTON MOUNT NEWTON, BC CA","       161","C","        93","C","         7","C","        0","","         1","C","    10"," ,C,0215,+","    30"," ,C,0214, ","  72.6"," ,C,1107, ","   1095.6"," ,C","       50"," ,C"
"CA001016RM0","1996","48.6","-123.4333","43.0","SAANICHTON MOUNT NEWTON, BC CA","       187","C","       114","C","         5","C","","","        12","C","","","   430"," ,C,1228, ","  48.2"," ,C,1127, ","   1196.6"," ,C","     1526"," ,C"
"CA001016RM0","1997","48.6","-123.4333","43.0","SAANICHTON MOUNT NEWTON, BC CA","       181","C","       111","C","         7","C","","","         2","C","","","    40"," ,C,0315, ","  53.4"," ,C,0129, ","   1202.0"," ,C","       70"," ,C"
"CA001016RM0","1998","48.6","-123.4333","43.0","SAANICHTON MOUNT NEWTON, BC CA","       156","C","        93","C","         9","C","","","         4","C","","","   140"," ,C,0112, ","  45.2"," ,C,1225, ","   1071.8"," ,C","      440"," ,C"
"CA001016RM0","1999","48.6","-123.4333","43.0","SAANICHTON MOUNT NEWTON, BC CA","","","","","","","        0","","         0","C","     0"," ,C,1231,+","     0"," ,C,1231,+","","","   1210.6"," ,C","        0"," ,C"
"CA001016RM0","2000","48.6","-123.4333","43.0","SAANICHTON MOUNT NEWTON, BC CA","       126","C","        71","C","         2","C","        0","","         2","C","     0","T,C,0314,+","   100"," ,C,1215, ","  37.6"," ,C,1216, ","    729.5"," ,C","      160"," ,C"
"CA001016RM0","2001","48.6","-123.4333","43.0","SAANICHTON MOUNT NEWTON, BC CA","","","","","","","","","         3","C","","","    70"," ,C,1127, ","","","    835.5"," ,C","      184"," ,C"
"CA001016RM0","2002","48.6","-123.4333","43.0","SAANICHTON MOUNT NEWTON, BC CA","","","","","","","","","         3","C","","","    50"," ,C,0126, ","","","    696.2"," ,C","      340"," ,C"
"CA001016RM0","2003","48.6","-123.4333","43.0","SAANICHTON MOUNT NEWTON, BC CA","       136","C","        78","C","         9","C","        1","","         1","C","    50"," ,C,0309, ","   100"," ,C,0308, "," 120.6"," ,C,1016, ","   1043.4"," ,C","      100"," ,C"
"CA001016RM0","2004","48.6","-123.4333","43.0","SAANICHTON MOUNT NEWTON, BC CA","","","","","","","","","         4","C","","","   120"," ,C,0106, ","","","    863.2"," ,C","      290"," ,C"
