"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"CA001100875","2006","50.1333","-122.95","659.0","WHISTLER NESTERS, BC CA","     59.0","","      59.0","C","       157","C","       104","C","         9","C","         1","C","       158","C","        18","C","        90","C","         9","C","  -17.8","C,1128, ","  59.0"," ,C,1115, ","   37.8","C,0721, ","0.0","C,1004","-2.7","C,1029","-7.2","C,1030","-7.2","C,1030","-11.4","C,1126","-0.7","C,0514","-2.4","C,0513","-7.7","C,0320","-7.7","C,0320","-10.6","C,0312","    4143.3","3","    4143.3","C","   1173.1"," ,C","      7.17","C","     12.50","C","      1.83","C"
"CA001100875","2008","50.1333","-122.95","659.0","WHISTLER NESTERS, BC CA","     49.9","","      49.9","C","       134","C","        83","C","         0","C","         2","C","       148","C","        41","C","        69","C","        10","C","  -18.6","C,1220, ","  24.2"," ,C,1017, ","   35.7","C,0816, ","-0.1","C,1008","-2.8","C,1010","-12.3","C,1213","-12.3","C,1213","-12.3","C,1213","0.0","C,0506","-2.3","C,0502","-5.9","C,0422","-7.5","C,0402","-9.3","C,0401","","","","","    696.2"," ,C","      6.10","C","     10.93","C","      1.26","C"
"CA001100875","2009","50.1333","-122.95","659.0","WHISTLER NESTERS, BC CA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    4373.7","7","    4373.7","C","","","","","","","",""
"CA001100875","2013","50.1333","-122.95","659.0","WHISTLER NESTERS, BC CA","     65.6","","      65.6","C","       127","C","        66","C","         3","C","         0","C","       153","C","        29","C","        80","C","         2","C","  -16.3","C,0111, ","  49.0"," ,C,0301, ","   34.7","C,0701, ","-0.4","C,0926","-2.9","C,1029","-6.1","C,1104","-8.8","C,1120","-9.4","C,1121","-2.9","C,0501","-2.9","C,0501","-6.6","C,0324","-6.7","C,0304","-9.8","C,0122","","","","","    733.6"," ,C","      7.20","C","     12.09","C","      2.31","C"
"CA001100875","2014","50.1333","-122.95","659.0","WHISTLER NESTERS, BC CA","     92.9","","      92.9","C","       149","C","        92","C","         7","C","         0","C","       125","C","        32","C","        84","C","        11","C","  -17.1","C,0207, ","  70.3"," ,C,1210, ","   35.8","C,0811, ","0.0","C,1027","-2.8","C,1110","-5.0","C,1113","-10.3","C,1115","-10.3","C,1115","-1.0","C,0426","-3.1","C,0414","-5.6","C,0323","-7.9","C,0302","-9.2","C,0210","    4121.1","1","    4121.1","C","   1124.5"," ,C","      7.52","C","     12.27","C","      2.78","C"
"CA001100875","2015","50.1333","-122.95","659.0","WHISTLER NESTERS, BC CA","    100.3","","     100.3","C","","","","","","","         0","C","       115","C","        18","C","        89","C","        12","C","  -13.4","C,1230, ","","","   35.6","C,0628, ","-0.3","C,1023","-3.0","C,1104","-4.7","C,1110","-7.7","C,1120","-8.9","C,1125","-0.3","C,0507","-2.7","C,0408","-7.2","C,0304","-7.2","C,0304","-10.4","C,0101","    3532.1","1","    3532.1","C","","","      8.36","C","     13.54","C","      3.19","C"
"CA001100875","2016","50.1333","-122.95","659.0","WHISTLER NESTERS, BC CA","     52.9","","      52.9","C","       180","C","       115","C","         6","C","         2","C","       101","C","        33","C","        70","C","         2","C","  -18.1","C,1217, ","  60.9"," ,C,1014, ","   33.5","C,0819, ","-1.7","C,1010","-3.3","C,1011","-6.3","C,1204","-7.1","C,1205","-10.8","C,1206","-0.2","C,0414","-2.5","C,0329","-4.6","C,0317","-12.2","C,0111","-12.2","C,0111","    3848.1","1","    3848.1","C","   1184.6"," ,C","      7.48","C","     12.05","C","      2.91","C"
"CA001100875","2017","50.1333","-122.95","659.0","WHISTLER NESTERS, BC CA","     81.7","","      81.7","C","       148","C","        94","C","         8","C","         1","C","       126","C","        46","C","        88","C","        10","C","  -18.7","C,0112, ","  52.9"," ,C,0117, ","   34.6","C,0803, ","-0.5","C,1003","-5.6","C,1102","-5.6","C,1102","-8.6","C,1103","-9.7","C,1104","-2.0","C,0507","-2.5","C,0416","-4.6","C,0403","-7.0","C,0308","-11.1","C,0225","    4317.6","6","    4317.6","C","   1086.8"," ,C","      6.58","C","     11.55","C","      1.61","C"
"CA001100875","2018","50.1333","-122.95","659.0","WHISTLER NESTERS, BC CA","     99.0","","      99.0","C","       157","C","        93","C","         4","C","         0","C","       130","C","        24","C","        80","C","        12","C","  -17.1","C,0219, ","  40.4"," ,C,1126, ","   36.1","C,0730, ","-1.4","C,1002","-3.1","C,1003","-4.6","C,1108","-6.9","C,1203","-9.5","C,1207","-0.2","C,0425","-2.6","C,0423","-5.4","C,0402","-7.1","C,0310","-13.6","C,0226","    4110.6","6","    4110.6","C","   1022.1"," ,C","      7.40","C","     12.42","C","      2.38","C"
"CA001100875","2019","50.1333","-122.95","659.0","WHISTLER NESTERS, BC CA","     15.2","","      15.2","C","","","","","","","         0","C","       149","C","        33","C","        80","C","         0","C","  -17.0","C,0211,+","","","   31.0","C,0805, ","-0.9","C,0930","-3.3","C,1009","-4.4","C,1010","-7.4","C,1128","-9.4","C,1129","-1.3","C,0501","-2.6","C,0429","-5.1","C,0313","-10.9","C,0310","-10.9","C,0310","    4069.4","4","    4069.4","C","","","      6.84","C","     11.79","C","      1.90","C"
