"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"CA001104477","1960","49.0667","-123.1167","0.0","LADNER MONITOR STATION, BC CA","     22.6","","      22.6","C","       153","C","        95","C","         3","C","         1","C","         0","C","        63","C","         0","C","        45","C","         1","C","   -7.8","C,0103, ","   114"," ,C,0303, ","  39.9"," ,C,1211, ","   33.3","C,0809, ","0.0","C,1103","-2.2","C,1204","-4.4","C,1207","","","","","0.0","C,0425","-2.2","C,0313","-4.4","C,0304","-7.8","C,0103","","","","","    865.6"," ,C","      114"," ,C","      9.38","C","     13.33","C","      5.44","C"
"CA001104477","1961","49.0667","-123.1167","0.0","LADNER MONITOR STATION, BC CA","     31.8","","      31.8","C","       164","C","       108","C","         3","C","         4","C","         0","C","        48","C","         2","C","        74","C","         0","C","   -6.1","C,1210, ","    94"," ,C,1212, ","  33.0"," ,C,1216, ","   31.1","C,0712, ","-0.6","C,1018","-2.2","C,1116","-6.1","C,1210","","","","","-0.6","C,0420","-2.2","C,0304","","","","","    3045.6","6","    3045.6","C","   1133.8"," ,C","      225"," ,C","      9.99","C","     13.89","C","      6.08","C"
"CA001104477","1962","49.0667","-123.1167","0.0","LADNER MONITOR STATION, BC CA","","","","","       166","C","       102","C","         7","C","         5","C","","","","","","","","","","","","","   305"," ,C,0301, ","  47.5"," ,C,1229, ","","","","","","","","","","","","","","","","","","","","","","","","","   1023.5"," ,C","      519"," ,C","","","","","",""
"CA001104477","1963","49.0667","-123.1167","0.0","LADNER MONITOR STATION, BC CA","","","","","       153","C","        97","C","         5","C","         2","C","","","","","         6","C","        53","C","         0","C","","","    71"," ,C,0131, ","  35.6"," ,C,0225, ","   27.8","C,0521, ","","","","","","","","","","","","","","","","","","","    3181.8","8","    3181.8","C","   1022.7"," ,C","      104"," ,C","","","     13.71","C","",""
"CA001104477","1964","49.0667","-123.1167","0.0","LADNER MONITOR STATION, BC CA","      2.0","","       2.0","C","       165","C","       101","C","         2","C","        11","C","         1","C","        60","C","         4","C","        27","C","         0","C","  -21.7","C,1216, ","   178"," ,C,1218, ","  43.7"," ,C,0115, ","   26.1","C,0824,+","-0.6","C,1026","-2.8","C,1113","-4.4","C,1114","-11.1","C,1215","-11.1","C,1215","-0.6","C,0430","-2.8","C,0225","","","","","","","","","    898.9"," ,C","      766"," ,C","      8.83","C","     12.64","C","      5.02","C"
"CA001104477","1965","49.0667","-123.1167","0.0","LADNER MONITOR STATION, BC CA","","","","","       144","C","        91","C","         5","C","         5","C","","","","","         2","C","        40","C","         0","C","","","   178"," ,C,1226, ","  29.5"," ,C,0204, ","   29.4","C,0731, ","","","","","","","","","","","","","","","","","","","    3519.5","5","    3519.5","C","    877.0"," ,C","      402"," ,C","","","     13.23","C","",""
"CA001104477","1966","49.0667","-123.1167","0.0","LADNER MONITOR STATION, BC CA","","","","","       153","C","        91","C","         6","C","         5","C","","","","","","","","","","","","","   109"," ,C,0103, ","  31.8"," ,C,1018, ","","","","","","","","","","","","","","","","","","","","","","","","","    953.5"," ,C","      369"," ,C","","","","","",""
"CA001104477","1967","49.0667","-123.1167","0.0","LADNER MONITOR STATION, BC CA","","","","","       140","C","        86","C","         7","C","         1","C","","","","","","","","","","","","","    33"," ,C,0105, ","  55.9"," ,C,1022, ","","","","","","","","","","","","","","","","","","","","","","","","","   1003.6"," ,C","       41"," ,C","","","","","",""
"CA001104477","1968","49.0667","-123.1167","0.0","LADNER MONITOR STATION, BC CA","","","","","","","","","","","         3","C","","","","","","","","","","","","","   229"," ,C,1230, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","      347"," ,C","","","","","",""
"CA001104477","1969","49.0667","-123.1167","0.0","LADNER MONITOR STATION, BC CA","","","","","       132","C","        87","C","         0","C","         4","C","","","","","","","","","","","","","   102"," ,C,0108, ","  23.9"," ,C,0921, ","","","","","","","","","","","","","","","","","","","","","","","","","    801.2"," ,C","      336"," ,C","","","","","",""
"CA001104477","1970","49.0667","-123.1167","0.0","LADNER MONITOR STATION, BC CA","","","","","       110","C","        78","C","         0","C","         3","C","","","","","","","","","","","","","    69"," ,C,1204, ","  24.1"," ,C,0916, ","","","","","","","","","","","","","","","","","","","","","","","","","    745.4"," ,C","      166"," ,C","","","","","",""
