"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"CA001108446","1926","49.3","-123.1167","3.0","VANCOUVER HARBOUR CS, BC CA","","","","","       180","C","       121","C","         9","C","","","         0","C","","","","","","","","","","","","","","","     0","T,C,0403,+","  54.1"," ,C,0116, ","","","","","","","","","","","","","","","","","","","","","","","","","   1419.8"," ,C","        0","T,C","","","","","",""
"CA001108446","1927","49.3","-123.1167","3.0","VANCOUVER HARBOUR CS, BC CA","","","","","       207","C","       124","C","         9","C","","","        11","C","","","","","","","","","","","","","","","   140"," ,C,1211, ","  69.9"," ,C,0831, ","","","","","","","","","","","","","","","","","","","","","","","","","   1510.9"," ,C","      669"," ,C","","","","","",""
"CA001108446","1928","49.3","-123.1167","3.0","VANCOUVER HARBOUR CS, BC CA","","","","","       170","C","       106","C","         8","C","","","         1","C","","","","","","","","","","","","","","","   122"," ,C,0101, ","  46.5"," ,C,0108, ","","","","","","","","","","","","","","","","","","","","","","","","","   1253.7"," ,C","      130"," ,C","","","","","",""
"CA001108446","1929","49.3","-123.1167","3.0","VANCOUVER HARBOUR CS, BC CA","","","","","       159","C","        93","C","         5","C","","","         9","C","","","","","","","","","","","","","","","   178"," ,C,1211, ","  48.5"," ,C,1222, ","","","","","","","","","","","","","","","","","","","","","","","","","    978.6"," ,C","      740"," ,C","","","","","",""
"CA001108446","1930","49.3","-123.1167","3.0","VANCOUVER HARBOUR CS, BC CA","","","","","       141","C","        86","C","        10","C","","","         0","C","","","","","","","","","","","","","","","    13"," ,C,1115, ","  54.1"," ,C,1018, ","","","","","","","","","","","","","","","","","","","","","","","","","   1159.8"," ,C","       26"," ,C","","","","","",""
"CA001108446","1931","49.3","-123.1167","3.0","VANCOUVER HARBOUR CS, BC CA","","","","","       187","C","       133","C","        13","C","","","         0","C","","","","","","","","","","","","","","","    13"," ,C,0328, ","  81.8"," ,C,1217, ","","","","","","","","","","","","","","","","","","","","","","","","","   1824.1"," ,C","       13"," ,C","","","","","",""
"CA001108446","1932","49.3","-123.1167","3.0","VANCOUVER HARBOUR CS, BC CA","","","","","       192","C","       131","C","        20","C","","","         2","C","","","","","","","","","","","","","","","    84"," ,C,0116, ","  63.0"," ,C,1112, ","","","","","","","","","","","","","","","","","","","","","","","","","   1824.4"," ,C","      180"," ,C","","","","","",""
"CA001108446","1933","49.3","-123.1167","3.0","VANCOUVER HARBOUR CS, BC CA","","","","","       197","C","       132","C","        19","C","","","         4","C","","","","","","","","","","","","","","","    89"," ,C,0120, ","  44.5"," ,C,0225, ","","","","","","","","","","","","","","","","","","","","","","","","","   1818.7"," ,C","      264"," ,C","","","","","",""
"CA001108446","1934","49.3","-123.1167","3.0","VANCOUVER HARBOUR CS, BC CA","","","","","       170","C","       122","C","        20","C","","","         2","C","","","","","","","","","","","","","","","   152"," ,C,1227, ","  46.2"," ,C,0115, ","","","","","","","","","","","","","","","","","","","","","","","","","   1684.0"," ,C","      216"," ,C","","","","","",""
"CA001108446","1935","49.3","-123.1167","3.0","VANCOUVER HARBOUR CS, BC CA","","","","","       162","C","       102","C","        16","C","","","         3","C","","","","","","","","","","","","","","","   368"," ,C,0120, ","  93.2"," ,C,0121, ","","","","","","","","","","","","","","","","","","","","","","","","","   1647.0"," ,C","      483"," ,C","","","","","",""
