"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"CA00114Q3C9","1989","49.5333","-117.65","503.0","PASSMORE, BC CA","     99.1","","      99.1","C","       158","C","        79","C","         0","C","       97","","        16","C","         3","C","       146","C","        38","C","       111","C","        11","C","  -24.5","C,0203, ","   340"," ,C,0116, ","    96"," ,C,0108, ","  17.0"," ,C,1023, ","   36.0","C,0729, ","-2.0","C,1003","-3.0","C,1004","-4.5","C,1029","-8.0","C,1211","-9.0","C,1218","0.0","C,0520","-3.0","C,0410","-4.5","C,0308","-14.0","C,0304","-14.0","C,0304","    3852.7","7","    3852.7","C","    590.4"," ,C","     1076"," ,C","      7.91","C","     13.76","C","      2.06","C"
"CA00114Q3C9","1990","49.5333","-117.65","503.0","PASSMORE, BC CA","    151.4","","     151.4","C","       160","C","        92","C","         1","C","      105","","        30","C","         7","C","       138","C","        39","C","       112","C","        18","C","  -24.0","C,1223, ","   550"," ,C,1231, ","   272"," ,C,1230, ","  27.2"," ,C,1230, ","   37.0","C,0813, ","-3.0","C,1006","-3.0","C,1006","-5.5","C,1102","-17.0","C,1219","-17.0","C,1219","0.0","C,0507","-2.5","C,0329","-4.5","C,0326","-7.0","C,0325","-16.0","C,0219","    3731.2","2","    3731.2","C","    733.4"," ,C","     2432"," ,C","      8.18","C","     14.06","C","      2.30","C"
"CA00114Q3C9","1991","49.5333","-117.65","503.0","PASSMORE, BC CA","    113.4","","     113.4","C","       141","C","        65","C","         2","C","       95","","        22","C","         2","C","       146","C","        34","C","       120","C","        14","C","  -18.0","C,0129,+","   630"," ,C,0112, ","   172"," ,C,1104, ","  31.2"," ,C,0725, ","   35.0","C,0809,+","-1.0","C,0922","-5.0","C,1018","-5.0","C,1018","-8.5","C,1030","-11.0","C,1102","-1.5","C,0502","-3.5","C,0328","-5.5","C,0327","-7.5","C,0302","-14.5","C,0130","    3946.0","0","    3946.0","C","    591.1"," ,C","     1831"," ,C","      8.12","C","     14.05","C","      2.19","C"
"CA00114Q3C9","1992","49.5333","-117.65","503.0","PASSMORE, BC CA","    157.9","","     157.9","C","       155","C","        79","C","         3","C","       73","","        22","C","         0","C","       123","C","        29","C","       118","C","        19","C","  -14.0","C,1219, ","   450"," ,C,1229,+","   284"," ,C,1219, ","  28.4"," ,C,1219, ","   37.0","C,0623, ","-1.5","C,0907","-3.0","C,1007","-4.5","C,1110","-8.5","C,1203","-10.0","C,1204","-0.5","C,0513","-2.5","C,0411","-4.5","C,0408","-10.5","C,0120","-10.5","C,0120","    3401.8","8","    3401.8","C","    701.4"," ,C","     2072"," ,C","      9.01","C","     14.88","C","      3.15","C"
"CA00114Q3C9","1993","49.5333","-117.65","503.0","PASSMORE, BC CA","     57.4","","      57.4","C","       151","C","        79","C","         2","C","      117","","        17","C","         3","C","       134","C","        51","C","       103","C","         3","C","  -18.0","C,0225,+","   660"," ,C,0125, ","   226"," ,C,0124, ","  36.0"," ,C,0322, ","   34.0","C,0513,+","-1.5","C,1018","-3.0","C,1020","-5.0","C,1105","-8.5","C,1122","-13.0","C,1123","-1.5","C,0415","-3.0","C,0406","-4.5","C,0319","-7.0","C,0316","-9.0","C,0313","    3970.0","0","    3970.0","C","    674.5"," ,C","     1661"," ,C","      7.65","C","     13.41","C","      1.89","C"
"CA00114Q3C9","1994","49.5333","-117.65","503.0","PASSMORE, BC CA","    174.9","","     174.9","C","       151","C","        86","C","         0","C","       90","","        27","C","         0","C","       127","C","        26","C","       122","C","        20","C","  -17.5","C,0208, ","   310"," ,C,0109,+","   164"," ,C,0222, ","  18.6"," ,C,1217, ","   39.0","C,0723, ","-0.5","C,1004","-3.5","C,1102","-6.0","C,1103","-11.5","C,1121","-11.5","C,1121","-0.5","C,0429","-2.5","C,0329","-5.0","C,0325","-7.5","C,0308","-12.5","C,0224","    3666.7","7","    3666.7","C","    676.3"," ,C","     2319"," ,C","      9.02","C","     15.12","C","      2.92","C"
"CA00114Q3C9","1995","49.5333","-117.65","503.0","PASSMORE, BC CA","     73.6","","      73.6","C","       156","C","        91","C","         3","C","       86","","        18","C","         0","C","       148","C","        33","C","       117","C","         6","C","  -16.5","C,1209, ","   400"," ,C,1211, ","   308"," ,C,1210, ","  42.9"," ,C,1212, ","   35.0","C,0719, ","0.0","C,0921","-3.0","C,1019","-5.0","C,1030","-7.5","C,1101","-9.0","C,1102","0.0","C,0501","-2.5","C,0417","-5.5","C,0326","-11.5","C,0306","-11.5","C,0306","    3686.7","7","    3686.7","C","    844.3"," ,C","     1831"," ,C","      8.21","C","     14.21","C","      2.21","C"
"CA00114Q3C9","1996","49.5333","-117.65","503.0","PASSMORE, BC CA","    118.4","","     118.4","C","       183","C","       122","C","         1","C","      120","","        38","C","         5","C","       161","C","        55","C","        91","C","        18","C","  -20.5","C,0203, ","   770"," ,C,1231,+","   188"," ,C,0120, ","  29.8"," ,C,0423, ","   36.0","C,0728, ","-1.5","C,0923","-4.0","C,1017","-5.0","C,1119","-9.0","C,1120","-9.0","C,1120","-0.5","C,0506","-2.5","C,0428","-7.5","C,0328","-7.5","C,0328","-9.0","C,0325","    4080.7","7","    4080.7","C","    934.7"," ,C","     3278"," ,C","      7.00","C","     12.70","C","      1.30","C"
"CA00114Q3C9","1997","49.5333","-117.65","503.0","PASSMORE, BC CA","     90.1","","      90.1","C","       184","C","        97","C","         2","C","      101","","        22","C","         1","C","       149","C","        24","C","        97","C","        10","C","  -18.5","C,0127, ","   720"," ,C,0101, ","   180"," ,C,0301, ","  31.2"," ,C,0419, ","   36.0","C,0805, ","0.0","C,1011","-3.0","C,1024","-4.5","C,1113","-7.0","C,1116","-12.0","C,1222","-0.5","C,0508","-5.5","C,0412","-5.5","C,0412","-7.5","C,0315","-9.0","C,0210","    4072.0","0","    4072.0","C","    889.0"," ,C","     1711"," ,C","      8.12","C","     13.66","C","      2.59","C"
"CA00114Q3C9","1998","49.5333","-117.65","503.0","PASSMORE, BC CA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    3497.2","2","    3497.2","C","","","","","","","","","",""
