"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"CA001152J02","1980","49.5167","-115.7667","926.0","CRANBROOK CITY, BC CA","","","","","","","","","","","","","        21","C","        23","C","       163","C","        57","C","        93","C","         1","C","  -32.0","C,0129,+","","","   270"," ,C,1203, ","","","   34.5","C,0722, ","0.0","C,0903","-2.5","C,0925","-6.0","C,1016","-10.0","C,1112","-10.0","C,1112","0.0","C,0603","-3.0","C,0412","-5.0","C,0404","-7.0","C,0401","-10.0","C,0308","    4369.7","7","    4369.7","C","    460.5"," ,C","     2122"," ,C","      5.82","C","     11.80","C","     -0.17","C"
"CA001152J02","1981","49.5167","-115.7667","926.0","CRANBROOK CITY, BC CA","","","","","        98","C","        49","C","         1","C","","","        16","C","","","","","","","","","","","","","","","   106"," ,C,1207, ","  31.8"," ,C,0612, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    449.4"," ,C","     1062"," ,C","","","","","",""
"CA001152J02","1982","49.5167","-115.7667","926.0","CRANBROOK CITY, BC CA","","","","","        84","C","        43","C","         0","C","","","        20","C","","","","","        62","C","        86","C","         1","C","","","","","   140"," ,C,1216, ","  24.8"," ,C,0925, ","   33.0","C,0730, ","","","","","","","","","","","","","","","","","","","","","","","","","    362.8"," ,C","     1414"," ,C","","","     11.17","C","",""
"CA001152J02","1983","49.5167","-115.7667","926.0","CRANBROOK CITY, BC CA","","","","","       102","C","        53","C","         0","C","","","        14","C","","","","","        53","C","        77","C","         1","C","","","","","    90"," ,C,1209, ","  16.4"," ,C,1103, ","   34.0","C,0807, ","","","","","","","","","","","","","","","","","","","","","    4353.8","8","    4353.8","C","    394.3"," ,C","      918"," ,C","","","     11.85","C","",""
"CA001152J02","1984","49.5167","-115.7667","926.0","CRANBROOK CITY, BC CA","     83.8","","      83.8","C","","","","","","","       73","","        15","C","        15","C","       183","C","        47","C","        91","C","         7","C","  -30.0","C,1231, ","   370"," ,C,1231, ","   210"," ,C,1101, ","","","   35.5","C,0726, ","-1.0","C,0914","-5.0","C,0924","-5.0","C,0924","-7.0","C,1020","-12.0","C,1031","0.0","C,0610","-5.0","C,0430","-5.0","C,0430","-7.5","C,0304","-12.0","C,0220","","","","","","","     1208"," ,C","      5.67","C","     11.59","C","     -0.25","C"
"CA001152J02","1985","49.5167","-115.7667","926.0","CRANBROOK CITY, BC CA","","","","","        58","C","        26","C","         0","C","","","         4","C","        26","C","       176","C","        85","C","        84","C","        13","C","  -30.0","C,1128, ","","","   110"," ,C,0207, ","  20.0"," ,C,0911, ","   36.0","C,0721,+","-1.0","C,0920","-3.0","C,0923","-5.5","C,0928","-8.5","C,1008","-12.0","C,1110","-2.5","C,0513","-2.5","C,0513","-6.0","C,0407","-7.0","C,0326","-9.0","C,0311","","","","","    201.6"," ,C","      411"," ,C","      4.60","C","     10.50","C","     -1.30","C"
"CA001152J02","1986","49.5167","-115.7667","926.0","CRANBROOK CITY, BC CA","     77.1","","      77.1","C","","","","","","","      102","","","","         8","C","       170","C","        59","C","        82","C","         7","C","  -24.5","C,0219, ","   450"," ,C,0218, ","","","","","   33.0","C,0810,+","-1.5","C,0912","-4.0","C,1011","-4.5","C,1012","-9.5","C,1108","-9.5","C,1108","0.0","C,0523","-4.0","C,0424","-10.0","C,0413","-10.0","C,0413","-10.0","C,0413","    4767.1","1","    4767.1","C","","","","","      6.56","C","     12.48","C","      0.63","C"
"CA001152J02","1987","49.5167","-115.7667","926.0","CRANBROOK CITY, BC CA","     94.8","","      94.8","C","        55","C","        31","C","         0","C","       70","","        11","C","         8","C","       161","C","        45","C","       104","C","         7","C","  -20.0","C,1231,+","   140"," ,C,1231,+","    70"," ,C,1209, ","  20.8"," ,C,0615, ","   35.0","C,0729,+","-0.5","C,0916","-5.0","C,1010","-5.0","C,1010","-12.5","C,1117","-12.5","C,1117","0.0","C,0523","-4.0","C,0402","-6.5","C,0330","-11.0","C,0329","-11.0","C,0329","    4272.8","8","    4272.8","C","    282.7"," ,C","      595"," ,C","      7.38","C","     13.79","C","      0.95","C"
"CA001152J02","1988","49.5167","-115.7667","926.0","CRANBROOK CITY, BC CA","     85.8","","      85.8","C","","","","","","","","","         9","C","        16","C","       149","C","        52","C","       104","C","         7","C","  -25.5","C,0108,+","","","   110"," ,C,0110, ","","","   34.0","C,0903, ","0.0","C,0908","-4.0","C,1018","-7.0","C,1027","-7.0","C,1027","-9.0","C,1029","0.0","C,0521","-3.0","C,0426","-5.0","C,0410","-8.0","C,0409","-9.5","C,0225","    4334.1","1","    4334.1","C","","","      653"," ,C","      6.66","C","     12.95","C","      0.36","C"
"CA001152J02","1989","49.5167","-115.7667","926.0","CRANBROOK CITY, BC CA","     77.7","","      77.7","C","","","","","","","","","","","        22","C","       164","C","        69","C","        92","C","         5","C","  -31.5","C,0203, ","","","","","","","   34.5","C,0731,+","-0.5","C,0909","-3.5","C,1002","-5.5","C,1003","-7.0","C,1101","-11.5","C,1115","-1.0","C,0529","-3.5","C,0418","-6.0","C,0410","-7.0","C,0320","-10.0","C,0318","    4569.8","8","    4569.8","C","","","","","      5.65","C","     11.63","C","     -0.33","C"
