"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"CA002101303","2014","60.7167","-135.0667","706.0","WHITEHORSE A, YT CA","      0.0","","       0.0","C","        53","C","       207","C","       124","C","        19","C","         0","C","  -36.2","C,0211, ","   25.5","C,0802, ","-0.2","C,0902","-2.6","C,0924","-4.7","C,0926","-7.4","C,1002","-8.9","C,1106","-1.5","C,0522","-4.3","C,0430","-4.5","C,0421","-12.6","C,0412","-12.6","C,0412","    6543.9","9","    6543.9","C","      0.74","C","      5.54","C","     -4.05","C","","","",""
"CA002101303","2015","60.7167","-135.0667","706.0","WHITEHORSE A, YT CA","      5.3","","       5.3","C","        43","C","       197","C","        90","C","        37","C","         0","C","  -36.7","C,0207, ","   28.1","C,0706, ","-0.2","C,0907","-2.3","C,0920","-8.6","C,1002","-8.6","C,1002","-16.7","C,1101","-0.6","C,0512","-2.8","C,0505","-4.9","C,0423","-7.1","C,0422","-13.5","C,0325","    6017.0","0","    6017.0","C","      1.40","C","      6.00","C","     -3.20","C","","","",""
"CA002101303","2016","60.7167","-135.0667","706.0","WHITEHORSE A, YT CA","      4.7","","       4.7","C","        31","C","       201","C","       107","C","        43","C","         0","C","  -35.6","C,1215, ","   26.2","C,0807, ","-1.3","C,0911","-3.7","C,0929","-6.4","C,1001","-7.8","C,1008","-9.2","C,1010","-0.3","C,0511","-3.3","C,0504","-4.5","C,0420","-8.2","C,0321","-14.0","C,0315","    5816.6","6","    5816.6","C","      2.36","C","      6.78","C","     -2.06","C","         0","C","       0.0","C"
"CA002101303","2017","60.7167","-135.0667","706.0","WHITEHORSE A, YT CA","     12.3","","      12.3","C","        76","C","       202","C","       111","C","        35","C","         0","C","  -37.9","C,1230, ","   30.5","C,0608, ","-1.7","C,0903","-2.7","C,0929","-4.6","C,1013","-7.4","C,1021","-8.9","C,1102","-0.9","C,0527","-2.6","C,0510","-5.7","C,0422","-8.3","C,0419","-9.9","C,0403","    6477.8","8","    6477.8","C","     -0.25","C","      4.65","C","     -5.16","C","         0","C","       0.0","C"
"CA002101303","2018","60.7167","-135.0667","706.0","WHITEHORSE A, YT CA","     28.4","","      28.4","C","        58","C","       212","C","       124","C","        39","C","         0","C","  -38.6","C,0110, ","   29.8","C,0801,+","-0.8","C,0907","-2.5","C,0915","-4.8","C,0916","-7.1","C,1003","-11.2","C,1031","-2.4","C,0528","-2.4","C,0528","-6.0","C,0421","-9.1","C,0418","-9.1","C,0418","    6783.0","0","    6783.0","C","      0.43","C","      5.40","C","     -4.53","C","","","",""
"CA002101303","2019","60.7167","-135.0667","706.0","WHITEHORSE A, YT CA","     23.5","","      23.5","C","        51","C","       203","C","       106","C","        44","C","         0","C","  -37.7","C,0203, ","   31.2","C,0630, ","-1.2","C,0927","-5.2","C,0928","-5.2","C,0928","-10.4","C,1008","-10.4","C,1008","-2.5","C,0513","-2.5","C,0513","-4.8","C,0429","-8.4","C,0425","-9.0","C,0405","    6101.8","8","    6101.8","C","      1.53","C","      6.52","C","     -3.45","C","","","",""
"CA002101303","2020","60.7167","-135.0667","706.0","WHITEHORSE A, YT CA","      0.6","","       0.6","C","        74","C","       204","C","       141","C","        10","C","         0","C","  -40.6","C,0114, ","   29.0","C,0731, ","-0.3","C,0905","-3.7","C,0914","-6.2","C,1010","-9.2","C,1016","-9.2","C,1016","-1.4","C,0508","-2.3","C,0506","-5.5","C,0412","-15.4","C,0411","-15.4","C,0411","    6535.3","3","    6535.3","C","     -0.78","C","      4.02","C","     -5.59","C","","","",""
"CA002101303","2021","60.7167","-135.0667","706.0","WHITEHORSE A, YT CA","     17.1","","      17.1","C","        76","C","       210","C","       140","C","        32","C","         0","C","  -42.0","C,0209, ","   31.2","C,0628, ","-1.5","C,0915","-2.9","C,0929","-6.9","C,1006","-6.9","C,1006","-14.3","C,1107","-0.2","C,0527","-7.4","C,0428","-7.4","C,0428","-7.4","C,0428","-29.5","C,0411","    6819.1","1","    6819.1","C","     -0.95","C","      3.86","C","     -5.76","C","","","",""
"CA002101303","2022","60.7167","-135.0667","706.0","WHITEHORSE A, YT CA","      9.6","","       9.6","C","        49","C","       201","C","       115","C","        41","C","         0","C","  -45.2","C,0106, ","   29.3","C,0704, ","0.0","C,0905","-3.4","C,0928","-4.8","C,1024","-10.4","C,1025","-10.4","C,1025","-0.2","C,0519","-2.8","C,0518","-7.0","C,0422","-7.0","C,0422","-11.6","C,0419","    6544.4","4","    6544.4","C","      0.71","C","      5.55","C","     -4.12","C","","","",""
"CA002101303","2023","60.7167","-135.0667","706.0","WHITEHORSE A, YT CA","     31.0","","      31.0","C","        27","C","       198","C","       110","C","        58","C","         1","C","  -32.5","C,0306, ","   32.8","C,0707, ","-0.6","C,0923","-2.7","C,0924","-7.6","C,1020","-7.6","C,1020","-13.2","C,1021","0.0","C,0531","-4.8","C,0505","-4.8","C,0505","-11.9","C,0411","-11.9","C,0411","    6240.8","8","    6240.8","C","      2.32","C","      6.99","C","     -2.36","C","","","",""
