"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"CA00230J01Q","1996","69.2833","-119.2167","69.0","CROKER RIVER, NU CA","      6.7","","       6.7","C","","","","","","","","","       160","C","       263","C","       226","C","        13","C","         0","C","  -37.6","C,0115, ","","","","","   29.0","C,0726, ","-0.2","C,0812","-2.5","C,0822","-4.5","C,0909","-7.2","C,0927","-9.7","C,0928","0.0","C,0608","-2.7","C,0605","-4.6","C,0522","-8.0","C,0520","-11.5","C,0517","","","","","","","","","    -10.03","C","     -6.64","C","    -13.42","C"
"CA00230J01Q","1997","69.2833","-119.2167","69.0","CROKER RIVER, NU CA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","   10219.3","3","   10219.3","C","","","","","","","","","",""
"CA00230J01Q","1999","69.2833","-119.2167","69.0","CROKER RIVER, NU CA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    8884.1","1","    8884.1","C","","","","","","","","","",""
"CA00230J01Q","2002","69.2833","-119.2167","69.0","CROKER RIVER, NU CA","      0.8","","       0.8","C","","","","","","","","","       153","C","       283","C","       235","C","         5","C","         0","C","  -37.2","C,0119, ","","","","","   25.3","C,0724, ","-0.7","C,0801","-3.0","C,0922","-4.5","C,0923","-9.9","C,0930","-9.9","C,0930","0.0","C,0730","-2.6","C,0614","-7.9","C,0531","-7.9","C,0531","-8.9","C,0527","","","","","","","","","    -10.00","C","     -6.63","C","    -13.37","C"
"CA00230J01Q","2003","69.2833","-119.2167","69.0","CROKER RIVER, NU CA","","","","","","","","","","","","","","","","","       228","C","         5","C","         0","C","","","","","","","   25.7","C,0722, ","","","","","","","","","","","","","","","","","","","","","   10129.9","9","   10129.9","C","","","","","","","     -6.42","C","",""
"CA00230J01Q","2004","69.2833","-119.2167","69.0","CROKER RIVER, NU CA","      3.4","","       3.4","C","","","","","","","","","       189","C","       283","C","       248","C","        11","C","         0","C","  -40.6","C,0116, ","","","","","   27.8","C,0728, ","-0.2","C,0905","-3.3","C,0915","-9.8","C,0930","-9.8","C,0930","-9.8","C,0930","-0.4","C,0629","-3.5","C,0601","-4.7","C,0531","-6.8","C,0530","-12.7","C,0529","","","","","","","","","    -12.33","C","     -8.87","C","    -15.79","C"
"CA00230J01Q","2005","69.2833","-119.2167","69.0","CROKER RIVER, NU CA","      0.0","","       0.0","C","","","","","","","","","       147","C","       274","C","       235","C","         2","C","         0","C","  -39.5","C,0305, ","","","","","   22.7","C,0612, ","-0.8","C,0829","-2.2","C,0919","-5.0","C,0924","-6.7","C,0925","-10.3","C,0928","-0.6","C,0724","-3.4","C,0604","-5.6","C,0522","-6.9","C,0521","-17.0","C,0520","   10551.7","7","   10551.7","C","","","","","    -10.11","C","     -6.74","C","    -13.48","C"
"CA00230J01Q","2006","69.2833","-119.2167","69.0","CROKER RIVER, NU CA","","","","","         0","C","         0","C","         0","C","         0","C","","","","","","","","","","","","","     0"," ,C,1231,+","     0"," ,C,1231,+","","","","","","","","","","","","","","","","","","","","","","","    9876.1","1","    9876.1","C","      0.0"," ,C","        0"," ,C","","","","","",""
"CA00230J01Q","2007","69.2833","-119.2167","69.0","CROKER RIVER, NU CA","      5.4","","       5.4","C","","","","","","","","","       155","C","       269","C","       231","C","         9","C","         0","C","  -36.5","C,0309, ","","","","","   27.2","C,0718, ","0.0","C,0904","-2.4","C,0910","-4.6","C,0925","-8.4","C,0926","-15.9","C,1005","-0.1","C,0618","-5.9","C,0530","-5.9","C,0530","-8.4","C,0528","-15.3","C,0518","","","","","","","","","     -9.95","C","     -6.88","C","    -13.01","C"
"CA00230J01Q","2008","69.2833","-119.2167","69.0","CROKER RIVER, NU CA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","   10142.0","0","   10142.0","C","","","","","","","","","",""
