"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"CA002403000","1942","67.0333","-62.7333","40.0","PADLOPING ISLAND, NU CA","      0.0","","       0.0","C","","","","","","","","","","","       140","C","       320","C","       232","C","         0","C","         0","C","","","  -43.3","C,0217, ","","","","","","","   16.7","C,0729, ","-0.6","C,0811","-2.8","C,0815","-5.0","C,0917","-7.2","C,1004","-10.0","C,1012","-1.1","C,0731","-2.8","C,0711","-4.4","C,0609","-6.7","C,0527","-16.7","C,0525","","","","","","","","","    -10.25","C","     -6.97","C","    -13.53","C"
"CA002403000","1943","67.0333","-62.7333","40.0","PADLOPING ISLAND, NU CA","      0.0","","       0.0","C","","","","","","","","","","","       154","C","       324","C","       230","C","         0","C","         0","C","","","  -42.8","C,0310, ","","","","","","","   15.0","C,0710, ","-0.6","C,0802","-2.2","C,0823","-4.4","C,0925","-6.7","C,0927","-10.0","C,1010","-1.7","C,0728","-2.2","C,0625","-6.1","C,0621","-6.7","C,0615","-8.9","C,0519","   10674.9","9","   10674.9","C","","","","","    -10.77","C","     -7.34","C","    -14.21","C"
"CA002403000","1944","67.0333","-62.7333","40.0","PADLOPING ISLAND, NU CA","      0.0","","       0.0","C","        84","C","        13","C","         0","C","","","","","       146","C","       323","C","       232","C","         0","C","         0","C","","","  -38.9","C,0116, ","","","","","  11.4"," ,C,0907, ","   16.1","C,0905,+","-1.7","C,0801","-2.2","C,0802","-6.7","C,0925","-6.7","C,0925","-9.4","C,1008","0.0","C,0724","-2.2","C,0720","-5.6","C,0611","-8.9","C,0531","-8.9","C,0531","   10406.6","6","   10406.6","C","    106.1"," ,C","","","    -10.26","C","     -6.84","C","    -13.69","C"
"CA002403000","1945","67.0333","-62.7333","40.0","PADLOPING ISLAND, NU CA","      0.0","","       0.0","C","       115","C","        19","C","         0","C","","","","","       140","C","       317","C","       230","C","         0","C","         0","C","","","  -37.2","C,0223, ","","","","","   8.6"," ,C,0824, ","   18.9","C,0717, ","-0.6","C,0806","-2.2","C,0917","-5.6","C,1001","-7.8","C,1014","-8.9","C,1018","-0.6","C,0731","-3.3","C,0712","-6.1","C,0614","-8.3","C,0528","-10.0","C,0522","   10089.4","4","   10089.4","C","    159.5"," ,C","","","     -9.35","C","     -6.36","C","    -12.34","C"
"CA002403000","1949","67.0333","-62.7333","40.0","PADLOPING ISLAND, NU CA","      0.0","","       0.0","C","        59","C","        19","C","         0","C","","","        17","C","       159","C","       288","C","       239","C","         0","C","         0","C","","","  -45.0","C,0121,+","","","   124"," ,C,1102, ","  12.4"," ,C,1102, ","   17.2","C,0801,+","0.0","C,0807","-2.2","C,0910","-4.4","C,0927","-6.7","C,0930","-10.0","C,1002","-2.2","C,0716","-2.2","C,0716","-4.4","C,0605","-6.7","C,0523","-12.2","C,0517","","","","","    168.3"," ,C","     1569"," ,C","    -11.98","C","     -9.05","C","    -14.91","C"
"CA002403000","1951","67.0333","-62.7333","40.0","PADLOPING ISLAND, NU CA","      0.0","","       0.0","C","        89","C","         9","C","         0","C","      291","","","","       152","C","       319","C","       232","C","         0","C","         0","C","        16"," ","  -43.3","C,0202,+","  1397"," ,X,0516,+","","","  12.7"," ,C,0823, ","   15.0","C,0719, ","0.0","C,0801","-2.2","C,0814","-5.0","C,0924","-6.7","C,1004","-9.4","C,1010","-1.1","C,0727","-2.2","C,0609","-4.4","C,0606","-7.2","C,0529","-15.0","C,0522","   10314.8","8","   10314.8","C","    110.3"," ,C","","","    -10.90","C","     -7.22","C","    -14.58","C"
"CA002403000","1952","67.0333","-62.7333","40.0","PADLOPING ISLAND, NU CA","      0.0","","       0.0","C","       105","C","        38","C","         1","C","      271","","","","       132","C","       307","C","       226","C","         0","C","         0","C","        41"," ","  -42.8","C,0115,+","   864"," ,X,1231,+","","","  27.9"," ,C,0731, ","   17.2","C,0721, ","0.0","C,0801","-3.3","C,0921","-5.6","C,0926","-7.8","C,1004","-8.9","C,1009","0.0","C,0716","-2.2","C,0624","-4.4","C,0611","-6.7","C,0609","-8.9","C,0503","   10626.2","2","   10626.2","C","    366.9"," ,C","","","    -10.01","C","     -7.07","C","    -12.95","C"
"CA002403000","1953","67.0333","-62.7333","40.0","PADLOPING ISLAND, NU CA","","","","","","","","","","","","","","","","","","","","","","","","","         4"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","   10141.5","5","   10141.5","C","","","","","","","","","",""
"CA002403000","1954","67.0333","-62.7333","40.0","PADLOPING ISLAND, NU CA","","","","","       128","C","        27","C","         1","C","","","        17","C","","","","","","","","","","","","","","","","","   277"," ,C,1105, ","  27.7"," ,C,1105, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    259.6"," ,C","     1770"," ,C","","","","","",""
"CA002403000","1955","67.0333","-62.7333","40.0","PADLOPING ISLAND, NU CA","      0.0","","       0.0","C","        98","C","        35","C","         0","C","      247","","        28","C","       144","C","       297","C","       206","C","         0","C","         0","C","","","  -38.9","C,0307,+","  1190"," ,C,0428,+","   140"," ,C,1117, ","  14.0"," ,C,1117, ","   16.1","C,0730,+","-0.6","C,0801","-2.8","C,0821","-5.0","C,0925","-8.9","C,0928","-8.9","C,0928","0.0","C,0727","-2.2","C,0707","-7.2","C,0603","-7.2","C,0603","-10.6","C,0526","   10280.1","1","   10280.1","C","    227.1"," ,C","     1935"," ,C","     -9.04","C","     -5.77","C","    -12.30","C"
