"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"CA003015530","1917","52.3833","-114.9167","969.0","ROCKY MOUNTAIN HOUSE, AB CA","","","","","        87","C","        65","C","         2","C","        25","C","","","","","","","","","","","","","   229"," ,C,1016, ","  35.1"," ,C,0516, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    559.0"," ,C","     2016"," ,C","","","","","",""
"CA003015530","1918","52.3833","-114.9167","969.0","ROCKY MOUNTAIN HOUSE, AB CA","     14.5","","      14.5","C","","","","","","","","","        59","C","       259","C","        63","C","        92","C","         0","C","  -46.1","C,0130, ","","","","","   31.7","C,0718,+","-1.1","C,0809","-2.2","C,0810","-5.0","C,0903","-6.7","C,1008","-11.7","C,1022","-2.2","C,0725","-2.2","C,0725","-5.6","C,0603","-7.2","C,0525","-8.9","C,0426","","","","","","","","","      2.35","C","     11.34","C","     -6.64","C"
"CA003015530","1919","52.3833","-114.9167","969.0","ROCKY MOUNTAIN HOUSE, AB CA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    5787.5","5","    5787.5","C","","","","","","","","","",""
"CA003015530","1920","52.3833","-114.9167","969.0","ROCKY MOUNTAIN HOUSE, AB CA","","","","","        67","C","        41","C","         5","C","        19","C","","","","","        63","C","        79","C","         1","C","","","   165"," ,C,0330, ","  52.6"," ,C,0802, ","   32.8","C,0717, ","","","","","","","","","","","","","","","","","","","","","","","","","    465.5"," ,C","     1142"," ,C","","","     10.39","C","",""
"CA003015530","1922","52.3833","-114.9167","969.0","ROCKY MOUNTAIN HOUSE, AB CA","      3.7","","       3.7","C","","","","","","","","","        79","C","       254","C","        83","C","        96","C","         2","C","  -40.6","C,0211,+","","","","","   32.8","C,0603, ","-0.6","C,0824","-3.9","C,0906","-5.6","C,1006","-6.7","C,1007","-10.0","C,1029","-1.1","C,0723","-3.9","C,0608","-4.4","C,0528","-6.7","C,0523","-8.9","C,0418","    6492.9","9","    6492.9","C","    502.4"," ,C","     1288"," ,C","      1.12","C","     10.22","C","     -7.98","C"
"CA003015530","1924","52.3833","-114.9167","969.0","ROCKY MOUNTAIN HOUSE, AB CA","     13.9","","      13.9","C","        79","C","        54","C","         0","C","        28","C","        69","C","       250","C","        79","C","        71","C","         2","C","  -53.9","C,1216, ","   559"," ,C,1214, ","  22.9"," ,C,0414, ","   36.1","C,0703, ","-2.2","C,0831","-2.2","C,0831","-5.0","C,0920","-8.3","C,1005","-8.9","C,1010","-1.7","C,0707","-2.2","C,0624","-6.1","C,0506","-7.2","C,0427","-10.6","C,0425","    5877.4","4","    5877.4","C","    405.0"," ,C","     2448"," ,C","      0.86","C","      8.62","C","     -6.90","C"
"CA003015530","1925","52.3833","-114.9167","969.0","ROCKY MOUNTAIN HOUSE, AB CA","      4.6","","       4.6","C","        72","C","        52","C","         4","C","        16","C","        60","C","       242","C","        85","C","        76","C","         0","C","  -39.4","C,0313, ","   114"," ,C,1224, ","  59.7"," ,C,0815, ","   31.1","C,0712,+","-1.7","C,0828","-6.1","C,0920","-6.1","C,0920","-7.2","C,1002","-8.9","C,1012","-0.6","C,0615","-5.0","C,0531","-5.0","C,0531","-7.2","C,0525","-10.6","C,0511","    6325.5","5","    6325.5","C","    621.0"," ,C","     1568"," ,C","      1.49","C","      8.89","C","     -5.92","C"
"CA003015530","1927","52.3833","-114.9167","969.0","ROCKY MOUNTAIN HOUSE, AB CA","      9.8","","       9.8","C","        86","C","        68","C","         1","C","        26","C","       103","C","       232","C","       106","C","        74","C","         0","C","  -45.6","C,1231, ","   229"," ,C,0315, ","  32.0"," ,C,0812, ","   31.1","C,0725, ","-0.6","C,0902","-4.4","C,0915","-4.4","C,0915","-6.7","C,1011","-8.9","C,1026","0.0","C,0604","-2.2","C,0527","-6.7","C,0506","-6.7","C,0506","-9.4","C,0422","    6515.3","3","    6515.3","C","    559.0"," ,C","     1881"," ,C","     -0.15","C","      7.58","C","     -7.87","C"
"CA003015530","1930","52.3833","-114.9167","969.0","ROCKY MOUNTAIN HOUSE, AB CA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    5948.8","8","    5948.8"," ","","","","","","","","","",""
"CA003015530","1931","52.3833","-114.9167","969.0","ROCKY MOUNTAIN HOUSE, AB CA","     26.1","","      26.1","C","        64","C","        29","C","         5","C","        11","C","        24","C","       227","C","        93","C","        58","C","         0","C","  -40.0","C,1118, ","   330"," ,C,0308, ","  68.6"," ,C,0630, ","   27.8","C,0722, ","-5.0","C,0804","-5.0","C,0804","-5.0","C,0804","-9.4","C,0805","-9.4","C,0805","0.0","C,0727","-7.2","C,0419","-7.2","C,0419","-7.2","C,0419","-8.9","C,0331","","","","","    430.4"," ,C","     1151"," ,C","      2.42","C","      8.83","C","     -3.98","C"
