"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"CA003016852","2009","54.1333","-111.9167","645.0","VILNA AGCM, AB CA","     13.9","","      13.9","C","        69","C","       215","C","       104","C","        73","C","         0","C","  -44.0","C,0103, ","   31.5","C,0902, ","-0.6","C,0927","-4.1","C,0928","-4.5","C,1001","-7.6","C,1002","-9.4","C,1102","-2.1","C,0609","-4.5","C,0522","-4.5","C,0522","-7.5","C,0429","-12.6","C,0404","    6178.0","0","    6178.0","C","      0.64","C","      7.09","C","     -5.81","C"
"CA003016852","2010","54.1333","-111.9167","645.0","VILNA AGCM, AB CA","      9.1","","       9.1","C","        44","C","       193","C","       100","C","        62","C","         0","C","  -35.1","C,0101, ","   29.0","C,0518, ","-0.8","C,0916","-5.7","C,0917","-5.7","C,0917","-10.6","C,1027","-10.6","C,1027","-0.9","C,0609","-3.1","C,0511","-4.4","C,0510","-7.5","C,0326","-11.1","C,0325","    5564.3","3","    5564.3","C","      2.17","C","      7.85","C","     -3.51","C"
"CA003016852","2011","54.1333","-111.9167","645.0","VILNA AGCM, AB CA","     11.3","","      11.3","C","        55","C","       203","C","        96","C","        61","C","         0","C","  -37.5","C,0219, ","   31.9","C,0925, ","-0.9","C,0913","-3.8","C,0929","-6.0","C,1016","-6.8","C,1021","-12.9","C,1104","-1.5","C,0604","-3.4","C,0529","-6.3","C,0421","-9.0","C,0418","-9.0","C,0418","    6261.8","8","    6261.8","C","      1.90","C","      7.95","C","     -4.15","C"
"CA003016852","2012","54.1333","-111.9167","645.0","VILNA AGCM, AB CA","     37.8","","      37.8","C","        47","C","       201","C","       108","C","        75","C","         0","C","  -37.4","C,0118, ","   30.5","C,0709, ","-0.1","C,0916","-4.0","C,1003","-5.0","C,1004","-10.1","C,1011","-10.1","C,1011","-0.4","C,0526","-2.9","C,0430","-8.4","C,0418","-8.4","C,0418","-9.9","C,0409","    5225.9","9","    5225.9","C","      2.01","C","      7.88","C","     -3.86","C"
"CA003016852","2013","54.1333","-111.9167","645.0","VILNA AGCM, AB CA","     15.3","","      15.3","C","        61","C","       196","C","       120","C","        79","C","         0","C","  -36.0","C,0131, ","   31.9","C,0702, ","-4.3","C,0919","-4.3","C,0919","-5.1","C,0927","-11.4","C,1027","-11.4","C,1027","-1.5","C,0511","-13.2","C,0501","-13.2","C,0501","-13.2","C,0501","-13.2","C,0501","    6066.0","0","    6066.0","C","      1.48","C","      7.57","C","     -4.61","C"
"CA003016852","2014","54.1333","-111.9167","645.0","VILNA AGCM, AB CA","     35.6","","      35.6","C","        64","C","       202","C","       115","C","        77","C","         0","C","  -41.2","C,0301, ","   30.0","C,0922, ","-1.0","C,0908","-4.8","C,0910","-4.8","C,0910","-8.2","C,0911","-14.4","C,1108","-1.0","C,0528","-4.7","C,0511","-4.7","C,0511","-6.9","C,0507","-9.7","C,0412","    6157.2","2","    6157.2","C","      1.45","C","      7.25","C","     -4.35","C"
"CA003016852","2015","54.1333","-111.9167","645.0","VILNA AGCM, AB CA","     42.9","","      42.9","C","        43","C","       207","C","        79","C","        86","C","         1","C","  -33.8","C,0104, ","   32.3","C,0709, ","-0.6","C,0823","-4.2","C,0922","-7.1","C,1005","-7.1","C,1005","-9.0","C,1116","-2.8","C,0529","-2.8","C,0529","-4.5","C,0508","-7.3","C,0404","-14.3","C,0323","    5607.7","7","    5607.7","C","      3.17","C","      9.38","C","     -3.03","C"
"CA003016852","2016","54.1333","-111.9167","645.0","VILNA AGCM, AB CA","","","","","        30","C","       187","C","","","","","","","  -35.0","C,0117, ","","","-0.7","C,0913","-4.2","C,1006","-7.4","C,1012","-7.4","C,1012","-11.2","C,1117","-0.5","C,0515","-3.3","C,0514","-5.2","C,0513","-7.3","C,0323","-11.4","C,0319","    4915.3","3","    4915.3"," ","","","","","     -1.72","C"
"CA003016852","2017","54.1333","-111.9167","645.0","VILNA AGCM, AB CA","","","","","        46","C","       196","C","","","","","","","  -38.6","C,1230, ","","","-0.4","C,0913","-3.2","C,0915","-4.8","C,1003","-8.3","C,1101","-12.1","C,1102","-0.8","C,0517","-3.0","C,0429","-6.9","C,0417","-6.9","C,0417","-9.9","C,0416","","","","","","","","","     -3.20","C"
"CA003016852","2020","54.1333","-111.9167","645.0","VILNA AGCM, AB CA","     18.6","","      18.6","C","        51","C","       196","C","       128","C","        57","C","         0","C","  -42.0","C,0115, ","   30.1","C,0728, ","-3.2","C,0916","-3.2","C,0916","-5.1","C,1014","-9.0","C,1016","-9.0","C,1016","-0.5","C,0516","-4.2","C,0513","-8.0","C,0416","-8.0","C,0416","-20.8","C,0413","","","","","      1.44","C","      7.07","C","     -4.20","C"
"CA003016852","2021","54.1333","-111.9167","645.0","VILNA AGCM, AB CA","     88.9","","      88.9","C","        54","C","       217","C","        86","C","        75","C","         5","C","  -45.7","C,1228, ","   35.1","C,0630, ","-2.7","C,0917","-2.7","C,0917","-6.8","C,1008","-6.8","C,1008","-10.1","C,1014","-2.7","C,0522","-2.7","C,0522","-9.1","C,0503","-9.1","C,0503","-9.1","C,0503","    5851.5","5","    5851.5","C","      2.05","C","      8.41","C","     -4.32","C"
