"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"CA003023971","1992","52.5167","-114.7333","1067.0","LOBSTICK AUBUCHON, AB CA","       117","C","        57","C","         3","C","        18","C","","","","","","","","","","","","","    90"," ,C,0914, ","  39.8"," ,C,0529, ","","","","","","","","","","","","","","","","","","","","","","","    567.5"," ,C","     1218"," ,C","","","",""
"CA003023971","1994","52.5167","-114.7333","1067.0","LOBSTICK AUBUCHON, AB CA","","","","","","","        20","C","","","","","","","","","","","","","    85"," ,C,0113, ","","","","","","","","","","","","","","","","","","","","","","","","","","","     1444"," ,C","","","",""
"CA003023971","1995","52.5167","-114.7333","1067.0","LOBSTICK AUBUCHON, AB CA","","","","","","","        15","C","","","","","","","","","","","","","   104"," ,C,1108, ","","","","","","","","","","","","","","","","","","","","","","","","","","","     1154"," ,C","","","",""
"CA003023971","1996","52.5167","-114.7333","1067.0","LOBSTICK AUBUCHON, AB CA","       134","C","        60","C","         2","C","        24","C","        61","C","       199","C","","","","","","","  -38.0","C,0118, ","   146"," ,C,1108, ","  30.9"," ,C,0703, ","","","-1.0","C,0921","-3.0","C,0923","-7.0","C,1017","-7.0","C,1017","-15.0","C,1029","0.0","C,0512","-3.0","C,0510","-7.5","C,0509","-7.5","C,0509","-9.0","C,0508","    640.5"," ,C","     1930"," ,C","","","     -4.08","C"
"CA003023971","1997","52.5167","-114.7333","1067.0","LOBSTICK AUBUCHON, AB CA","","","","","","","        18","C","","","","","","","","","","","","","   316"," ,C,0520, ","","","","","","","","","","","","","","","","","","","","","","","","","","","     1809"," ,C","","","",""
"CA003023971","1999","52.5167","-114.7333","1067.0","LOBSTICK AUBUCHON, AB CA","       109","C","        56","C","         3","C","        21","C","","","","","","","","","","","","","   130"," ,C,0303, ","  56.2"," ,C,0707, ","","","","","","","","","","","","","","","","","","","","","","","    587.3"," ,C","     1346"," ,C","","","",""
"CA003023971","2000","52.5167","-114.7333","1067.0","LOBSTICK AUBUCHON, AB CA","","","","","","","        16","C","","","","","","","","","","","","","   117"," ,C,0412, ","","","","","","","","","","","","","","","","","","","","","","","","","    655.8"," ,C","     1068"," ,C","","","",""
"CA003023971","2002","52.5167","-114.7333","1067.0","LOBSTICK AUBUCHON, AB CA","       113","C","        54","C","         1","C","        27","C","","","","","","","","","","","","","   182"," ,C,0514, ","  29.0"," ,C,0708, ","","","","","","","","","","","","","","","","","","","","","","","    473.4"," ,C","     2247"," ,C","","","",""
"CA003023971","2003","52.5167","-114.7333","1067.0","LOBSTICK AUBUCHON, AB CA","","","","","","","","","","","","","        71","C","        81","C","         0","C","","","","","","","   32.0","C,0722, ","","","","","","","","","","","","","","","","","","","","","","","","","     10.02","C","",""
"CA003023971","2005","52.5167","-114.7333","1067.0","LOBSTICK AUBUCHON, AB CA","       120","C","        58","C","         5","C","        12","C","","","","","","","","","","","","","   233"," ,C,0204, ","  39.3"," ,C,0909, ","","","","","","","","","","","","","","","","","","","","","","","    640.4"," ,C","     1195"," ,C","","","",""
