"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"CA003034479","2011","50.0167","-110.7167","717.0","MEDICINE HAT, AB CA","","","","","        73","C","        26","C","         0","C","","","","","        53","C","       100","C","        17","C","","","  15.4"," ,C,0402, ","   36.6","C,0718, ","","","","","","","","","","","","","","","","","","","","","","","","","    217.7"," ,C","","","     12.21","C","","","","","",""
"CA003034479","2013","50.0167","-110.7167","717.0","MEDICINE HAT, AB CA","    218.4","","     218.4","C","        80","C","        30","C","         1","C","        22","C","       182","C","        49","C","       121","C","        14","C","  -35.6","C,1206, ","  42.3"," ,C,0918, ","   36.6","C,0902, ","-0.7","C,0927","-2.3","C,1004","-5.9","C,1027","-7.9","C,1028","-10.8","C,1029","-0.8","C,0504","-7.6","C,0501","-7.6","C,0501","-7.6","C,0501","-9.5","C,0422","    4492.7","7","    4492.7","C","    286.2"," ,C","      6.25","C","     13.00","C","     -0.50","C","","","",""
"CA003034479","2015","50.0167","-110.7167","717.0","MEDICINE HAT, AB CA","","","","","        70","C","        23","C","         0","C","","","","","","","","","","","","","  16.4"," ,C,1003, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    205.0"," ,C","","","","","","","","","",""
"CA003034479","2016","50.0167","-110.7167","717.0","MEDICINE HAT, AB CA","    140.6","","     140.6","C","","","","","","","        20","C","       154","C","        43","C","       124","C","        10","C","  -30.3","C,1216, ","","","   35.3","C,0730, ","-1.1","C,0913","-4.1","C,1006","-6.8","C,1007","-6.8","C,1007","-9.1","C,1122","-3.6","C,0514","-3.6","C,0514","-4.7","C,0411","-8.0","C,0323","-11.0","C,0319","    3996.5","5","    3996.5","C","","","      7.43","C","     14.16","C","      0.70","C","         3","C","     109.0","C"
"CA003034479","2017","50.0167","-110.7167","717.0","MEDICINE HAT, AB CA","    240.2","","     240.2","C","        62","C","        28","C","         0","C","        30","C","       156","C","        63","C","       129","C","        27","C","  -38.2","C,1231, ","  20.4"," ,C,0613, ","   36.4","C,0715, ","-0.1","C,0924","-5.4","C,1003","-5.4","C,1003","-7.2","C,1014","-10.5","C,1103","-2.5","C,0429","-2.5","C,0429","-4.7","C,0417","-10.6","C,0314","-10.6","C,0314","    4343.8","8","    4343.8","C","    229.2"," ,C","      6.41","C","     13.26","C","     -0.44","C","        22","C","     104.0","C"
"CA003034479","2018","50.0167","-110.7167","717.0","MEDICINE HAT, AB CA","    191.4","","     191.4","C","        61","C","        20","C","         0","C","        38","C","       182","C","        74","C","       118","C","        20","C","  -36.4","C,0101, ","  19.7"," ,C,0601, ","   40.1","C,0810, ","-2.7","C,0928","-2.7","C,0928","-5.7","C,1022","-11.3","C,1106","-11.3","C,1106","-0.8","C,0512","-2.5","C,0423","-9.1","C,0409","-9.1","C,0409","-9.1","C,0409","    4925.6","6","    4925.6","C","    168.2"," ,C","      5.18","C","     11.97","C","     -1.61","C","","","",""
"CA003034479","2019","50.0167","-110.7167","717.0","MEDICINE HAT, AB CA","    137.4","","     137.4","C","        64","C","        20","C","         1","C","        43","C","       192","C","        75","C","       108","C","        10","C","  -38.0","C,0302, ","  29.9"," ,C,0627, ","   36.6","C,0723, ","-0.6","C,0928","-6.9","C,1001","-6.9","C,1001","-6.9","C,1001","-9.6","C,1010","-0.1","C,0520","-4.9","C,0501","-4.9","C,0501","-7.4","C,0317","-11.1","C,0314","    4971.5","5","    4971.5","C","    190.8"," ,C","      4.39","C","     10.97","C","     -2.19","C","","","",""
"CA003034479","2020","50.0167","-110.7167","717.0","MEDICINE HAT, AB CA","    176.2","","     176.2","C","","","","","","","        18","C","       179","C","        59","C","       122","C","        14","C","  -30.5","C,0115, ","","","   37.3","C,0817, ","-0.5","C,1001","-5.8","C,1017","-5.8","C,1017","-8.4","C,1018","-17.5","C,1022","-2.8","C,0514","-2.8","C,0514","-5.5","C,0416","-10.9","C,0413","-10.9","C,0413","    4830.0","0","    4830.0","C","","","      6.17","C","     12.50","C","     -0.16","C","","","",""
"CA003034479","2021","50.0167","-110.7167","717.0","MEDICINE HAT, AB CA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    4394.3","3","    4394.3"," ","","","","","","","","","","","",""
"CA003034479","2022","50.0167","-110.7167","717.0","MEDICINE HAT, AB CA","    287.4","","     287.4","C","        58","C","        30","C","         0","C","        48","C","       169","C","        73","C","       128","C","        30","C","  -37.7","C,1223, ","  21.0"," ,C,0620, ","   38.3","C,0903, ","-1.5","C,0921","-5.4","C,1024","-5.4","C,1024","-13.6","C,1103","-13.6","C,1103","-1.5","C,0522","-4.2","C,0424","-5.3","C,0421","-6.9","C,0418","-10.2","C,0416","","","","","    241.4"," ,C","      5.93","C","     12.75","C","     -0.89","C","","","",""
