"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"CA004011095","1966","51.6333","-102.3833","482.0","CANORA, SK CA","","","","","        84","C","        56","C","         2","C","        28","C","","","","","","","","","","","","","   152"," ,C,0317, ","  43.2"," ,C,0806, ","","","","","","","","","","","","","","","","","","","","","","","    463.9"," ,C","     1826"," ,C","","","","","",""
"CA004011095","1967","51.6333","-102.3833","482.0","CANORA, SK CA","     70.9","","      70.9","C","        68","C","        42","C","         0","C","        27","C","        89","C","       223","C","       133","C","       108","C","         8","C","  -44.4","C,0217, ","   127"," ,C,1217, ","  21.8"," ,C,1003, ","   35.0","C,0905, ","-2.2","C,0921","-2.2","C,0921","-4.4","C,0927","-6.7","C,1018","-10.0","C,1025","0.0","C,0703","-3.9","C,0519","-5.0","C,0511","-6.7","C,0503","-11.1","C,0423","    317.9"," ,C","     1485"," ,C","      0.12","C","      6.67","C","     -6.42","C"
"CA004011095","1969","51.6333","-102.3833","482.0","CANORA, SK CA","","","","","        98","C","        53","C","         3","C","        17","C","","","","","","","","","","","","","   216"," ,C,0126, ","  38.1"," ,C,0725, ","","","","","","","","","","","","","","","","","","","","","","","    501.0"," ,C","     1069"," ,C","","","","","",""
"CA004011095","1970","51.6333","-102.3833","482.0","CANORA, SK CA","","","","","        92","C","        60","C","         2","C","        26","C","","","","","","","","","","","","","   216"," ,C,0307, ","  58.2"," ,C,0609, ","","","","","","","","","","","","","","","","","","","","","","","    565.5"," ,C","     1987"," ,C","","","","","",""
"CA004011095","1971","51.6333","-102.3833","482.0","CANORA, SK CA","","","","","        84","C","        45","C","         5","C","        17","C","","","","","","","","","","","","","   203"," ,C,0225, ","  37.1"," ,C,1018, ","","","","","","","","","","","","","","","","","","","","","","","    457.6"," ,C","     1209"," ,C","","","","","",""
"CA004011095","1973","51.6333","-102.3833","482.0","CANORA, SK CA","","","","","       102","C","        57","C","         1","C","        18","C","","","","","","","","","","","","","   279"," ,C,1113, ","  27.9"," ,C,1113, ","","","","","","","","","","","","","","","","","","","","","","","    484.5"," ,C","     1367"," ,C","","","","","",""
"CA004011095","1976","51.6333","-102.3833","482.0","CANORA, SK CA","","","","","        92","C","        50","C","         2","C","        25","C","","","","","","","","","","","","","   137"," ,C,0323, ","  38.4"," ,C,0612, ","","","","","","","","","","","","","","","","","","","","","","","    445.3"," ,C","     1541"," ,C","","","","","",""
"CA004011095","1977","51.6333","-102.3833","482.0","CANORA, SK CA","","","","","       107","C","        60","C","         1","C","        15","C","","","","","","","","","","","","","   127"," ,C,0313, ","  25.9"," ,C,0503, ","","","","","","","","","","","","","","","","","","","","","","","    429.6"," ,C","      924"," ,C","","","","","",""
"CA004011095","1978","51.6333","-102.3833","482.0","CANORA, SK CA","","","","","        88","C","        43","C","         2","C","        11","C","","","","","","","","","","","","","    76"," ,C,0105, ","  33.8"," ,C,0622, ","","","","","","","","","","","","","","","","","","","","","","","    411.5"," ,C","      736"," ,C","","","","","",""
"CA004011095","1979","51.6333","-102.3833","482.0","CANORA, SK CA","","","","","        87","C","        39","C","         2","C","        20","C","","","","","","","","","","","","","   254"," ,C,0324, ","  30.0"," ,C,0910, ","","","","","","","","","","","","","","","","","","","","","","","    336.7"," ,C","     1639"," ,C","","","","","",""
"CA004011095","1981","51.6333","-102.3833","482.0","CANORA, SK CA","","","","","       104","C","        32","C","         3","C","         2","C","","","","","","","","","","","","","    46"," ,C,0418, ","  54.6"," ,C,0613, ","","","","","","","","","","","","","","","","","","","","","","","    473.8"," ,C","      320"," ,C","","","","","",""
"CA004011095","1982","51.6333","-102.3833","482.0","CANORA, SK CA","","","","","       121","C","        41","C","         1","C","        10","C","","","","","","","","","","","","","    90"," ,C,1222,+"," 124.0"," ,C,0716, ","","","","","","","","","","","","","","","","","","","","","","","    478.0"," ,C","      778"," ,C","","","","","",""
"CA004011095","1983","51.6333","-102.3833","482.0","CANORA, SK CA","","","","","       124","C","        47","C","         0","C","        21","C","","","","","","","","","","","","","   250"," ,C,0512, ","  25.0"," ,C,0512, ","","","","","","","","","","","","","","","","","","","","","","","    436.4"," ,C","     1554"," ,C","","","","","",""
