"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"CA005021737","1965","49.45","-98.25","297.0","MIAMI THIESSEN, MB CA","","","","","        95","C","        56","C","         2","C","","","        16","C","","","","","","","","","","","","","","","   224"," ,C,1230, ","  43.7"," ,C,0826, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    583.1"," ,C","     1342"," ,C","","","","","",""
"CA005021737","1966","49.45","-98.25","297.0","MIAMI THIESSEN, MB CA","","","","","        82","C","        38","C","         2","C","","","        12","C","","","","","","","","","","","","","","","   239"," ,C,0427, ","  53.8"," ,C,0702, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    398.4"," ,C","     1317"," ,C","","","","","",""
"CA005021737","1967","49.45","-98.25","297.0","MIAMI THIESSEN, MB CA","","","","","        75","C","        36","C","         5","C","","","        19","C","","","","","","","","","","","","","","","   183"," ,C,0128, ","  57.2"," ,C,0706, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    477.7"," ,C","     1471"," ,C","","","","","",""
"CA005021737","1968","49.45","-98.25","297.0","MIAMI THIESSEN, MB CA","","","","","","","","","","","","","        10","C","","","","","","","","","","","","","","","   259"," ,C,0402, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","     1125"," ,C","","","","","",""
"CA005021737","1969","49.45","-98.25","297.0","MIAMI THIESSEN, MB CA","","","","","        94","C","        52","C","         1","C","","","        18","C","","","","","","","","","","","","","","","   140"," ,C,0226, ","  42.4"," ,C,0625, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    504.9"," ,C","     1373"," ,C","","","","","",""
"CA005021737","1970","49.45","-98.25","297.0","MIAMI THIESSEN, MB CA","","","","","        97","C","        58","C","         0","C","","","        22","C","","","","","","","","","","","","","","","   150"," ,C,0307, ","  24.1"," ,C,0713, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    521.4"," ,C","     1908"," ,C","","","","","",""
"CA005021737","1971","49.45","-98.25","297.0","MIAMI THIESSEN, MB CA","","","","","       105","C","        53","C","         8","C","","","        12","C","","","","","","","","","","","","","","","   254"," ,C,1030, ","  46.5"," ,C,0611, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    663.7"," ,C","     1138"," ,C","","","","","",""
"CA005021737","1972","49.45","-98.25","297.0","MIAMI THIESSEN, MB CA","","","","","       108","C","        53","C","         3","C","","","        21","C","","","","","","","","","","","","","","","   137"," ,C,1026, ","  31.2"," ,C,0718, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    471.2"," ,C","     1446"," ,C","","","","","",""
"CA005021737","1973","49.45","-98.25","297.0","MIAMI THIESSEN, MB CA","","","","","       102","C","        50","C","         3","C","","","        10","C","","","","","","","","","","","","","","","   122"," ,C,1119, ","  34.8"," ,C,0726, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    541.9"," ,C","      725"," ,C","","","","","",""
"CA005021737","1974","49.45","-98.25","297.0","MIAMI THIESSEN, MB CA","","","","","       104","C","        48","C","         3","C","","","        14","C","","","","","","","","","","","","","","","   216"," ,C,0227, ","  48.3"," ,C,0420, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    497.8"," ,C","     1311"," ,C","","","","","",""
