"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"CA006102417","1872","45.4667","-76.2167","74.0","FITZROY HARBOUR, ON CA","       108","C","        77","C","         3","C","        27","C","","","","","","","   254"," ,C,0401, ","  34.8"," ,C,0611, ","","","","","","","","","","","","","","","","","","","","","    725.3"," ,C","     2091"," ,C","",""
"CA006102417","1873","45.4667","-76.2167","74.0","FITZROY HARBOUR, ON CA","       130","C","        85","C","         1","C","        34","C","","","","","","","   178"," ,C,0327, ","  31.8"," ,C,0801, ","","","","","","","","","","","","","","","","","","","","","    748.2"," ,C","     1990"," ,C","",""
"CA006102417","1874","45.4667","-76.2167","74.0","FITZROY HARBOUR, ON CA","       116","C","        73","C","         1","C","        24","C","","","","","","","   229"," ,C,0223, ","  25.4"," ,C,0106, ","","","","","","","","","","","","","","","","","","","","","    544.9"," ,C","     2156"," ,C","",""
"CA006102417","1875","45.4667","-76.2167","74.0","FITZROY HARBOUR, ON CA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    609.1"," ,C","     2172"," ,C","",""
"CA006102417","1876","45.4667","-76.2167","74.0","FITZROY HARBOUR, ON CA","","","","","","","        34","C","","","","","","","   236"," ,C,0119, ","","","","","","","","","","","","","","","","","","","","","","","","","     2467"," ,C","",""
"CA006102417","1877","45.4667","-76.2167","74.0","FITZROY HARBOUR, ON CA","       101","C","        73","C","         3","C","        15","C","","","","","","","   152"," ,C,0117, ","  31.0"," ,C,0816, ","","","","","","","","","","","","","","","","","","","","","    604.9"," ,C","      964"," ,C","",""
"CA006102417","1879","45.4667","-76.2167","74.0","FITZROY HARBOUR, ON CA","       110","C","        79","C","         2","C","        33","C","","","","","","","   229"," ,C,0212, ","  37.1"," ,C,0626, ","","","","","","","","","","","","","","","","","","","","","    635.5"," ,C","     1813"," ,C","",""
"CA006102417","1880","45.4667","-76.2167","74.0","FITZROY HARBOUR, ON CA","       110","C","        69","C","         2","C","        17","C","","","","","","","   102"," ,C,1202,+","  40.9"," ,C,0720, ","","","","","","","","","","","","","","","","","","","","","    659.9"," ,C","     1174"," ,C","",""
"CA006102417","1881","45.4667","-76.2167","74.0","FITZROY HARBOUR, ON CA","       103","C","        67","C","         5","C","        12","C","","","","","","","   102"," ,C,0305,+","  37.3"," ,C,1018, ","","","","","","","","","","","","","","","","","","","","","    702.0"," ,C","      683"," ,C","",""
"CA006102417","1882","45.4667","-76.2167","74.0","FITZROY HARBOUR, ON CA","       109","C","        76","C","         1","C","        26","C","","","","","","","   203"," ,C,0310, ","  35.1"," ,C,0728, ","","","","","","","","","","","","","","","","","","","","","    660.6"," ,C","     1707"," ,C","",""
"CA006102417","1883","45.4667","-76.2167","74.0","FITZROY HARBOUR, ON CA","       105","C","        74","C","         2","C","        30","C","        67","C","       182","C","  -36.7","C,0210, ","   152"," ,C,0320,+","  29.2"," ,C,1010, ","-1.1","C,0910","-5.6","C,1005","-5.6","C,1005","-6.7","C,1016","-18.9","C,1115","-1.7","C,0517","-3.3","C,0514","-6.7","C,0429","-6.7","C,0429","-16.1","C,0402","    664.5"," ,C","     1860"," ,C","     -2.85","C"
"CA006102417","1885","45.4667","-76.2167","74.0","FITZROY HARBOUR, ON CA","","","","","","","        19","C","","","","","","","   305"," ,C,0402, ","","","","","","","","","","","","","","","","","","","","","","","","","     2047"," ,C","",""
