"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"CA00611E001","2001","44.2333","-79.7833","251.0","EGBERT CS, ON CA","    281.1","","     281.1","C","","","","","","","         4","C","       135","C","        42","C","       116","C","        12","C","  -23.7","C,0120, ","","","   37.5","C,0808, ","-1.8","C,1007","-3.4","C,1008","-5.7","C,1208","-8.2","C,1215","-9.7","C,1216","-2.5","C,0429","-2.5","C,0429","-6.6","C,0327","-12.3","C,0326","-12.3","C,0326","","","","","","","      8.62","C","     13.84","C","      3.40","C","","","",""
"CA00611E001","2002","44.2333","-79.7833","251.0","EGBERT CS, ON CA","    231.0","","     231.0","C","       118","C","        51","C","         2","C","         6","C","       161","C","        53","C","       109","C","         9","C","  -23.8","C,1203, ","  39.4"," ,C,0614, ","   34.0","C,0812, ","-0.5","C,1014","-2.8","C,1024","-5.2","C,1025","-9.7","C,1107","-9.7","C,1107","-1.2","C,0525","-5.6","C,0427","-5.6","C,0427","-8.0","C,0407","-14.5","C,0325","    3907.1","1","    3907.1","C","    582.4"," ,C","      7.39","C","     12.43","C","      2.35","C","","","",""
"CA00611E001","2003","44.2333","-79.7833","251.0","EGBERT CS, ON CA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    4616.5","5","    4616.5","C","","","","","","","","","","","",""
"CA00611E001","2005","44.2333","-79.7833","251.0","EGBERT CS, ON CA","    293.8","","     293.8","C","","","","","","","        18","C","       154","C","        79","C","       124","C","         9","C","  -28.7","C,0121,+","","","   34.1","C,0713, ","-1.8","C,1009","-2.7","C,1021","-5.1","C,1117","-7.6","C,1118","-8.9","C,1122","-0.6","C,0518","-2.7","C,0422","-6.6","C,0327","-9.9","C,0326","-9.9","C,0326","    4434.6","6","    4434.6","C","","","      7.14","C","     12.63","C","      1.64","C","","","",""
"CA00611E001","2006","44.2333","-79.7833","251.0","EGBERT CS, ON CA","    208.1","","     208.1","C","","","","","","","         6","C","       138","C","        42","C","       106","C","         8","C","  -21.5","C,0227, ","","","   36.4","C,0801, ","-0.2","C,1005","-2.2","C,1006","-4.7","C,1121","-6.8","C,1204","-18.1","C,1207","-3.6","C,0507","-3.6","C,0507","-5.4","C,0409","-10.5","C,0321","-10.5","C,0321","    3877.1","1","    3877.1","C","","","      7.74","C","     12.77","C","      2.71","C","","","",""
"CA00611E001","2008","44.2333","-79.7833","251.0","EGBERT CS, ON CA","     95.2","","      95.2","C","       229","C","        77","C","         5","C","        11","C","       160","C","        82","C","        95","C","         0","C","  -26.2","C,0103, ","  64.1"," ,C,0805, ","   30.4","C,0707, ","-1.8","C,1007","-3.1","C,1019","-6.6","C,1102","-8.6","C,1117","-9.9","C,1118","-0.2","C,0528","-3.0","C,0501","-4.7","C,0415","-10.1","C,0330","-10.1","C,0330","    4304.2","2","    4304.2","C","    992.5"," ,C","      6.10","C","     11.20","C","      0.98","C","","","",""
"CA00611E001","2009","44.2333","-79.7833","251.0","EGBERT CS, ON CA","     81.2","","      81.2","C","","","","","","","        21","C","       156","C","        69","C","        87","C","         0","C","  -30.2","C,0114, ","","","   30.8","C,0624, ","-1.0","C,1011","-2.7","C,1012","-5.1","C,1018","-9.0","C,1210","-9.0","C,1210","-1.5","C,0518","-6.1","C,0413","-6.1","C,0413","-7.3","C,0324","-10.0","C,0323","    4609.8","8","    4609.8","C","","","      6.02","C","     11.28","C","      0.76","C","","","",""
"CA00611E001","2010","44.2333","-79.7833","251.0","EGBERT CS, ON CA","    234.3","","     234.3","C","       184","C","        66","C","         6","C","         7","C","       157","C","        72","C","       109","C","         5","C","  -25.8","C,0130, ","  44.1"," ,C,0709, ","   33.9","C,0708, ","-1.7","C,1004","-2.3","C,1013","-4.5","C,1101","-8.0","C,1204","-17.5","C,1208","-1.9","C,0511","-2.9","C,0423","-5.0","C,0330","-9.2","C,0327","-9.2","C,0327","    4135.6","6","    4135.6","C","    741.4"," ,C","      7.46","C","     12.49","C","      2.43","C","","","",""
"CA00611E001","2011","44.2333","-79.7833","251.0","EGBERT CS, ON CA","","","","","       143","C","        71","C","         3","C","","","","","        69","C","       110","C","         3","C","","","  60.3"," ,C,1129, ","   34.9","C,0721, ","","","","","","","","","","","","","","","","","","","","","","","","","    738.5"," ,C","","","     12.21","C","","","","","",""
"CA00611E001","2013","44.2333","-79.7833","251.0","EGBERT CS, ON CA","","","","","       125","C","        65","C","         5","C","","","","","        64","C","       108","C","         3","C","","","  42.4"," ,C,0628, ","   33.6","C,0719, ","","","","","","","","","","","","","","","","","","","","","","","","","    746.7"," ,C","","","     11.56","C","","","","","",""
"CA00611E001","2014","44.2333","-79.7833","251.0","EGBERT CS, ON CA","    104.5","","     104.5","C","       165","C","        67","C","         4","C","        33","C","       152","C","        83","C","       105","C","         0","C","  -31.5","C,0122, ","  43.0"," ,C,0624, ","   30.3","C,0905, ","-1.1","C,1012","-2.8","C,1101","-4.6","C,1102","-7.7","C,1117","-10.0","C,1118","-0.6","C,0507","-3.1","C,0424","-7.3","C,0415","-7.3","C,0415","-15.2","C,0327","","","","","    801.5"," ,C","      5.51","C","     10.57","C","      0.46","C","","","",""
"CA00611E001","2015","44.2333","-79.7833","251.0","EGBERT CS, ON CA","","","","","       161","C","        51","C","         2","C","        29","C","       141","C","","","","","","","  -29.3","C,0216, ","  45.0"," ,C,0622, ","","","-0.1","C,1002","-2.8","C,1017","-7.4","C,1122","-7.4","C,1122","-8.9","C,1123","-2.1","C,0523","-5.8","C,0425","-5.8","C,0425","-10.9","C,0329","-10.9","C,0329","","","","","    534.2"," ,C","","","","","      1.36","C","","","",""
"CA00611E001","2016","44.2333","-79.7833","251.0","EGBERT CS, ON CA","    253.6","","     253.6","C","       147","C","        74","C","         5","C","         9","C","       146","C","        53","C","       118","C","        10","C","  -32.1","C,0214, ","  47.7"," ,C,0813, ","   33.8","C,0811, ","-2.2","C,1010","-2.2","C,1010","-5.3","C,1122","-10.6","C,1209","-10.6","C,1209","-2.3","C,0510","-2.3","C,0510","-5.5","C,0413","-9.5","C,0410","-9.5","C,0410","    3676.0","0","    3676.0","C","    750.3"," ,C","      7.95","C","     13.40","C","      2.51","C","        34","C","      74.0","C"
"CA00611E001","2017","44.2333","-79.7833","251.0","EGBERT CS, ON CA","    155.9","","     155.9","C","       164","C","        86","C","         2","C","        13","C","       136","C","        62","C","       110","C","         1","C","  -28.4","C,1228, ","  31.5"," ,C,0623, ","   32.4","C,0924, ","-0.8","C,1026","-2.9","C,1108","-7.2","C,1109","-7.2","C,1109","-15.3","C,1110","-0.7","C,0508","-2.9","C,0423","-10.6","C,0323","-10.6","C,0323","-10.6","C,0323","    3783.3","3","    3783.3","C","    806.0"," ,C","      7.38","C","     12.31","C","      2.44","C","        25","C","      70.0","C"
"CA00611E001","2018","44.2333","-79.7833","251.0","EGBERT CS, ON CA","    284.1","","     284.1","C","       157","C","        84","C","         4","C","        15","C","       165","C","        68","C","       118","C","         9","C","  -28.8","C,0101, ","  47.1"," ,C,0526, ","   35.3","C,0630, ","-0.2","C,1014","-3.0","C,1030","-5.3","C,1113","-10.0","C,1114","-10.0","C,1114","-2.3","C,0430","-2.3","C,0430","-4.9","C,0415","-7.0","C,0409","-11.0","C,0405","    4308.3","3","    4308.3","C","    931.2"," ,C","      7.02","C","     11.98","C","      2.05","C","","","",""
"CA00611E001","2019","44.2333","-79.7833","251.0","EGBERT CS, ON CA","    158.9","","     158.9","C","       176","C","        69","C","         0","C","        17","C","       163","C","        67","C","        99","C","         3","C","  -23.9","C,0121, ","  24.0"," ,C,1031, ","   33.3","C,0720, ","-0.8","C,1005","-2.9","C,1019","-7.4","C,1107","-7.4","C,1107","-10.1","C,1108","-0.8","C,0511","-3.7","C,0429","-4.5","C,0404","-9.7","C,0401","-9.7","C,0401","    4505.4","4","    4505.4","C","    686.4"," ,C","      6.11","C","     11.29","C","      0.93","C","","","",""
"CA00611E001","2020","44.2333","-79.7833","251.0","EGBERT CS, ON CA","    249.8","","     249.8","C","       172","C","        80","C","         5","C","         7","C","       156","C","        40","C","       109","C","         3","C","  -26.1","C,0214, "," 148.9"," ,C,0802, ","   34.8","C,0709, ","-0.9","C,0919","-4.2","C,1030","-6.3","C,1031","-8.1","C,1117","-10.8","C,1208","-4.2","C,0513","-4.2","C,0513","-5.1","C,0509","-6.8","C,0423","-9.7","C,0322","    4251.0","0","    4251.0","C","    912.9"," ,C","      7.78","C","     12.77","C","      2.79","C","","","",""
"CA00611E001","2021","44.2333","-79.7833","251.0","EGBERT CS, ON CA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    3974.2","2","    3974.2","C","","","","","","","","","","","",""
"CA00611E001","2022","44.2333","-79.7833","251.0","EGBERT CS, ON CA","    183.6","","     183.6","C","       115","C","        59","C","         1","C","        23","C","       155","C","        67","C","       116","C","         2","C","  -28.8","C,0111, ","  29.8"," ,C,0803, ","   32.9","C,0621, ","-1.7","C,1003","-3.0","C,1028","-4.5","C,1114","-8.6","C,1120","-9.1","C,1210","-0.8","C,0508","-3.4","C,0430","-4.6","C,0428","-9.9","C,0330","-9.9","C,0330","","","","","    565.5"," ,C","      6.98","C","     12.52","C","      1.44","C","","","",""
"CA00611E001","2023","44.2333","-79.7833","251.0","EGBERT CS, ON CA","","","","","       165","C","        82","C","         3","C","","","","","","","","","","","","","  36.9"," ,C,0720, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    793.3"," ,C","","","","","","","","","",""
"CA00611E001","2024","44.2333","-79.7833","251.0","EGBERT CS, ON CA","","","","","       152","S","        71","S","         5","S","","","","","","","","","","","","","  43.9"," ,S,0711, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    791.3"," ,S","","","","","","","","","",""
