"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"CA00615N745","1971","43.4833","-79.6333","87.0","OAKVILLE SOUTHEAST WPCP, ON CA","","","","","       105","C","        67","C","         3","C","        11","C","","","","","","","","","","","","","   114"," ,C,0310, ","  46.7"," ,C,0810, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    636.8"," ,C","      770"," ,C","","","","","",""
"CA00615N745","1972","43.4833","-79.6333","87.0","OAKVILLE SOUTHEAST WPCP, ON CA","    155.0","","     155.0","C","       106","C","        79","C","         5","C","        14","C","         6","C","       157","C","        47","C","        84","C","         4","C","  -21.7","C,0116, ","   152"," ,C,0120, ","  41.4"," ,C,1212, ","   33.9","C,0722, ","-2.2","C,1010","-2.2","C,1010","-4.4","C,1019","-7.8","C,1115","-9.4","C,1123","-1.1","C,0430","-2.2","C,0428","-7.8","C,0409","-7.8","C,0409","-12.2","C,0408","","","","","    830.9"," ,C","      791"," ,C","      6.82","C","     11.54","C","      2.11","C"
"CA00615N745","1973","43.4833","-79.6333","87.0","OAKVILLE SOUTHEAST WPCP, ON CA","    288.7","","     288.7","C","       123","C","        77","C","         6","C","         9","C","         7","C","       117","C","        39","C","       112","C","        11","C","  -21.7","C,0217, ","   152"," ,C,1219, ","  39.9"," ,C,1029, ","   36.1","C,0828, ","-0.6","C,0921","-2.2","C,1106","-7.2","C,1110","-7.2","C,1110","-9.4","C,1214","-1.1","C,0425","-3.3","C,0415","-7.8","C,0414","-7.8","C,0414","-15.6","C,0228","    3977.9","9","    3977.9","C","    858.3"," ,C","      683"," ,C","      8.62","C","     13.31","C","      3.93","C"
"CA00615N745","1974","43.4833","-79.6333","87.0","OAKVILLE SOUTHEAST WPCP, ON CA","    172.9","","     172.9","C","       116","C","        70","C","         7","C","        10","C","         4","C","       140","C","        40","C","        94","C","         3","C","  -21.1","C,0205, ","   102"," ,C,0206, ","  55.9"," ,C,0516, ","   35.0","C,0709, ","-1.7","C,0923","-3.9","C,1003","-4.4","C,1018","-8.3","C,1126","-9.4","C,1204","-1.1","C,0509","-2.2","C,0508","-4.4","C,0420","-8.9","C,0327","-8.9","C,0327","    3912.0","0","    3912.0","C","    740.0"," ,C","      540"," ,C","      7.74","C","     12.46","C","      3.01","C"
"CA00615N745","1975","43.4833","-79.6333","87.0","OAKVILLE SOUTHEAST WPCP, ON CA","    222.9","","     222.9","C","       123","C","        84","C","         5","C","        15","C","         6","C","       138","C","        46","C","       105","C","         3","C","  -20.6","C,1224,+","   152"," ,C,1220, ","  54.1"," ,C,0823, ","   34.4","C,0731, ","-1.1","C,1027","-3.3","C,1030","-6.7","C,1031","-6.7","C,1031","-10.6","C,1204","-1.1","C,0423","-3.9","C,0422","-5.6","C,0414","-6.7","C,0412","-10.0","C,0327","    3822.5","5","    3822.5","C","    830.0"," ,C","      938"," ,C","      8.61","C","     13.12","C","      4.10","C"
"CA00615N745","1976","43.4833","-79.6333","87.0","OAKVILLE SOUTHEAST WPCP, ON CA","    160.5","","     160.5","C","       110","C","        73","C","         5","C","        12","C","        13","C","       149","C","        51","C","        94","C","         2","C","  -30.0","C,0123, ","   183"," ,C,0123, ","  97.8"," ,C,0917, ","   32.8","C,0610, ","-0.6","C,1011","-2.2","C,1018","-5.0","C,1027","-6.7","C,1108","-8.9","C,1129","-0.6","C,0508","-7.2","C,0412","-7.2","C,0412","-7.2","C,0412","-10.0","C,0322","    3783.3","3","    3783.3","C","    804.3"," ,C","     1166"," ,C","      7.34","C","     12.26","C","      2.43","C"
"CA00615N745","1977","43.4833","-79.6333","87.0","OAKVILLE SOUTHEAST WPCP, ON CA","    144.5","","     144.5","C","       117","C","        80","C","         8","C","        11","C","        14","C","       143","C","        60","C","       102","C","         4","C","  -28.3","C,0118, ","   152"," ,C,0110,+","  70.6"," ,C,0924, ","   35.6","C,0720, ","0.0","C,1013","-3.3","C,1112","-5.6","C,1113","-6.7","C,1114","-10.0","C,1127","0.0","C,0509","-2.2","C,0429","-5.0","C,0410","-10.0","C,0409","-10.0","C,0409","    4333.3","3","    4333.3","C","   1013.2"," ,C","      974"," ,C","      7.25","C","     12.43","C","      2.06","C"
"CA00615N745","1978","43.4833","-79.6333","87.0","OAKVILLE SOUTHEAST WPCP, ON CA","","","","","        94","C","        69","C","         1","C","        11","C","","","","","","","","","","","","","   152"," ,C,0120, ","  28.0"," ,C,0914, ","","","","","","","","","","","","","","","","","","","","","","","    4348.8","8","    4348.8","C","    662.2"," ,C","      658"," ,C","","","","","",""
"CA00615N745","1980","43.4833","-79.6333","87.0","OAKVILLE SOUTHEAST WPCP, ON CA","","","","","       108","C","        65","C","         1","C","         5","C","","","","","        58","C","       101","C","         2","C","","","   140"," ,C,0308, ","  35.0"," ,C,0414, ","   32.5","C,0719,+","","","","","","","","","","","","","","","","","","","","","","","","","    739.4"," ,C","      388"," ,C","","","     11.68","C","",""
"CA00615N745","1981","43.4833","-79.6333","87.0","OAKVILLE SOUTHEAST WPCP, ON CA","    209.6","","     209.6","C","       120","C","        78","C","         1","C","         6","C","         8","C","       128","C","        49","C","        92","C","         5","C","  -29.0","C,0104, ","    50"," ,C,1220, ","  32.8"," ,C,0728, ","   34.5","C,0708, ","-1.0","C,1017","-6.0","C,1110","-6.0","C,1110","-7.0","C,1209","-10.0","C,1218","-5.5","C,0421","-5.5","C,0421","-5.5","C,0421","-10.5","C,0321","-10.5","C,0321","    3961.0","0","    3961.0","C","    777.6"," ,C","      260"," ,C","      7.96","C","     12.22","C","      3.71","C"
