"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"CA00615S001","1995","43.7833","-79.4667","187.0","TORONTO NORTH YORK, ON CA","    322.0","","     322.0","C","       128","C","        74","C","        11","C","       55","","        16","C","         5","C","       148","C","        67","C","       110","C","         6","C","  -23.4","C,0206, ","   180"," ,C,1214, ","   104"," ,C,1213, ","  60.6"," ,C,1005, ","   36.0","C,0714, ","-2.0","C,1017","-3.0","C,1106","-5.5","C,1109","-9.0","C,1124","-9.0","C,1124","-0.5","C,0430","-2.5","C,0417","-4.5","C,0410","-9.5","C,0405","-9.5","C,0405","","","","","    942.6"," ,C","     1124"," ,C","      7.80","C","     12.45","C","      3.16","C"
"CA00615S001","1996","43.7833","-79.4667","187.0","TORONTO NORTH YORK, ON CA","    216.4","","     216.4","C","       165","C","        83","C","         4","C","       44","","        15","C","        11","C","       153","C","        57","C","       107","C","         0","C","  -23.5","C,0106, ","   150"," ,C,0114,+","   118"," ,C,0304, ","  68.0"," ,C,0907, ","   31.5","C,0630, ","-1.5","C,1004","-3.5","C,1015","-4.5","C,1112","-7.0","C,1113","-10.0","C,1115","-0.5","C,0513","-4.5","C,0428","-4.5","C,0428","-8.5","C,0328","-11.5","C,0327","    4379.9","9","    4379.9","C","   1018.9"," ,C","     1226"," ,C","      7.35","C","     11.88","C","      2.82","C"
"CA00615S001","1997","43.7833","-79.4667","187.0","TORONTO NORTH YORK, ON CA","    194.2","","     194.2","C","       147","C","        76","C","         1","C","       73","","        21","C","         6","C","       157","C","        51","C","       104","C","         2","C","  -25.0","C,0118, ","   230"," ,C,0217, ","   182"," ,C,1113, ","  26.2"," ,C,0820, ","   33.5","C,0714, ","0.0","C,1002","-3.0","C,1026","-7.5","C,1113","-7.5","C,1113","-11.5","C,1221","-1.0","C,0518","-4.0","C,0415","-6.5","C,0410","-10.0","C,0409","-10.0","C,0409","    4095.9","9","    4095.9","C","    736.3"," ,C","     1742"," ,C","      7.61","C","     12.40","C","      2.81","C"
"CA00615S001","1998","43.7833","-79.4667","187.0","TORONTO NORTH YORK, ON CA","    349.4","","     349.4","C","       118","C","        65","C","         7","C","       35","","         9","C","         1","C","       121","C","        29","C","       132","C","         5","C","  -18.0","C,1230, ","   210"," ,C,0322, ","   172"," ,C,0321, ","  38.2"," ,C,1206, ","   33.5","C,0715, ","-0.5","C,1030","-3.5","C,1104","-5.0","C,1118","-7.0","C,1214","-10.0","C,1218","-1.5","C,0428","-2.5","C,0407","-7.0","C,0325","-7.0","C,0325","-9.5","C,0324","    3550.8","8","    3550.8","C","    718.9"," ,C","      738"," ,C","     10.12","C","     15.11","C","      5.13","C"
"CA00615S001","1999","43.7833","-79.4667","187.0","TORONTO NORTH YORK, ON CA","    367.9","","     367.9","C","       112","C","        64","C","         5","C","       58","","        12","C","         5","C","       132","C","        46","C","       128","C","        13","C","  -26.0","C,0114, ","   520"," ,C,0115, ","   330"," ,C,0102, ","  60.2"," ,C,0929, ","   35.0","C,0724,+","-4.0","C,1007","-4.0","C,1007","-4.5","C,1116","-7.0","C,1130","-10.0","C,1201","-2.0","C,0425","-2.5","C,0405","-4.5","C,0325","-9.0","C,0313","-9.0","C,0313","    3587.4","4","    3587.4","C","    754.6"," ,C","     1286"," ,C","      9.22","C","     14.26","C","      4.18","C"
"CA00615S001","2000","43.7833","-79.4667","187.0","TORONTO NORTH YORK, ON CA","    209.5","","     209.5","C","       143","C","        80","C","         8","C","       62","","        19","C","        10","C","       139","C","        62","C","       112","C","         0","C","  -24.0","C,0122, ","   290"," ,C,1214,+","   284"," ,C,1211, ","  71.0"," ,C,0512, ","   31.5","C,0610, ","-0.5","C,0929","-4.0","C,1106","-6.0","C,1122","-12.5","C,1123","-12.5","C,1123","0.0","C,0503","-5.5","C,0413","-5.5","C,0413","-7.0","C,0317","-10.5","C,0219","    3686.1","1","    3686.1","C","    970.2"," ,C","     1582"," ,C","      8.03","C","     12.85","C","      3.20","C"
"CA00615S001","2001","43.7833","-79.4667","187.0","TORONTO NORTH YORK, ON CA","    299.5","","     299.5","C","       132","C","        76","C","         3","C","       79","","        10","C","         2","C","       135","C","        45","C","       117","C","         9","C","  -19.0","C,0102, ","   290"," ,C,0209, ","   222"," ,C,0305, ","  38.6"," ,C,0522, ","   37.5","C,0808, ","-3.5","C,1008","-3.5","C,1008","-5.0","C,1208","-7.5","C,1222","","","-1.0","C,0429","-5.5","C,0419","-5.5","C,0419","-9.5","C,0326","-9.5","C,0326","    3981.5","5","    3981.5","C","    789.6"," ,C","     1140"," ,C","      9.25","C","     14.06","C","      4.45","C"
"CA00615S001","2002","43.7833","-79.4667","187.0","TORONTO NORTH YORK, ON CA","    425.7","","     425.7","C","       132","C","        76","C","         5","C","       40","","        15","C","         0","C","       149","C","        35","C","       120","C","        17","C","  -17.0","C,1203, ","   190"," ,C,0201, ","   188"," ,C,0131, ","  51.2"," ,C,0726, ","   35.0","C,0702, ","0.0","C,1014","-5.5","C,1024","-5.5","C,1024","-7.5","C,1107","-10.0","C,1201","-0.5","C,0522","-4.5","C,0427","-4.5","C,0427","-8.5","C,0407","-12.0","C,0325","    3521.2","2","    3521.2","C","    774.0"," ,C","     1316"," ,C","      9.04","C","     13.86","C","      4.22","C"
"CA00615S001","2003","43.7833","-79.4667","187.0","TORONTO NORTH YORK, ON CA","    259.8","","     259.8","C","       144","C","        76","C","         8","C","       83","","        14","C","        14","C","       144","C","        63","C","       112","C","         4","C","  -25.5","C,0303,+","   270"," ,C,0306, ","   122"," ,C,0304, ","  42.8"," ,C,0919, ","   34.5","C,0625, ","-1.5","C,1003","-7.5","C,1108","-7.5","C,1108","-7.5","C,1108","-11.5","C,1203","0.0","C,0504","-2.5","C,0424","-5.5","C,0410","-9.5","C,0406","-9.5","C,0406","    4184.7","7","    4184.7","C","    964.3"," ,C","     1242"," ,C","      7.71","C","     12.65","C","      2.76","C"
"CA00615S001","2004","43.7833","-79.4667","187.0","TORONTO NORTH YORK, ON CA","    176.2","","     176.2","C","       153","C","        83","C","         2","C","       62","","        15","C","        14","C","       133","C","        57","C","       111","C","         0","C","  -26.0","C,1220, ","   240"," ,C,0128, ","   180"," ,C,1222, ","  53.8"," ,C,0720, ","   31.5","C,0609,+","-0.5","C,1005","-5.5","C,1109","-5.5","C,1109","-8.0","C,1204","-11.0","C,1214","-2.0","C,0504","-3.5","C,0428","-7.0","C,0406","-7.0","C,0406","-11.0","C,0322","    3907.4","4","    3907.4","C","    839.4"," ,C","     1342"," ,C","      7.91","C","     12.68","C","      3.15","C"
