"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"CA006162375","1916","44.5333","-78.7333","259.0","FENELON FALLS, ON CA","","","","","","","        31","C","   305"," ,C,0309, ","","","","","     2419"," ,C"
"CA006162375","1922","44.5333","-78.7333","259.0","FENELON FALLS, ON CA","       123","C","        75","C","         7","C","        25","C","   152"," ,C,0331, ","  34.8"," ,C,0911, ","    798.6"," ,C","     2168"," ,C"
"CA006162375","1923","44.5333","-78.7333","259.0","FENELON FALLS, ON CA","       148","C","        90","C","         4","C","        25","C","   203"," ,C,0307, ","  48.3"," ,C,0520, ","    805.3"," ,C","     1784"," ,C"
"CA006162375","1924","44.5333","-78.7333","259.0","FENELON FALLS, ON CA","       160","C","        87","C","         2","C","        25","C","   229"," ,C,0106, ","  63.5"," ,C,0724, ","    835.2"," ,C","     2359"," ,C"
"CA006162375","1925","44.5333","-78.7333","259.0","FENELON FALLS, ON CA","       166","C","       104","C","         5","C","        42","C","   203"," ,C,1218,+","  31.0"," ,C,0319, ","    973.8"," ,C","     2631"," ,C"
"CA006162375","1926","44.5333","-78.7333","259.0","FENELON FALLS, ON CA","       152","C","       108","C","        10","C","        41","C","   305"," ,C,0403, ","  73.2"," ,C,0823, ","   1155.3"," ,C","     3122"," ,C"
"CA006162375","1927","44.5333","-78.7333","259.0","FENELON FALLS, ON CA","","","","","","","        26","C","   203"," ,C,0113, ","","","    853.1"," ,C","     1852"," ,C"
"CA006162375","1928","44.5333","-78.7333","259.0","FENELON FALLS, ON CA","       159","C","       109","C","         4","C","        43","C","   254"," ,C,0309,+","  38.1"," ,C,0805, ","    981.9"," ,C","     2933"," ,C"
"CA006162375","1929","44.5333","-78.7333","259.0","FENELON FALLS, ON CA","","","","","","","        38","C","   178"," ,C,0107, ","","","    891.9"," ,C","     2179"," ,C"
"CA006162375","1930","44.5333","-78.7333","259.0","FENELON FALLS, ON CA","","","","","","","        24","C","   229"," ,C,0226, ","","","    738.5"," ,C","     1637"," ,C"
"CA006162375","1931","44.5333","-78.7333","259.0","FENELON FALLS, ON CA","","","","","","","        16","C","   559"," ,C,0308, ","","","    754.2"," ,C","     1835"," ,C"
