"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"CA007080468","1912","46.7167","-79.1","181.0","BARRAGE TEMISCAMINGUE, QC CA","    112.4","","     112.4","C","        94","C","        76","C","         1","C","","","        23","C","        74","C","       199","C","        89","C","        86","C","         5","C","  -40.0","C,0112,+","","","   135"," ,C,0114, ","  30.5"," ,C,1206, ","   35.6","C,0706, ","-0.6","C,0829","-2.8","C,1001","-6.7","C,1015","-6.7","C,1015","-11.1","C,1102","-0.6","C,0608","-3.9","C,0513","-4.4","C,0430","-8.9","C,0419","-8.9","C,0419","","","","","    703.7"," ,C","     1671"," ,C","      3.11","C","     10.01","C","     -3.80","C","","","",""
"CA007080468","1914","46.7167","-79.1","181.0","BARRAGE TEMISCAMINGUE, QC CA","    354.5","","     354.5","C","       102","C","        77","C","         7","C","","","        27","C","        54","C","       185","C","       104","C","       121","C","        26","C","  -43.9","C,0211, ","","","   465"," ,C,0207, ","  47.5"," ,C,0929, ","   37.8","C,0715, ","-1.7","C,1013","-3.3","C,1026","-4.4","C,1027","-8.9","C,1110","-8.9","C,1110","-1.1","C,0620","-2.2","C,0602","-5.6","C,0514","-6.7","C,0420","-15.6","C,0413","    4937.8","8","    4937.8","C","    863.4"," ,C","     2406"," ,C","      4.69","C","     10.82","C","     -1.44","C","","","",""
"CA007080468","1915","46.7167","-79.1","181.0","BARRAGE TEMISCAMINGUE, QC CA","","","","","","","","","","","","","        17","C","","","","","","","","","","","","","","","   241"," ,C,1203, ","","","","","","","","","","","","","","","","","","","","","","","","","    5297.1","1","    5297.1","C","    863.7"," ,C","     1404"," ,C","","","","","","","","","",""
"CA007080468","1916","46.7167","-79.1","181.0","BARRAGE TEMISCAMINGUE, QC CA","","","","","        94","C","        75","C","         5","C","","","        22","C","","","","","","","","","","","","","","","   236"," ,C,1016, ","  35.6"," ,C,0128, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    821.4"," ,C","     1989"," ,C","","","","","","","","","",""
"CA007080468","1918","46.7167","-79.1","181.0","BARRAGE TEMISCAMINGUE, QC CA","","","","","","","","","","","","","","","        61","C","       170","C","","","","","","","  -38.3","C,0206, ","","","","","","","","","0.0","C,1001","-2.2","C,1106","-4.4","C,1122","-7.2","C,1123","-8.9","C,1125","0.0","C,0513","-3.9","C,0511","-4.4","C,0426","-6.7","C,0420","-10.0","C,0418","","","","","","","","","","","","","     -1.57","C","","","",""
"CA007080468","1920","46.7167","-79.1","181.0","BARRAGE TEMISCAMINGUE, QC CA","","","","","       106","C","        67","C","         7","C","","","        18","C","        41","C","       166","C","","","","","","","  -31.1","C,0131, ","","","   366"," ,C,1223, ","  62.7"," ,C,1027, ","","","0.0","C,1028","-2.8","C,1106","-11.7","C,1110","-11.7","C,1110","-11.7","C,1110","-1.7","C,0515","-2.2","C,0426","-6.7","C,0409","-6.7","C,0409","-10.0","C,0408","","","","","    813.8"," ,C","     1603"," ,C","","","","","      0.42","C","","","",""
"CA007080468","1921","46.7167","-79.1","181.0","BARRAGE TEMISCAMINGUE, QC CA","    382.9","","     382.9","C","","","","","","","","","        20","C","        26","C","       163","C","        80","C","       129","C","        23","C","  -28.9","C,0128, ","","","   147"," ,C,1218, ","","","   40.0","C,0706, ","0.0","C,1023","-2.8","C,1026","-5.0","C,1105","-7.8","C,1106","-10.6","C,1108","-0.6","C,0519","-3.9","C,0418","-6.7","C,0417","-6.7","C,0417","-9.4","C,0410","    4175.3","3","    4175.3","C","    876.8"," ,C","     1468"," ,C","      7.22","C","     13.00","C","      1.43","C","","","",""
"CA007080468","1922","46.7167","-79.1","181.0","BARRAGE TEMISCAMINGUE, QC CA","","","","","        96","C","        65","C","         4","C","","","        27","C","","","","","","","","","","","","","","","   229"," ,C,0223, ","  36.8"," ,C,0712, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    694.5"," ,C","     2361"," ,C","","","","","","","","","",""
"CA007080468","1924","46.7167","-79.1","181.0","BARRAGE TEMISCAMINGUE, QC CA","     46.0","","      46.0","C","       117","C","        80","C","         3","C","","","        31","C","        43","C","       182","C","       101","C","        47","C","         0","C","  -35.6","C,0127, ","","","   224"," ,C,0111, ","  68.1"," ,C,0629, ","   28.3","C,0729, ","-0.6","C,1009","-5.0","C,1023","-5.0","C,1023","-11.7","C,1103","-11.7","C,1103","0.0","C,0531","-2.2","C,0519","-4.4","C,0503","-7.8","C,0412","-24.4","C,0401","    5206.6","6","    5206.6","C","    928.8"," ,C","     2752"," ,C","      3.05","C","      7.83","C","     -1.73","C","","","",""
"CA007080468","1926","46.7167","-79.1","181.0","BARRAGE TEMISCAMINGUE, QC CA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    917.7"," ,C","     3608"," ,C","","","","","","","","","",""
