"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"CA00709BBDH","1982","48.5167","-79.2667","290.0","DUPARQUET, QC CA","     54.9","","      54.9","C","       129","C","        73","C","         1","C","","","        21","C","        80","C","       190","C","       122","C","        54","C","         0","C","  -45.0","C,0118, ","","","   140"," ,C,1226, ","  27.9"," ,C,0716, ","   29.5","C,0717,+","0.0","C,0802","-3.0","C,0907","-5.0","C,1002","-7.0","C,1110","-11.0","C,1113","-0.1","C,0619","-5.5","C,0522","-5.5","C,0522","-9.0","C,0422","-9.0","C,0422","    6233.9","9","    6233.9","C","    701.6"," ,C","     1598"," ,C","      0.91","C","      6.51","C","     -4.69","C"
"CA00709BBDH","1983","48.5167","-79.2667","290.0","DUPARQUET, QC CA","    114.9","","     114.9","C","       136","C","        85","C","         1","C","","","        35","C","        62","C","       208","C","       118","C","        72","C","         0","C","  -40.0","C,1219, ","","","   300"," ,C,0319, ","  30.0"," ,C,0319, ","   31.5","C,0615,+","-5.0","C,0913","-5.0","C,0913","-5.0","C,0913","-7.5","C,1020","-9.0","C,1105","0.0","C,0609","-5.0","C,0517","-5.0","C,0517","-8.5","C,0509","-12.5","C,0419","    6012.5","5","    6012.5","C","    815.9"," ,C","     3201"," ,C","      1.70","C","      7.05","C","     -3.65","C"
"CA00709BBDH","1984","48.5167","-79.2667","290.0","DUPARQUET, QC CA","     65.6","","      65.6","C","       164","C","       108","C","         3","C","","","        36","C","        63","C","       188","C","       104","C","        59","C","         0","C","  -44.0","C,0111, ","","","   110"," ,C,0208, ","  29.0"," ,C,0714, ","   30.0","C,0804, ","-1.0","C,0912","-2.5","C,0929","-7.0","C,1005","-7.0","C,1005","-11.0","C,1102","-4.0","C,0528","-4.0","C,0528","-7.0","C,0421","-7.0","C,0421","-9.5","C,0411","    6129.6","6","    6129.6","C","    945.4"," ,C","     2154"," ,C","      1.91","C","      7.33","C","     -3.51","C"
"CA00709BBDH","1985","48.5167","-79.2667","290.0","DUPARQUET, QC CA","     32.7","","      32.7","C","       174","C","       103","C","         2","C","      157","","        38","C","        70","C","       198","C","       128","C","        55","C","         0","C","  -43.5","C,1225, ","   650"," ,C,0319, ","   200"," ,C,1201, ","  36.3"," ,C,0709, ","   29.0","C,0701, ","0.0","C,0909","-3.0","C,1008","-7.0","C,1011","-7.0","C,1011","-9.5","C,1029","0.0","C,0604","-2.5","C,0519","-8.0","C,0508","-8.0","C,0508","-17.5","C,0417","    6001.7","7","    6001.7","C","   1017.8"," ,C","     3138"," ,C","      0.78","C","      6.16","C","     -4.61","C"
"CA00709BBDH","1987","48.5167","-79.2667","290.0","DUPARQUET, QC CA","","","","","       163","C","       105","C","         1","C","      125","","        40","C","","","","","       111","C","        73","C","         0","C","","","   550"," ,C,0304, ","   230"," ,C,1130, ","  36.3"," ,C,0703, ","   31.0","C,0624, ","","","","","","","","","","","","","","","","","","","","","","","","","    943.7"," ,C","     2834"," ,C","","","      8.34","C","",""
"CA00709BBDH","1988","48.5167","-79.2667","290.0","DUPARQUET, QC CA","","","","","","","","","","","      144","","        67","C","","","","","       120","C","        64","C","         2","C","","","   640"," ,C,0323,+","   190"," ,C,0112, ","","","   34.0","C,0708,+","","","","","","","","","","","","","","","","","","","","","","","","","","","     4425"," ,C","","","      6.57","C","",""
"CA00709BBDH","1989","48.5167","-79.2667","290.0","DUPARQUET, QC CA","","","","","","","","","","","      172","","","","","","","","","","","","","","","","   620"," ,C,0316, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CA00709BBDH","1990","48.5167","-79.2667","290.0","DUPARQUET, QC CA","","","","","","","","","","","      147","","","","","","","","","","","","","","","","   860"," ,C,0220,+","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CA00709BBDH","1991","48.5167","-79.2667","290.0","DUPARQUET, QC CA","","","","","       162","C","        97","C","         1","C","      140","","        41","C","        61","C","       199","C","        99","C","        75","C","         1","C","  -42.0","C,0125, ","   600"," ,C,0222, ","   200"," ,C,0323, ","  54.0"," ,C,0826, ","   33.5","C,0718, ","-0.5","C,0820","-3.0","C,0921","-6.0","C,1014","-8.5","C,1104","-14.5","C,1107","0.0","C,0613","-2.5","C,0519","-7.5","C,0518","-7.5","C,0518","-16.5","C,0412","","","","","    817.9"," ,C","     2818"," ,C","      2.09","C","      8.16","C","     -3.98","C"
"CA00709BBDH","1992","48.5167","-79.2667","290.0","DUPARQUET, QC CA","","","","","       164","C","       119","C","         5","C","      155","","        47","C","","","","","       127","C","        55","C","         0","C","","","   650"," ,C,0226, ","   150"," ,C,0309,+","  31.5"," ,C,0828, ","   31.5","C,0521, ","","","","","","","","","","","","","","","","","","","","","","","","","   1039.9"," ,C","     3184"," ,C","","","      6.07","C","",""
