"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"CA008103201","2014","46.1167","-64.6833","71.0","MONCTON INTERNATIONAL A, NB CA","    137.4","","     137.4","C","       163","C","       104","C","        14","C","        26","C","        18","C","       164","C","        65","C","        91","C","         0","C","  -28.1","C,0102, ","   410"," ,C,0326, "," 122.2"," ,C,1210, ","   31.3","C,0701, ","-1.1","C,1021","-3.5","C,1108","-4.7","C,1114","-8.5","C,1115","-9.5","C,1116","-1.4","C,0529","-2.9","C,0526","-5.7","C,0418","-7.1","C,0417","-11.4","C,0326","    4773.1","1","    4773.1","C","   1501.4"," ,C","     3292"," ,C","      5.85","C","     11.12","C","      0.58","C","","","",""
"CA008103201","2015","46.1167","-64.6833","71.0","MONCTON INTERNATIONAL A, NB CA","    148.4","","     148.4","C","       157","C","        98","C","        10","C","        35","C","        35","C","       168","C","        79","C","        97","C","         1","C","  -25.3","C,0224, ","   542"," ,C,0215, ","  90.6"," ,C,0930, ","   33.2","C,0818, ","-0.7","C,1004","-2.3","C,1017","-6.2","C,1027","-7.5","C,1124","-9.4","C,1125","-1.0","C,0507","-4.6","C,0426","-4.6","C,0426","-7.0","C,0408","-13.9","C,0406","    4937.6","6","    4937.6","C","   1341.9"," ,C","     5406"," ,C","      5.34","C","     10.75","C","     -0.09","C","","","",""
"CA008103201","2016","46.1167","-64.6833","71.0","MONCTON INTERNATIONAL A, NB CA","    138.0","","     138.0","C","       175","C","        90","C","         7","C","","","         9","C","       169","C","        65","C","        96","C","         0","C","  -22.1","C,1217, ","","","  35.4"," ,C,0817, ","   30.5","C,0728, ","-0.9","C,1003","-2.6","C,1027","-4.6","C,1129","-9.5","C,1204","-9.5","C,1204","-1.2","C,0513","-4.0","C,0501","-5.3","C,0429","-11.5","C,0406","-11.5","C,0406","    4365.2","2","    4365.2","C","    994.6"," ,C","","","      6.42","C","     11.69","C","      1.15","C","         3","C","      96.0","C"
"CA008103201","2017","46.1167","-64.6833","71.0","MONCTON INTERNATIONAL A, NB CA","    128.5","","     128.5","C","       150","C","        80","C","         8","C","        23","C","        15","C","       163","C","        69","C","       107","C","         0","C","  -23.2","C,0110, ","   374"," ,C,0213, ","  40.9"," ,C,0906, ","   31.1","C,0926, ","-1.0","C,1001","-2.5","C,1104","-6.9","C,1110","-6.9","C,1110","-9.0","C,1112","0.0","C,0606","-4.8","C,0425","-4.8","C,0425","-7.7","C,0419","-9.3","C,0326","    4243.8","8","    4243.8","C","   1037.6"," ,C","     2858"," ,C","      6.30","C","     11.87","C","      0.73","C","        36","C","     107.0","C"
"CA008103201","2018","46.1167","-64.6833","71.0","MONCTON INTERNATIONAL A, NB CA","    201.0","","     201.0","C","       175","C","       107","C","        11","C","        35","C","         8","C","       179","C","        66","C","       101","C","         2","C","  -22.3","C,0107, ","   296"," ,C,0322, ","  55.6"," ,C,0818, ","   34.2","C,0705, ","-0.8","C,0924","-3.6","C,1019","-5.1","C,1023","-9.8","C,1114","-9.8","C,1114","-3.2","C,0604","-3.2","C,0604","-9.6","C,0416","-9.6","C,0416","-9.6","C,0416","    4493.7","7","    4493.7","C","   1359.8"," ,C","     3608"," ,C","      5.80","C","     11.14","C","      0.46","C","","","",""
"CA008103201","2019","46.1167","-64.6833","71.0","MONCTON INTERNATIONAL A, NB CA","    106.8","","     106.8","C","       172","C","       108","C","        10","C","        31","C","        13","C","       170","C","        75","C","        82","C","         4","C","  -21.4","C,0114, ","   260"," ,C,0213, "," 121.3"," ,C,0907, ","   34.0","C,0705, ","-0.4","C,0919","-2.7","C,1027","-5.9","C,1108","-8.0","C,1109","-9.6","C,1114","-1.2","C,0514","-2.7","C,0502","-4.7","C,0410","-9.9","C,0327","-9.9","C,0327","    4890.3","3","    4890.3","C","   1332.2"," ,C","     2880"," ,C","      5.32","C","     10.66","C","     -0.01","C","","","",""
"CA008103201","2020","46.1167","-64.6833","71.0","MONCTON INTERNATIONAL A, NB CA","","","","","       137","C","        79","C","         6","C","","","","","","","","","","","","","","","","","  43.1"," ,C,1205, ","","","","","","","","","","","","","","","","","","","","","","","    4577.0","0","    4577.0","C","    820.9"," ,C","","","","","","","","","","","",""
"CA008103201","2021","46.1167","-64.6833","71.0","MONCTON INTERNATIONAL A, NB CA","","","","","       147","C","        84","C","        11","C","        19","C","","","","","","","","","","","","","   210"," ,C,0102, ","  71.4"," ,C,0902, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   1075.7"," ,C","     1985"," ,C","","","","","","","","","",""
"CA008103201","2022","46.1167","-64.6833","71.0","MONCTON INTERNATIONAL A, NB CA","","","","","       159","C","       102","C","         8","C","        32","C","","","","","","","","","","","","","   430"," ,C,0204, ","  48.6"," ,C,0809, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   1194.3"," ,C","     3486"," ,C","","","","","","","","","",""
"CA008103201","2023","46.1167","-64.6833","71.0","MONCTON INTERNATIONAL A, NB CA","    181.6","","     181.6","C","       145","C","        88","C","        10","C","        31","C","         9","C","       165","C","        55","C","       104","C","         2","C","  -28.4","C,0204, ","   360"," ,C,0123, ","  45.0"," ,C,1118, ","   33.9","C,0601, ","-0.5","C,1023","-4.7","C,1031","-4.7","C,1031","-6.8","C,1121","-10.8","C,1125","-1.7","C,0523","-2.4","C,0414","-5.7","C,0409","-7.0","C,0403","-9.5","C,0311","","","","","   1180.2"," ,C","     2945"," ,C","      6.98","C","     11.90","C","      2.05","C","","","",""
