"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"CA1SK000006","2014","51.5694","-107.2341","564.5","CONQUEST 4.5 N, SK CA","        88","N","        54","N","         0","N","      139","","        18","N","   559"," ,N,0309,+","   119"," ,N,0220, ","  23.6"," ,N,0718, ","    435.5"," ,N","     1140"," ,N"
"CA1SK000006","2015","51.5694","-107.2341","564.5","CONQUEST 4.5 N, SK CA","        73","N","        41","N","         2","N","","","        13","N","","","   114"," ,N,0215, ","  33.3"," ,N,0728, ","    443.2"," ,N","      831"," ,N"
"CA1SK000006","2016","51.5694","-107.2341","564.5","CONQUEST 4.5 N, SK CA","        97","N","        53","N","         4","N","       91","","         9","N","   249"," ,N,1006, ","   140"," ,N,1006, ","  59.2"," ,N,0712, ","    613.5"," ,N","      833"," ,N"
"CA1SK000006","2017","51.5694","-107.2341","564.5","CONQUEST 4.5 N, SK CA","        67","N","        24","N","         0","N","      110","","         8","N","   191"," ,N,1108, ","   155"," ,N,1104, ","  20.1"," ,N,0712, ","    230.9"," ,N","      706"," ,N"
"CA1SK000006","2018","51.5694","-107.2341","564.5","CONQUEST 4.5 N, SK CA","        66","N","        35","N","         0","N","      167","","        15","N","   279"," ,N,0311,+","   155"," ,N,0923, ","  15.7"," ,N,0923, ","    256.6"," ,N","      936"," ,N"
"CA1SK000006","2019","51.5694","-107.2341","564.5","CONQUEST 4.5 N, SK CA","        79","N","        36","N","         2","N","      133","","        16","N","   277"," ,N,0303,+","   157"," ,N,0930, ","  30.5"," ,N,0622, ","    380.0"," ,N","     1010"," ,N"
"CA1SK000006","2020","51.5694","-107.2341","564.5","CONQUEST 4.5 N, SK CA","        53","N","        28","N","         2","N","      137","","        15","N","   361"," ,N,1122,+","   292"," ,N,1109, ","  48.8"," ,N,0607, ","    271.8"," ,N","     1112"," ,N"
"CA1SK000006","2021","51.5694","-107.2341","564.5","CONQUEST 4.5 N, SK CA","        51","N","        17","N","         1","N","      107","","         8","N","   363"," ,N,0221,+","   104"," ,N,1227, ","  40.6"," ,N,0827, ","    202.1"," ,N","      490"," ,N"
"CA1SK000006","2022","51.5694","-107.2341","564.5","CONQUEST 4.5 N, SK CA","        82","N","        36","N","         1","N","      147","","        16","N","   340"," ,N,0311,+","   130"," ,N,1108, ","  25.9"," ,N,0719, ","    249.8"," ,N","     1283"," ,N"
"CA1SK000006","2023","51.5694","-107.2341","564.5","CONQUEST 4.5 N, SK CA","        48","N","        24","N","         0","N","      120","","         5","N","   356"," ,N,0402,+","   109"," ,N,0420, ","  19.1"," ,N,0822, ","    218.5"," ,N","      397"," ,N"
"CA1SK000006","2024","51.5694","-107.2341","564.5","CONQUEST 4.5 N, SK CA","        78","N","        45","N","         5","N","      130","","        20","N","   406"," ,N,0305,+","   282"," ,N,0303, ","  91.4"," ,N,0628, ","    566.8"," ,N","     1691"," ,N"
