"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"CHM00051709","1951","39.467","75.983","1380.0","KASHI, CH","    664.3","","     664.3","s","        10","s","         2","s","         0","s","         4","s","       136","s","        37","s","       178","s","        62","s","  -20.5","s,0121, ","  23.8"," ,s,0617, ","   39.6","s,0803, ","-3.2","s,1103","-3.2","s,1103","-5.7","s,1113","-9.0","s,1121","-9.0","s,1121","-0.9","s,0416","-2.2","s,0330","-5.5","s,0313","-6.7","s,0304","-9.2","s,0302","","","","","     42.3"," ,s","     11.24","s","     18.86","s","      3.62","s"
"CHM00051709","1952","39.467","75.983","1380.0","KASHI, CH","    654.4","","     654.4","s","        14","s","         7","s","         1","s","         1","s","       146","s","        42","s","       183","s","        38","s","  -18.9","s,0108, ","  41.9"," ,s,0730, ","   40.0","s,0713, ","-0.1","s,1019","-2.5","s,1026","-5.1","s,1114","-7.9","s,1124","-10.0","s,1127","-1.0","s,0515","-2.5","s,0317","-4.5","s,0308","-6.9","s,0223","-12.0","s,0221","    2999.1","1","    2999.1","s","     91.4"," ,s","     11.12","s","     18.19","s","      4.05","s"
"CHM00051709","1953","39.467","75.983","1380.0","KASHI, CH","    749.4","","     749.4","s","        19","s","         4","s","         0","s","         0","s","       141","s","        32","s","       170","s","        60","s","  -17.2","s,0105, ","  17.5"," ,s,0330, ","   39.6","s,0707, ","-1.0","s,1007","-2.2","s,1017","-5.5","s,1028","-6.8","s,1111","-9.2","s,1216","-0.7","s,0331","-2.3","s,0318","-4.7","s,0222","-7.3","s,0219","-9.3","s,0212","    3327.9","9","    3327.9","s","     51.9"," ,s","     11.51","s","     18.56","s","      4.46","s"
"CHM00051709","1954","39.467","75.983","1380.0","KASHI, CH","    854.4","","     854.4","s","        30","s","        10","s","         0","s","         6","s","       115","s","        72","s","       180","s","        40","s","  -20.0","s,0123, ","  22.4"," ,s,0915, ","   36.3","s,0531, ","-1.2","s,1112","-4.2","s,1124","-4.5","s,1125","-6.9","s,1129","-9.7","s,1130","-0.4","s,0313","-3.0","s,0308","-6.0","s,0307","-7.0","s,0227","-11.9","s,0225","    3262.5","5","    3262.5","s","     95.3"," ,s","     11.94","s","     17.30","s","      6.58","s"
"CHM00051709","1955","39.467","75.983","1380.0","KASHI, CH","    872.4","","     872.4","s","        30","s","        11","s","         0","s","         6","s","       108","s","        26","s","       163","s","        36","s","  -20.5","s,0102, ","  14.4"," ,s,0416, ","   36.9","s,0815, ","-1.0","s,1114","-5.0","s,1115","-5.0","s,1115","-7.1","s,1219","-9.4","s,1231","-0.4","s,0417","-3.9","s,0224","-4.7","s,0222","-8.7","s,0214","-9.2","s,0213","    3127.3","3","    3127.3","s","     94.5"," ,s","     12.64","s","     17.81","s","      7.48","s"
"CHM00051709","1956","39.467","75.983","1380.0","KASHI, CH","   1098.8","","    1098.8","s","        16","s","         3","s","         0","s","         5","s","       111","s","        39","s","       179","s","        57","s","  -20.2","s,0108, ","  14.4"," ,s,0409, ","   39.6","s,0712, ","-0.4","s,1112","-2.8","s,1122","-4.6","s,1125","-6.9","s,1204","-10.3","s,1216","-0.4","s,0323","-3.5","s,0222","-4.5","s,0221","-7.0","s,0204","-9.1","s,0201","    2753.5","5","    2753.5","s","     34.2"," ,s","     13.54","s","     18.74","s","      8.34","s"
"CHM00051709","1957","39.467","75.983","1380.0","KASHI, CH","    592.1","","     592.1","s","        25","s","         6","s","         0","s","         0","s","       131","s","        36","s","       172","s","        21","s","  -17.3","s,0212,+","  16.2"," ,s,0831, ","   36.2","s,0811, ","-0.4","s,1022","-2.8","s,1110","-4.7","s,1127","-7.1","s,1217","-8.9","s,1226","-0.6","s,0309","-3.0","s,0308","-5.0","s,0227","-6.8","s,0225","-12.6","s,0222","    2961.3","3","    2961.3","s","     56.8"," ,s","     11.69","s","     17.36","s","      6.02","s"
"CHM00051709","1958","39.467","75.983","1380.0","KASHI, CH","    593.2","","     593.2","s","        18","s","         5","s","         0","s","         0","s","       127","s","        18","s","       178","s","        28","s","  -12.8","s,0117, ","  14.3"," ,s,0510, ","   40.1","s,0712, ","-0.4","s,1023","-4.4","s,1116","-4.4","s,1116","-8.5","s,1227","-11.0","s,1231","-0.6","s,0315","-2.6","s,0307","-5.0","s,0221","-7.4","s,0219","-9.4","s,0218","    2806.5","5","    2806.5","s","     41.5"," ,s","     12.18","s","     18.69","s","      5.67","s"
"CHM00051709","1959","39.467","75.983","1380.0","KASHI, CH","    712.6","","     712.6","s","        27","s","        11","s","         0","s","         6","s","       126","s","        35","s","       186","s","        31","s","  -24.4","s,0112, ","  10.2"," ,s,0519, ","   36.6","s,0717, ","-0.6","s,1107","-4.0","s,1116","-4.4","s,1118","-8.0","s,1218","-12.5","s,1223","-1.7","s,0316","-2.4","s,0311","-5.7","s,0225","-8.2","s,0222","-9.9","s,0219","    3118.6","6","    3118.6","s","     70.3"," ,s","     11.67","s","     17.94","s","      5.40","s"
"CHM00051709","1960","39.467","75.983","1380.0","KASHI, CH","    623.2","","     623.2","s","        12","s","         5","s","         0","s","         0","s","       132","s","        18","s","       174","s","        25","s","  -14.5","s,0102,+","  12.6"," ,s,0504, ","   37.7","s,0830, ","0.0","s,1025","-2.6","s,1101","-4.7","s,1116","-7.6","s,1124","-9.4","s,1207","-2.6","s,0410","-2.6","s,0410","-4.4","s,0218","-7.1","s,0205","-10.0","s,0203","    2970.8","8","    2970.8","s","     34.7"," ,s","     11.64","s","     18.21","s","      5.07","s"
