"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"CHM00059082","1951","24.667","113.6","68.0","SHAOGUAN, CH","   1817.3","","    1817.3","s","       162","s","       105","s","        23","s","         0","s","         2","s","         0","s","       251","s","       109","s","   -0.9","s,0114, ","  95.3"," ,s,1114, ","   39.8","s,0731, ","","","","","-0.9","s,0114","","","","","","","   1886.9"," ,s","     20.88","s","     25.41","s","     16.36","s"
"CHM00059082","1952","24.667","113.6","68.0","SHAOGUAN, CH","","","","","       159","s","       105","s","        17","s","         0","s","         7","s","","","","","","","   -1.6","s,0219, ","  78.8"," ,s,0814, ","","","-1.0","s,1210","","","-0.7","s,0220","","","","","","","   1564.1"," ,s","","","","","     16.64","s"
"CHM00059082","1953","24.667","113.6","68.0","SHAOGUAN, CH","   1845.2","","    1845.2","s","       162","s","       113","s","        22","s","         0","s","         1","s","         0","s","       240","s","        94","s","   -0.1","s,0107, ","  78.5"," ,s,0601, ","   42.0","s,0812, ","","","","","-0.1","s,0107","","","     784.4","4","     784.4","s","   1943.2"," ,s","     21.20","s","     25.27","s","     17.13","s"
"CHM00059082","1954","24.667","113.6","68.0","SHAOGUAN, CH","   1806.8","","    1806.8","s","       124","s","        84","s","        17","s","         0","s","         3","s","         0","s","       261","s","        90","s","   -1.0","s,1216, "," 148.4"," ,s,0522, ","   38.2","s,0815, ","-1.0","s,1216","","","0.0","s,0208","","","     806.1","1","     806.1","s","   1619.1"," ,s","     20.94","s","     25.18","s","     16.70","s"
"CHM00059082","1955","24.667","113.6","68.0","SHAOGUAN, CH","   1703.4","","    1703.4","s","       121","s","        75","s","        20","s","         0","s","         8","s","         0","s","       268","s","        84","s","   -4.3","s,0112, ","  91.0"," ,s,0606, ","   36.8","s,0922, ","","","","","-0.5","s,0221","-4.3","s,0112","     852.7","7","     852.7","s","   1589.4"," ,s","     20.84","s","     25.55","s","     16.12","s"
"CHM00059082","1956","24.667","113.6","68.0","SHAOGUAN, CH","   1848.4","","    1848.4","s","       128","s","        81","s","        10","s","         0","s","         5","s","         0","s","       246","s","       109","s","   -2.2","s,0124, ","  65.9"," ,s,0430, ","   38.3","s,0707, ","","","","","-2.2","s,0124","-2.2","s,0124","     845.8","8","     845.8","s","   1107.8"," ,s","     20.84","s","     25.34","s","     16.34","s"
"CHM00059082","1957","24.667","113.6","68.0","SHAOGUAN, CH","   1686.8","","    1686.8","s","       150","s","       104","s","        18","s","         0","s","         5","s","         0","s","       254","s","        84","s","   -2.0","s,0212, ","  66.7"," ,s,0419, ","   38.7","s,0814, ","","","","","-1.9","s,0214","","","     919.8","8","     919.8","s","   1641.2"," ,s","     20.67","s","     24.63","s","     16.72","s"
"CHM00059082","1958","24.667","113.6","68.0","SHAOGUAN, CH","   1757.0","","    1757.0","s","       116","s","        76","s","        15","s","         0","s","         1","s","         0","s","       263","s","        85","s","    0.0","s,0117, ","  90.4"," ,s,0421, ","   37.0","s,0716, ","","","","","0.0","s,0117","","","     739.0","0","     739.0","s","   1329.5"," ,s","     20.96","s","     25.44","s","     16.48","s"
"CHM00059082","1959","24.667","113.6","68.0","SHAOGUAN, CH","   1735.2","","    1735.2","s","       143","s","       107","s","        23","s","         0","s","         2","s","         0","s","       266","s","        77","s","   -0.8","s,0111, ","  81.1"," ,s,0918, ","   36.7","s,0829, ","","","","","0.0","s,0114","","","     739.2","2","     739.2","s","   1811.7"," ,s","     20.96","s","     25.03","s","     16.88","s"
"CHM00059082","1960","24.667","113.6","68.0","SHAOGUAN, CH","   1754.6","","    1754.6","s","       138","s","        94","s","        17","s","         0","s","         3","s","         0","s","       271","s","        87","s","   -1.0","s,0103, ","  75.2"," ,s,0319, ","   38.1","s,0801, ","","","","","-0.1","s,0125","","","     663.3","3","     663.3","s","   1454.4"," ,s","     21.19","s","     25.62","s","     16.76","s"
