"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"CHM00059254","1953","23.4","110.083","44.0","GUIPING, CH","   1929.3","","    1929.3","s","       188","s","       132","s","        24","s","         0","s","         0","s","         0","s","       251","s","        95","s","    4.4","s,0107, ","  62.2"," ,s,0430, ","   39.2","s,0813, ","","","","","","","","","   2211.1"," ,s","     22.15","s","     25.69","s","     18.60","s"
"CHM00059254","1954","23.4","110.083","44.0","GUIPING, CH","   1793.0","","    1793.0","s","       153","s","        90","s","        18","s","         0","s","         0","s","         0","s","       272","s","        94","s","    1.5","s,1216, "," 137.6"," ,s,0427, ","   36.1","s,0719, ","","","","","     548.7","7","     548.7","s","   1641.0"," ,s","     21.53","s","     26.06","s","     16.99","s"
"CHM00059254","1955","23.4","110.083","44.0","GUIPING, CH","   1856.8","","    1856.8","s","       140","s","        85","s","        19","s","         0","s","         4","s","         0","s","       282","s","        86","s","   -3.3","s,0111, "," 143.9"," ,s,0723, ","   35.1","s,0921,+","-0.2","s,0117","-2.3","s,0112","     703.6","6","     703.6","s","   1695.6"," ,s","     21.87","s","     26.26","s","     17.47","s"
"CHM00059254","1956","23.4","110.083","44.0","GUIPING, CH","   1976.6","","    1976.6","s","       158","s","        99","s","        14","s","         0","s","         0","s","         0","s","       264","s","        91","s","    2.7","s,0109, ","  65.0"," ,s,0428, ","   36.1","s,0903,+","","","","","     516.7","7","     516.7","s","   1312.1"," ,s","     22.07","s","     25.76","s","     18.38","s"
"CHM00059254","1957","23.4","110.083","44.0","GUIPING, CH","   1905.1","","    1905.1","s","       183","s","       115","s","        22","s","         0","s","         0","s","         0","s","       265","s","        73","s","    0.1","s,0211, ","  90.7"," ,s,0618, ","   38.3","s,0815, ","","","","","     607.7","7","     607.7","s","   1958.4"," ,s","     22.05","s","     25.35","s","     18.75","s"
"CHM00059254","1958","23.4","110.083","44.0","GUIPING, CH","   2020.6","","    2020.6","s","       141","s","        83","s","        18","s","         0","s","         0","s","         0","s","       282","s","        88","s","    2.7","s,0117, "," 102.7"," ,s,0624, ","   36.9","s,0511, ","","","","","     471.7","7","     471.7","s","   1385.0"," ,s","     22.51","s","     26.34","s","     18.68","s"
"CHM00059254","1959","23.4","110.083","44.0","GUIPING, CH","   1970.3","","    1970.3","s","       175","s","       118","s","        28","s","         0","s","         0","s","         0","s","       276","s","        61","s","    4.4","s,0113, "," 190.0"," ,s,0613, ","   36.7","s,0830, ","","","","","     450.8","8","     450.8","s","   2484.7"," ,s","     22.26","s","     25.65","s","     18.86","s"
"CHM00059254","1960","23.4","110.083","44.0","GUIPING, CH","   1912.1","","    1912.1","s","       154","s","       104","s","        17","s","         0","s","         0","s","         0","s","       278","s","        82","s","    1.8","s,0125, "," 157.0"," ,s,0723, ","   36.4","s,0802, ","","","","","     422.4","4","     422.4","s","   1626.9"," ,s","     22.39","s","     26.03","s","     18.75","s"
"CHM00059254","1961","23.4","110.083","44.0","GUIPING, CH","   1949.7","","    1949.7","s","       165","s","       114","s","        27","s","         0","s","         0","s","         0","s","       267","s","        75","s","    2.1","s,0117, "," 178.8"," ,s,0818, ","   37.2","s,0702, ","","","","","     551.1","1","     551.1","s","   2237.6"," ,s","     22.26","s","     25.73","s","     18.80","s"
"CHM00059254","1962","23.4","110.083","44.0","GUIPING, CH","   1909.9","","    1909.9","s","       146","s","        97","s","        22","s","         0","s","         0","s","         0","s","       268","s","        94","s","    4.3","s,0104, "," 129.6"," ,s,0629, ","   37.5","s,0730, ","","","","","     470.1","1","     470.1","s","   1718.0"," ,s","     22.05","s","     25.82","s","     18.28","s"
