"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"CQC00914080","1995","15.21553","145.75255","197.5","CAPITOL HILL 1, MP CQ","","","","","       250","0","       130","0","        23","0","","","","","","","","","","","","","","","","","","","",""," 143.8"," ,0,1015, ","","","","","","","   2085.7"," ,0","","","","","","","",""
"CQC00914080","1996","15.21553","145.75255","197.5","CAPITOL HILL 1, MP CQ","","","","","       260","0","       128","0","        17","0","        0","","         0","0","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  97.0"," ,0,0927, ","","","","","","","   1854.0"," ,0","        0"," ,0","","","","","",""
"CQC00914080","1998","15.21553","145.75255","197.5","CAPITOL HILL 1, MP CQ","","","","","       258","0","       138","0","         4","0","","","         0","0","","","","","","","","","","","","","","","     0"," ,0,1231,+","  47.2"," ,0,0819, ","","","","","","","   1370.4"," ,0","        0"," ,0","","","","","",""
"CQC00914080","1999","15.21553","145.75255","197.5","CAPITOL HILL 1, MP CQ","","","","","","","","","","","        0","","         0","0","         0","0","         0","0","         0","0","       360","0","         0","0","   20.6","0,1016, ","     0"," ,0,1231,+","     0"," ,0,1231,+","","","   31.1","0,0525, ","","","","","   2091.7"," ,0","        0"," ,0","     26.19","0","     29.06","0","     23.32","0"
"CQC00914080","2000","15.21553","145.75255","197.5","CAPITOL HILL 1, MP CQ","   2811.2","","    2811.2","0","       259","0","       159","0","        22","0","        0","","         0","0","         0","0","         0","0","         0","0","       364","0","         0","0","   20.0","0,0220, ","     0"," ,0,1231,+","     0"," ,0,1231,+"," 106.7"," ,0,0910, ","   30.6","0,1012,+","       0.0","0","       0.0","0","   2192.9"," ,0","        0"," ,0","     26.05","0","     28.64","0","     23.46","0"
"CQC00914080","2001","15.21553","145.75255","197.5","CAPITOL HILL 1, MP CQ","   2767.3","","    2767.3","0","       244","0","       134","0","        26","0","        0","","         0","0","         0","0","         0","0","         0","0","       362","0","         0","0","   21.7","0,1228,+","     0"," ,0,1231,+","     0"," ,0,1231,+"," 149.6"," ,0,1118, ","   30.6","0,1010,+","       0.0","0","       0.0","0","   2460.3"," ,0","        0"," ,0","     26.04","0","     28.39","0","     23.68","0"
"CQC00914080","2002","15.21553","145.75255","197.5","CAPITOL HILL 1, MP CQ","   2701.3","","    2701.3","0","       260","0","       147","0","        27","0","        0","","         0","0","         0","0","         0","0","         0","0","       362","0","         0","0","   21.1","0,0730,+","     0"," ,0,1231,+","     0"," ,0,1231,+"," 114.3"," ,0,0920, ","   31.7","0,0601, ","       0.0","0","       0.0","0","   2434.7"," ,0","        0"," ,0","     25.86","0","     28.00","0","     23.72","0"
"CQC00914080","2004","15.21553","145.75255","197.5","CAPITOL HILL 1, MP CQ","   2807.3","","    2807.3","0","       238","0","       150","0","        29","0","        0","","         0","0","         0","0","         0","0","         0","0","       364","0","         0","0","   21.1","0,0702,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  74.9"," ,0,0628, ","   31.7","0,0929,+","       0.0","0","       0.0","0","   2399.7"," ,0","        0"," ,0","     26.11","0","     28.39","0","     23.83","0"
"CQC00914080","2005","15.21553","145.75255","197.5","CAPITOL HILL 1, MP CQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","       0.0","0","       0.0","0","","","","","","","","","",""
"CQC00914080","2008","15.21553","145.75255","197.5","CAPITOL HILL 1, MP CQ","   2856.3","","    2856.3","0","       244","0","       136","0","        25","0","        0","","         0","0","         0","0","         0","0","         0","0","       363","0","         0","0","   20.6","0,0213, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  80.3"," ,0,0322, ","   31.1","0,0611,+","       0.0","0","       0.0","0","   2072.1"," ,0","        0"," ,0","     26.24","0","     28.68","0","     23.80","0"
