"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"CT000004658","1952","10.28","22.78","465.0","BIRAO, CT","   3238.8","","    3238.8","I","        64","I","        45","I","        11","I","         0","I","         0","I","         0","I","       365","I","       305","I","    8.0","I,0106,+","  65.1"," ,I,0702, ","   42.8","I,0428, ","       2.0","0","       2.0","I","    886.3"," ,I","     27.21","I","     35.49","I","     18.92","I"
"CT000004658","1953","10.28","22.78","465.0","BIRAO, CT","   3039.3","","    3039.3","I","        74","I","        61","I","        10","I","         0","I","         0","I","         0","I","       362","I","       278","I","    5.0","I,1221,+","  64.4"," ,I,0715, ","   44.2","I,0318, ","       0.0","0","       0.0","I","   1018.5"," ,I","     26.74","I","     35.27","I","     18.21","I"
"CT000004658","1954","10.28","22.78","465.0","BIRAO, CT","   2909.3","","    2909.3","I","        75","I","        58","I","         8","I","         0","I","         0","I","         0","I","       363","I","       250","I","    5.3","I,1212, ","  62.6"," ,I,0829, ","   42.0","I,0330, ","       0.7","7","       0.7","I","    967.5"," ,I","     26.38","I","     34.27","I","     18.50","I"
"CT000004658","1955","10.28","22.78","465.0","BIRAO, CT","   2794.4","","    2794.4","I","        64","I","        55","I","        13","I","         0","I","         0","I","         0","I","       365","I","       254","I","    5.2","I,1219, ","  61.4"," ,I,0801, ","   43.0","I,0317, ","       0.0","0","       0.0","I","    956.2"," ,I","     25.99","I","     34.01","I","     17.96","I"
"CT000004658","1956","10.28","22.78","465.0","BIRAO, CT","   2808.0","","    2808.0","I","        64","I","        46","I","        10","I","         0","I","         0","I","         0","I","       366","I","       255","I","    3.1","I,0119, ","  83.4"," ,I,0727, ","   42.5","I,0408, ","       7.4","4","       7.4","I","    805.9"," ,I","     25.99","I","     34.82","I","     17.16","I"
"CT000004658","1957","10.28","22.78","465.0","BIRAO, CT","   2905.1","","    2905.1","I","        73","I","        62","I","         9","I","         0","I","         0","I","         0","I","       364","I","       267","I","    5.4","I,1228, ","  83.8"," ,I,0705, ","   41.6","I,0417,+","       0.1","1","       0.1","I","    930.8"," ,I","     26.31","I","     34.14","I","     18.48","I"
"CT000004658","1958","10.28","22.78","465.0","BIRAO, CT","   3043.1","","    3043.1","I","        79","I","        52","I","        10","I","         0","I","         0","I","         0","I","       365","I","       275","I","    7.8","I,0216, ","  66.9"," ,I,0707, ","   42.4","I,0329, ","       0.0","0","       0.0","I","    879.9"," ,I","     26.66","I","     35.08","I","     18.23","I"
"CT000004658","1960","10.28","22.78","465.0","BIRAO, CT","","","","","        87","I","        58","I","        10","I","         0","I","         0","I","","","","","","","    9.2","I,1201, ","  69.2"," ,I,0728, ","","","","","","","    894.0"," ,I","","","","","     19.18","I"
"CT000004658","1961","10.28","22.78","465.0","BIRAO, CT","   3017.8","","    3017.8","I","        66","I","        40","I","         5","I","         0","I","         0","I","         0","I","       365","I","       277","I","    4.6","I,1229, ","  96.8"," ,I,0705, ","   41.5","I,0516,+","","","","","    688.4"," ,I","     26.60","I","     34.61","I","     18.58","I"
"CT000004658","1962","10.28","22.78","465.0","BIRAO, CT","   2982.0","","    2982.0","I","        82","I","        57","I","        13","I","         0","I","         0","I","         0","I","       365","I","       267","I","    4.4","I,0104, ","  92.9"," ,I,0820, ","   42.2","I,0425,+","       2.2","2","       2.2","I","   1172.4"," ,I","     26.50","I","     34.39","I","     18.62","I"
