"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"EGE00147724","1925","31.55","25.18","4.0","SALLOUM, EG","","","","","        30","E","        16","E","         0","E","","","","","","","","","","","","","  15.0"," ,E,0121, ","","","    119.0"," ,E","","","","","",""
"EGE00147724","1927","31.55","25.18","4.0","SALLOUM, EG","","","","","        10","E","        10","E","         1","E","","","","","         0","E","       248","E","        32","E","","","  28.0"," ,E,0212, ","   39.0","E,0513, ","     91.0"," ,E","","","     25.28","E","",""
"EGE00147724","1929","31.55","25.18","4.0","SALLOUM, EG","","","","","        23","E","        20","E","         1","E","","","","","","","","","","","","","  32.0"," ,E,1216, ","","","    183.0"," ,E","","","","","",""
"EGE00147724","1930","31.55","25.18","4.0","SALLOUM, EG","","","","","        14","E","        11","E","         1","E","         0","E","         0","E","","","","","","","    5.0","E,0218, ","  37.0"," ,E,1228, ","","","    108.0"," ,E","","","","","     15.61","E"
"EGE00147724","1931","31.55","25.18","4.0","SALLOUM, EG","","","","","         8","E","         4","E","         0","E","","","","","","","","","","","","","  12.0"," ,E,1127,+","","","     43.0"," ,E","","","","","",""
"EGE00147724","1932","31.55","25.18","4.0","SALLOUM, EG","","","","","        28","E","        20","E","         0","E","","","","","         0","E","       241","E","        32","E","","","  18.0"," ,E,1219, ","   42.0","E,0617, ","    172.0"," ,E","","","     24.76","E","",""
"EGE00147724","1934","31.55","25.18","4.0","SALLOUM, EG","","","","","        25","E","        14","E","         1","E","","","","","","","","","","","","","  41.0"," ,E,1127, ","","","    166.0"," ,E","","","","","",""
"EGE00147724","1935","31.55","25.18","4.0","SALLOUM, EG","","","","","         5","E","         2","E","         1","E","","","","","         0","E","       235","E","        18","E","","","  46.0"," ,E,1117, ","   42.0","E,0430, ","     67.0"," ,E","","","     24.27","E","",""
"EGE00147724","1936","31.55","25.18","4.0","SALLOUM, EG","","","","","        16","E","        10","E","         0","E","","","","","","","","","","","","","  11.0"," ,E,0110, ","","","     72.0"," ,E","","","","","",""
"EGE00147724","1937","31.55","25.18","4.0","SALLOUM, EG","","","","","        11","E","         5","E","         0","E","","","","","         0","E","       251","E","        23","E","","","   9.0"," ,E,0103, ","   41.0","E,0913,+","     35.0"," ,E","","","     24.72","E","",""
"EGE00147724","1939","31.55","25.18","4.0","SALLOUM, EG","","","","","        19","E","         5","E","         0","E","","","","","","","","","","","","","  24.0"," ,E,0207, ","","","     83.0"," ,E","","","","","",""
"EGE00147724","1957","31.55","25.18","4.0","SALLOUM, EG","   1280.8","","    1280.8","E","        27","E","        11","E","         1","E","         0","E","         0","E","         0","E","       252","E","        26","E","    5.0","E,0110, ","  38.0"," ,E,0105, ","   42.0","E,0415, ","    116.7"," ,E","     20.75","E","     25.24","E","     16.25","E"
