"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"EN000026046","1960","59.3","27.2","74.0","JECKHVY, EN","       144","I","        64","I","         0","I","  14.7"," ,I,0723, ","    467.1"," ,I"
"EN000026046","1961","59.3","27.2","74.0","JECKHVY, EN","       170","I","        57","I","         1","I","  31.0"," ,I,0908, ","    547.2"," ,I"
"EN000026046","1962","59.3","27.2","74.0","JECKHVY, EN","       157","I","        76","I","         2","I","  63.9"," ,I,0913, ","    695.9"," ,I"
"EN000026046","1963","59.3","27.2","74.0","JECKHVY, EN","       134","I","        56","I","         0","I","  21.8"," ,I,0820, ","    401.3"," ,I"
"EN000026046","1964","59.3","27.2","74.0","JECKHVY, EN","       141","I","        53","I","         0","I","  15.7"," ,I,0909, ","    374.8"," ,I"
"EN000026046","1965","59.3","27.2","74.0","JECKHVY, EN","       165","I","        69","I","         2","I","  35.7"," ,I,0706, ","    570.4"," ,I"
"EN000026046","1969","59.3","27.2","74.0","JECKHVY, EN","       154","I","        65","I","         0","I","  21.9"," ,I,0712, ","    572.4"," ,I"
"EN000026046","1970","59.3","27.2","74.0","JECKHVY, EN","       165","I","        72","I","         3","I","  27.8"," ,I,0612, ","    609.3"," ,I"
"EN000026046","1971","59.3","27.2","74.0","JECKHVY, EN","       182","I","        79","I","         0","I","  25.2"," ,I,0715, ","    582.9"," ,I"
"EN000026046","1977","59.3","27.2","74.0","JECKHVY, EN","       194","I","        75","I","         1","I","  41.3"," ,I,0811, ","    690.0"," ,I"
"EN000026046","1978","59.3","27.2","74.0","JECKHVY, EN","       183","I","        89","I","         3","I","  50.4"," ,I,0810, ","    831.2"," ,I"
"EN000026046","1979","59.3","27.2","74.0","JECKHVY, EN","       190","I","        75","I","         0","I","  24.8"," ,I,0821, ","    672.4"," ,I"
"EN000026046","1980","59.3","27.2","74.0","JECKHVY, EN","       187","I","        77","I","         3","I","  31.5"," ,I,0711, ","    625.2"," ,I"
"EN000026046","1981","59.3","27.2","74.0","JECKHVY, EN","       206","I","        97","I","         2","I","  41.4"," ,I,0720, ","    855.7"," ,I"
"EN000026046","1982","59.3","27.2","74.0","JECKHVY, EN","       172","I","        62","I","         1","I","  29.0"," ,I,0616, ","    556.7"," ,I"
"EN000026046","1983","59.3","27.2","74.0","JECKHVY, EN","       191","I","        84","I","         0","I","  21.7"," ,I,0925, ","    656.2"," ,I"
"EN000026046","1984","59.3","27.2","74.0","JECKHVY, EN","       193","I","        73","I","         0","I","  20.9"," ,I,0812, ","    656.3"," ,I"
"EN000026046","1985","59.3","27.2","74.0","JECKHVY, EN","       212","I","        82","I","         1","I","  31.0"," ,I,0727, ","    729.4"," ,I"
"EN000026046","1986","59.3","27.2","74.0","JECKHVY, EN","       198","I","        86","I","         2","I","  57.7"," ,I,0711, ","    702.4"," ,I"
"EN000026046","1987","59.3","27.2","74.0","JECKHVY, EN","       193","I","        86","I","         4","I","  50.6"," ,I,0807, ","    791.7"," ,I"
"EN000026046","1988","59.3","27.2","74.0","JECKHVY, EN","       210","I","        97","I","         1","I","  26.5"," ,I,0831, ","    718.5"," ,I"
"EN000026046","1989","59.3","27.2","74.0","JECKHVY, EN","       192","I","        77","I","         3","I","  47.2"," ,I,0805, ","    731.2"," ,I"
"EN000026046","1990","59.3","27.2","74.0","JECKHVY, EN","       193","I","        88","I","         4","I","  49.8"," ,I,0823, ","    786.0"," ,I"
"EN000026046","1991","59.3","27.2","74.0","JECKHVY, EN","       205","I","        96","I","         3","I","  40.4"," ,I,0818, ","    834.3"," ,I"
