"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"EN000026141","1964","59.133","26.233","123.0","VALKE MAARJA, EN","","","","","       138","I","        51","I","         0","I","","","","","","","","","","","","","  17.7"," ,I,1025, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    381.0"," ,I","","","","","",""
"EN000026141","1965","59.133","26.233","123.0","VALKE MAARJA, EN","","","","","       146","I","        59","I","         0","I","","","","","","","","","","","","","  24.8"," ,I,0715, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    449.0"," ,I","","","","","",""
"EN000026141","1967","59.133","26.233","123.0","VALKE MAARJA, EN","","","","","       199","I","        77","I","         0","I","","","","","","","","","","","","","  21.8"," ,I,1016, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    630.1"," ,I","","","","","",""
"EN000026141","1969","59.133","26.233","123.0","VALKE MAARJA, EN","","","","","       151","I","        59","I","         1","I","","","","","","","","","","","","","  31.3"," ,I,0719, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    568.2"," ,I","","","","","",""
"EN000026141","1970","59.133","26.233","123.0","VALKE MAARJA, EN","","","","","       165","I","        71","I","         0","I","","","","","","","","","","","","","  21.2"," ,I,1022, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    594.5"," ,I","","","","","",""
"EN000026141","1971","59.133","26.233","123.0","VALKE MAARJA, EN","","","","","       181","I","        74","I","         1","I","","","","","","","","","","","","","  25.4"," ,I,1004, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    629.1"," ,I","","","","","",""
"EN000026141","1977","59.133","26.233","123.0","VALKE MAARJA, EN","","","","","       209","I","        88","I","         2","I","","","","","","","","","","","","","  29.3"," ,I,0722, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    700.9"," ,I","","","","","",""
"EN000026141","1978","59.133","26.233","123.0","VALKE MAARJA, EN","","","","","       182","I","        80","I","         3","I","","","","","","","","","","","","","  35.3"," ,I,0915, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    792.8"," ,I","","","","","",""
"EN000026141","1979","59.133","26.233","123.0","VALKE MAARJA, EN","","","","","       181","I","        77","I","         1","I","","","","","","","","","","","","","  27.2"," ,I,1130, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    637.7"," ,I","","","","","",""
"EN000026141","1980","59.133","26.233","123.0","VALKE MAARJA, EN","","","","","       182","I","        69","I","         1","I","","","","","","","","","","","","","  26.3"," ,I,0711, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    641.5"," ,I","","","","","",""
"EN000026141","1981","59.133","26.233","123.0","VALKE MAARJA, EN","","","","","       201","I","       105","I","         2","I","","","","","","","","","","","","","  49.6"," ,I,0726, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    923.7"," ,I","","","","","",""
"EN000026141","1982","59.133","26.233","123.0","VALKE MAARJA, EN","","","","","       159","I","        67","I","         2","I","","","","","","","","","","","","","  41.8"," ,I,0616, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    552.4"," ,I","","","","","",""
"EN000026141","1983","59.133","26.233","123.0","VALKE MAARJA, EN","","","","","       186","I","        84","I","         1","I","","","","","","","","","","","","","  30.4"," ,I,0923, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    632.2"," ,I","","","","","",""
"EN000026141","1984","59.133","26.233","123.0","VALKE MAARJA, EN","","","","","       191","I","        83","I","         0","I","","","","","","","","","","","","","  24.5"," ,I,0724, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    635.0"," ,I","","","","","",""
"EN000026141","1985","59.133","26.233","123.0","VALKE MAARJA, EN","","","","","       176","I","        77","I","         0","I","","","","","","","","","","","","","  22.9"," ,I,0818, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    605.7"," ,I","","","","","",""
"EN000026141","1986","59.133","26.233","123.0","VALKE MAARJA, EN","","","","","       191","I","        89","I","         3","I","","","","","","","","","","","","","  67.8"," ,I,0603, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    842.5"," ,I","","","","","",""
"EN000026141","1987","59.133","26.233","123.0","VALKE MAARJA, EN","","","","","       180","I","        91","I","         2","I","","","","","","","","","","","","","  50.3"," ,I,0807, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    785.2"," ,I","","","","","",""
"EN000026141","1988","59.133","26.233","123.0","VALKE MAARJA, EN","","","","","       204","I","        83","I","         2","I","","","","","","","","","","","","","  53.1"," ,I,0826, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    720.1"," ,I","","","","","",""
