"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"FIE00143421","1966","61.7331","22.7167","115.0","JAMIJARVI PIRTTIJARVI, FI","       178","E","        81","E","         0","E","  21.8"," ,E,0815, ","    701.3"," ,E"
"FIE00143421","1967","61.7331","22.7167","115.0","JAMIJARVI PIRTTIJARVI, FI","       183","E","        96","E","         2","E","  80.2"," ,E,0806, ","    812.8"," ,E"
"FIE00143421","1968","61.7331","22.7167","115.0","JAMIJARVI PIRTTIJARVI, FI","       153","E","        77","E","         1","E","  25.6"," ,E,0820, ","    648.8"," ,E"
"FIE00143421","1969","61.7331","22.7167","115.0","JAMIJARVI PIRTTIJARVI, FI","       140","E","        66","E","         0","E","  15.8"," ,E,0922, ","    546.8"," ,E"
"FIE00143421","1970","61.7331","22.7167","115.0","JAMIJARVI PIRTTIJARVI, FI","       160","E","        76","E","         0","E","  17.7"," ,E,1220, ","    611.8"," ,E"
"FIE00143421","1971","61.7331","22.7167","115.0","JAMIJARVI PIRTTIJARVI, FI","       171","E","        71","E","         1","E","  31.1"," ,E,0731, ","    647.8"," ,E"
"FIE00143421","1972","61.7331","22.7167","115.0","JAMIJARVI PIRTTIJARVI, FI","       137","E","        75","E","         0","E","  23.5"," ,E,0821, ","    571.5"," ,E"
"FIE00143421","1973","61.7331","22.7167","115.0","JAMIJARVI PIRTTIJARVI, FI","       169","E","        77","E","         1","E","  25.7"," ,E,0818, ","    603.7"," ,E"
"FIE00143421","1974","61.7331","22.7167","115.0","JAMIJARVI PIRTTIJARVI, FI","       184","E","       106","E","         0","E","  22.9"," ,E,0920, ","    867.0"," ,E"
"FIE00143421","1975","61.7331","22.7167","115.0","JAMIJARVI PIRTTIJARVI, FI","       156","E","        79","E","         1","E","  28.8"," ,E,0522, ","    646.8"," ,E"
"FIE00143421","1976","61.7331","22.7167","115.0","JAMIJARVI PIRTTIJARVI, FI","       153","E","        63","E","         0","E","  23.9"," ,E,0910, ","    490.2"," ,E"
"FIE00143421","1977","61.7331","22.7167","115.0","JAMIJARVI PIRTTIJARVI, FI","       191","E","        86","E","         1","E","  33.0"," ,E,0827, ","    727.9"," ,E"
"FIE00143421","1978","61.7331","22.7167","115.0","JAMIJARVI PIRTTIJARVI, FI","       149","E","        66","E","         0","E","  21.0"," ,E,1114, ","    498.3"," ,E"
"FIE00143421","1979","61.7331","22.7167","115.0","JAMIJARVI PIRTTIJARVI, FI","       173","E","        81","E","         1","E","  26.5"," ,E,0826, ","    700.6"," ,E"
"FIE00143421","1980","61.7331","22.7167","115.0","JAMIJARVI PIRTTIJARVI, FI","       150","E","        70","E","         3","E","  27.6"," ,E,1120, ","    682.2"," ,E"
"FIE00143421","1981","61.7331","22.7167","115.0","JAMIJARVI PIRTTIJARVI, FI","       176","E","       104","E","         1","E","  41.0"," ,E,0726, ","    854.0"," ,E"
"FIE00143421","1982","61.7331","22.7167","115.0","JAMIJARVI PIRTTIJARVI, FI","       135","E","        76","E","         1","E","  32.7"," ,E,0901, ","    644.4"," ,E"
"FIE00143421","1983","61.7331","22.7167","115.0","JAMIJARVI PIRTTIJARVI, FI","       148","E","        92","E","         0","E","  24.0"," ,E,0113, ","    694.9"," ,E"
"FIE00143421","1984","61.7331","22.7167","115.0","JAMIJARVI PIRTTIJARVI, FI","       161","E","       100","E","         2","E","  29.2"," ,E,0604, ","    798.7"," ,E"
"FIE00143421","1985","61.7331","22.7167","115.0","JAMIJARVI PIRTTIJARVI, FI","       140","E","        74","E","         3","E","  38.1"," ,E,0717, ","    723.7"," ,E"
"FIE00143421","1986","61.7331","22.7167","115.0","JAMIJARVI PIRTTIJARVI, FI","       173","E","        84","E","         1","E","  26.0"," ,E,0915, ","    757.4"," ,E"
"FIE00143421","1987","61.7331","22.7167","115.0","JAMIJARVI PIRTTIJARVI, FI","       141","E","        81","E","         3","E","  35.2"," ,E,0616, ","    668.1"," ,E"
"FIE00143421","1988","61.7331","22.7167","115.0","JAMIJARVI PIRTTIJARVI, FI","       177","E","        97","E","         6","E","  45.1"," ,E,0728, ","    962.2"," ,E"
"FIE00143421","1989","61.7331","22.7167","115.0","JAMIJARVI PIRTTIJARVI, FI","       153","E","        87","E","         1","E","  34.0"," ,E,0603, ","    725.8"," ,E"
"FIE00143421","1990","61.7331","22.7167","115.0","JAMIJARVI PIRTTIJARVI, FI","       157","E","        89","E","         1","E","  29.4"," ,E,0717, ","    744.6"," ,E"
"FIE00143421","1991","61.7331","22.7167","115.0","JAMIJARVI PIRTTIJARVI, FI","       163","E","        94","E","         2","E","  26.6"," ,E,0930, ","    760.4"," ,E"
"FIE00143421","1992","61.7331","22.7167","115.0","JAMIJARVI PIRTTIJARVI, FI","       169","E","        88","E","         1","E","  28.5"," ,E,0802, ","    773.4"," ,E"
"FIE00143421","1993","61.7331","22.7167","115.0","JAMIJARVI PIRTTIJARVI, FI","       131","E","        71","E","         2","E","  29.0"," ,E,0724, ","    638.8"," ,E"
"FIE00143421","1994","61.7331","22.7167","115.0","JAMIJARVI PIRTTIJARVI, FI","       140","E","        77","E","         1","E","  32.4"," ,E,0806, ","    682.6"," ,E"
"FIE00143421","1995","61.7331","22.7167","115.0","JAMIJARVI PIRTTIJARVI, FI","       149","E","        79","E","         3","E","  27.5"," ,E,0722, ","    752.3"," ,E"
"FIE00143421","1996","61.7331","22.7167","115.0","JAMIJARVI PIRTTIJARVI, FI","       140","E","        76","E","         0","E","  21.7"," ,E,0709, ","    680.2"," ,E"
"FIE00143421","1997","61.7331","22.7167","115.0","JAMIJARVI PIRTTIJARVI, FI","       135","E","        69","E","         1","E","  27.8"," ,E,0705, ","    625.2"," ,E"
"FIE00143421","1998","61.7331","22.7167","115.0","JAMIJARVI PIRTTIJARVI, FI","       178","E","        94","E","         2","E","  27.0"," ,E,0823, ","    762.8"," ,E"
