"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"FIE00144126","1998","62.0628","28.5692","79.0","RANTASALMI RUKKASLUOTO, FI","","","","","","","","","        91","E","        21","E","         0","E","","","   26.6","E,0616, ","","","","","","","","","","","","","","","","","","","","","","","","","","","      6.50","E","",""
"FIE00144126","2001","62.0628","28.5692","79.0","RANTASALMI RUKKASLUOTO, FI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    4681.5","5","    4681.5","E","","","","","",""
"FIE00144126","2002","62.0628","28.5692","79.0","RANTASALMI RUKKASLUOTO, FI","     95.6","","      95.6","E","        22","E","       166","E","        90","E","        59","E","         0","E","  -30.9","E,1231, ","   26.4","E,0712, ","0.0","E,1009","-3.1","E,1018","-6.0","E,1019","-7.2","E,1103","-9.1","E,1112","-0.2","E,0421","-4.7","E,0420","-4.7","E,0420","-7.0","E,0419","-8.9","E,0408","","","","","      4.29","E","      7.42","E","      1.15","E"
"FIE00144126","2003","62.0628","28.5692","79.0","RANTASALMI RUKKASLUOTO, FI","    111.9","","     111.9","E","        26","E","       150","E","        80","E","        32","E","         0","E","  -33.5","E,0102, ","   29.8","E,0714, ","-0.9","E,1020","-2.6","E,1021","-4.6","E,1027","-6.8","E,1207","-12.0","E,1217","-1.8","E,0505","-3.7","E,0428","-6.1","E,0427","-10.6","E,0407","-10.6","E,0407","    5691.5","5","    5691.5","E","      4.21","E","      7.19","E","      1.24","E"
"FIE00144126","2004","62.0628","28.5692","79.0","RANTASALMI RUKKASLUOTO, FI","     28.3","","      28.3","E","        20","E","       153","E","        90","E","        23","E","         0","E","  -27.3","E,0212, ","   27.4","E,0806, ","-1.4","E,1030","-3.0","E,1117","-5.9","E,1119","-9.3","E,1121","-9.3","E,1121","-0.7","E,0512","-3.6","E,0427","-5.0","E,0425","-8.5","E,0405","-11.8","E,0402","    5051.5","5","    5051.5","E","      4.15","E","      7.18","E","      1.13","E"
"FIE00144126","2006","62.0628","28.5692","79.0","RANTASALMI RUKKASLUOTO, FI","     89.7","","      89.7","E","        37","E","       143","E","        94","E","        50","E","         0","E","  -30.5","E,0206, ","   28.5","E,0708, ","-1.7","E,1020","-2.4","E,1029","-4.8","E,1031","-8.6","E,1104","-9.4","E,1105","-0.3","E,0516","-2.3","E,0501","-8.6","E,0403","-8.6","E,0403","-23.2","E,0327","","","","","      4.53","E","      7.67","E","      1.40","E"
"FIE00144126","2007","62.0628","28.5692","79.0","RANTASALMI RUKKASLUOTO, FI","     64.0","","      64.0","E","        23","E","       135","E","        67","E","        38","E","         0","E","  -33.9","E,0207, ","   26.8","E,0810, ","-0.9","E,1103","-2.4","E,1104","-5.6","E,1105","-7.9","E,1114","","","-0.4","E,0501","-9.5","E,0410","-9.5","E,0410","-9.5","E,0410","-9.5","E,0410","    4647.8","8","    4647.8","E","      5.13","E","      7.78","E","      2.49","E"
"FIE00144126","2009","62.0628","28.5692","79.0","RANTASALMI RUKKASLUOTO, FI","     36.9","","      36.9","E","        13","E","       160","E","        99","E","        30","E","         0","E","  -29.3","E,0131, ","   27.1","E,0626, ","-0.3","E,1014","-2.3","E,1015","-5.0","E,1113","-12.2","E,1213","-12.2","E,1213","-1.4","E,0501","-7.1","E,0421","-7.1","E,0421","-7.1","E,0421","-17.7","E,0328","    4964.3","3","    4964.3","E","      4.13","E","      6.94","E","      1.31","E"
"FIE00144126","2010","62.0628","28.5692","79.0","RANTASALMI RUKKASLUOTO, FI","    202.5","","     202.5","E","        56","E","       159","E","       119","E","        56","E","         0","E","  -31.4","E,1224, ","   30.6","E,0728, ","-1.1","E,1022","-2.5","E,1109","-5.5","E,1118","-8.6","E,1120","-8.9","E,1122","-0.3","E,0429","-2.9","E,0421","-8.3","E,0326","-8.3","E,0326","-16.1","E,0325","    5496.4","4","    5496.4","E","      2.91","E","      6.07","E","     -0.24","E"
"FIE00144126","2011","62.0628","28.5692","79.0","RANTASALMI RUKKASLUOTO, FI","    115.5","","     115.5","E","        27","E","       133","E","        63","E","        45","E","         0","E","  -35.1","E,0217, ","   29.0","E,0702, ","-0.8","E,1110","-4.4","E,1120","-4.4","E,1120","","","","","-0.4","E,0506","-2.6","E,0420","-4.4","E,0414","-13.7","E,0401","-13.7","E,0401","    5605.0","0","    5605.0","E","      5.14","E","      8.24","E","      2.04","E"
"FIE00144126","2012","62.0628","28.5692","79.0","RANTASALMI RUKKASLUOTO, FI","     32.6","","      32.6","E","        21","E","       157","E","        98","E","        25","E","         0","E","  -30.9","E,0205, ","   27.1","E,0730, ","-0.5","E,1025","-3.0","E,1109","-6.1","E,1128","-7.9","E,1129","-9.4","E,1130","0.0","E,0504","-2.7","E,0420","-4.7","E,0411","-7.6","E,0410","-14.3","E,0409","    4838.3","3","    4838.3","E","      3.80","E","      6.56","E","      1.04","E"
"FIE00144126","2013","62.0628","28.5692","79.0","RANTASALMI RUKKASLUOTO, FI","     95.4","","      95.4","E","        19","E","       138","E","        82","E","        48","E","         0","E","  -30.1","E,0118, ","   31.0","E,0626, ","-0.6","E,1019","-2.7","E,1124","-4.7","E,1126","-7.0","E,1202","-9.8","E,1209","-0.1","E,0502","-10.7","E,0411","-10.7","E,0411","-10.7","E,0411","-10.7","E,0411","    5189.0","0","    5189.0","E","      5.44","E","      8.45","E","      2.43","E"
"FIE00144126","2014","62.0628","28.5692","79.0","RANTASALMI RUKKASLUOTO, FI","    167.6","","     167.6","E","        13","E","       140","E","        58","E","        54","E","         0","E","  -25.9","E,0124, ","   30.4","E,0727, ","-0.6","E,1016","-3.2","E,1021","-6.1","E,1022","-6.9","E,1023","-11.7","E,1224","0.0","E,0416","-5.5","E,0410","-5.5","E,0410","-7.0","E,0320","-10.5","E,0318","    4465.5","5","    4465.5","E","      6.04","E","      8.59","E","      3.48","E"
"FIE00144126","2015","62.0628","28.5692","79.0","RANTASALMI RUKKASLUOTO, FI","     20.7","","      20.7","E","         7","E","       102","E","        46","E","        17","E","         0","E","  -23.7","E,0113, ","   27.0","E,0703, ","-1.6","E,1030","-2.5","E,1124","-4.8","E,1215","-10.8","E,1229","-10.8","E,1229","-0.5","E,0419","-2.9","E,0406","-5.4","E,0327","-9.8","E,0326","-9.8","E,0326","    4613.8","8","    4613.8","E","      6.31","E","      8.77","E","      3.85","E"
"FIE00144126","2016","62.0628","28.5692","79.0","RANTASALMI RUKKASLUOTO, FI","     41.7","","      41.7","E","        16","E","       142","E","        81","E","        33","E","         0","E","  -34.5","E,0119, ","   26.6","E,0727, ","-0.2","E,1012","-2.8","E,1103","-4.6","E,1105","-7.3","E,1106","-10.3","E,1129","-3.0","E,0424","-3.0","E,0424","-5.4","E,0324","-13.1","E,0323","-13.1","E,0323","    4591.2","2","    4591.2","E","      5.00","E","      7.61","E","      2.38","E"
"FIE00144126","2017","62.0628","28.5692","79.0","RANTASALMI RUKKASLUOTO, FI","      9.0","","       9.0","E","         8","E","       163","E","        57","E","        15","E","         0","E","  -24.6","E,0207, ","   24.2","E,0617, ","-0.7","E,1025","-2.8","E,1101","-5.8","E,1102","","","","","-3.1","E,0512","-3.1","E,0512","-7.3","E,0419","-7.3","E,0419","-9.0","E,0415","    5014.4","4","    5014.4","E","      4.80","E","      7.30","E","      2.30","E"
