"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"FIE00145007","1970","63.0319","31.0619","231.0","ILOMANTSI NAARVA, FI","","","","","       212","E","        51","E","         1","E","","","","","","","","","","","","","  29.7"," ,E,0715, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    493.1"," ,E","","","","","",""
"FIE00145007","1971","63.0319","31.0619","231.0","ILOMANTSI NAARVA, FI","","","","","       228","E","        65","E","         2","E","","","","","","","","","","","","","  28.5"," ,E,0815, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    537.9"," ,E","","","","","",""
"FIE00145007","1972","63.0319","31.0619","231.0","ILOMANTSI NAARVA, FI","","","","","       195","E","        65","E","         0","E","","","","","","","","","","","","","  16.8"," ,E,0819, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    524.1"," ,E","","","","","",""
"FIE00145007","1974","63.0319","31.0619","231.0","ILOMANTSI NAARVA, FI","","","","","       199","E","        89","E","         1","E","","","","","","","","","","","","","  27.5"," ,E,0806, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    727.4"," ,E","","","","","",""
"FIE00145007","1975","63.0319","31.0619","231.0","ILOMANTSI NAARVA, FI","","","","","       187","E","        72","E","         2","E","","","","","","","","","","","","","  32.6"," ,E,0823, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    627.6"," ,E","","","","","",""
"FIE00145007","1976","63.0319","31.0619","231.0","ILOMANTSI NAARVA, FI","","","","","       166","E","        62","E","         1","E","","","","","","","","","","","","","  37.4"," ,E,0627, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    561.4"," ,E","","","","","",""
"FIE00145007","1977","63.0319","31.0619","231.0","ILOMANTSI NAARVA, FI","","","","","       183","E","        64","E","         1","E","","","","","","","","","","","","","  41.2"," ,E,0729, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    649.3"," ,E","","","","","",""
"FIE00145007","1978","63.0319","31.0619","231.0","ILOMANTSI NAARVA, FI","","","","","       148","E","        64","E","         1","E","","","","","","","","","","","","","  31.3"," ,E,0808, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    536.0"," ,E","","","","","",""
"FIE00145007","1979","63.0319","31.0619","231.0","ILOMANTSI NAARVA, FI","","","","","       177","E","        76","E","         0","E","","","","","","","","","","","","","  17.2"," ,E,0914, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    601.3"," ,E","","","","","",""
"FIE00145007","1980","63.0319","31.0619","231.0","ILOMANTSI NAARVA, FI","","","","","       162","E","        67","E","         2","E","","","","","","","","","","","","","  35.8"," ,E,0627, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    579.7"," ,E","","","","","",""
